WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,MeanSeaLevelPressure,MaximumTemperature,AirTemperature,DewPoint,RelativeHumidity,VaporPressure,LandVisibility,WindDirection,WindSpeed,Rainfall,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,07-05-2019,19:00:00,972.22,1002.82,30.6,27.8,24.9,84,31.56,10.00,000,0.0,0.01,0.30
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,07-05-2019,19:00:00,841.65,1001.72,22.4,19.5,17.4,88,19.82,8.00,290,14.8,0.00,2.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,07-05-2019,19:00:00,959.23,1002.22,30.9,28.6,22.9,71,27.89,10.00,190,1.9,0.00,0.60
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,07-05-2019,19:00:00,957.21,1002.15,30.7,28.1,22.8,73,27.77,15.00,000,0.0,0.00,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,07-05-2019,19:00:00,965.86,1003.01,30.7,28.4,24.5,80,30.78,12.00,180,3.7,0.00,0.60
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,07-05-2019,19:00:00,958.29,1002.55,32.5,29.9,22.6,65,27.36,9.00,140,5.6,0.00,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,07-05-2019,19:00:00,977.04,1003.48,31.7,28.2,25.1,83,31.79,10.00,000,0.0,2.60,2.60
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,07-05-2019,19:00:00,982.62,1004.14,32.3,28.8,22.9,71,28.00,12.00,200,5.6,0.00,0.10
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,07-05-2019,19:00:00,981.12,1005.21,32.0,25.8,24.3,92,30.46,8.00,000,0.0,0.50,8.10
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,07-05-2019,19:00:00,969.01,1003.05,33.3,29.0,20.9,62,24.68,12.00,220,7.4,0.00,0.40
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,07-05-2019,19:00:00,976.72,1003.91,33.5,29.1,22.5,68,27.21,10.00,000,0.0,0.00,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,07-05-2019,19:00:00,969.84,1002.92,36.2,29.3,21.4,63,25.47,12.00,000,0.0,0.00,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,07-05-2019,19:00:00,985.33,1003.74,33.0,27.1,25.4,90,32.41,12.00,250,1.9,0.70,0.70
48331,NAN,น่าน,น่าน,18.77972,100.77778,07-05-2019,19:00:00,980.63,1003.13,32.6,29.5,23.4,70,28.78,10.00,000,0.0,0.00,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,07-05-2019,19:00:00,973.73,1003.29,30.5,28.5,23.4,74,28.78,12.00,000,0.0,0.00,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,07-05-2019,19:00:00,968.18,1003.28,32.5,28.5,21.8,67,26.13,7.00,000,0.0,0.00,0.01
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,07-05-2019,19:00:00,973.85,1003.28,31.8,28.1,23.4,76,28.84,15.00,000,0.0,0.00,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,07-05-2019,19:00:00,996.74,1003.95,32.0,29.8,22.8,66,27.71,10.00,000,0.0,0.00,0.01
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,07-05-2019,19:00:00,983.34,1003.00,33.7,29.3,26.8,86,35.21,10.00,000,0.0,0.00,4.00
48353,LOEI,เลย,เลย,17.45000,101.73333,07-05-2019,19:00:00,975.25,1003.49,32.4,30.0,22.7,65,27.55,16.00,000,0.0,0.00,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,07-05-2019,19:00:00,983.60,1003.49,32.7,30.0,23.6,69,29.19,15.00,220,7.4,0.00,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,07-05-2019,19:00:00,982.40,1003.84,33.8,29.8,25.9,79,33.33,12.00,000,0.0,0.00,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,07-05-2019,19:00:00,984.09,1003.30,33.4,30.0,25.2,75,32.01,15.00,000,0.0,0.00,0.10
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,07-05-2019,19:00:00,987.47,1004.01,31.9,29.7,24.7,75,31.12,12.00,000,0.0,0.00,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,07-05-2019,19:00:00,987.04,1004.27,31.3,29.0,25.5,81,32.55,12.00,000,0.0,0.00,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,07-05-2019,19:00:00,977.18,1002.67,32.0,28.9,24.3,76,30.37,13.00,250,3.7,0.00,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,07-05-2019,19:00:00,998.79,1004.52,32.5,29.2,25.4,80,32.38,10.00,000,0.0,0.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,07-05-2019,19:00:00,998.08,1004.22,32.0,28.7,25.4,83,32.51,10.00,000,0.0,0.00,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,07-05-2019,19:00:00,988.96,1005.26,32.0,29.0,24.4,76,30.57,10.00,000,0.0,0.00,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,07-05-2019,19:00:00,981.40,1003.72,29.5,26.0,24.3,90,30.30,8.00,240,3.7,5.00,29.70
48376,TAK,ตาก,ตาก,16.87833,99.14333,07-05-2019,19:00:00,990.64,1004.90,32.0,29.0,23.2,71,28.37,6.00,290,9.3,0.00,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,07-05-2019,19:00:00,988.15,1004.47,31.5,27.5,23.9,81,29.60,8.00,000,0.0,0.00,1.70
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,07-05-2019,19:00:00,999.53,1004.74,31.5,27.0,24.1,84,30.02,8.00,150,3.7,1.00,1.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,07-05-2019,19:00:00,990.18,1003.22,30.6,29.5,24.5,75,30.72,12.00,000,0.0,0.00,0.50
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,07-05-2019,19:00:00,995.15,1004.35,32.4,30.0,24.9,74,31.44,12.00,000,0.0,0.00,0.01
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,07-05-2019,19:00:00,982.68,1004.17,34.8,28.9,23.2,71,28.45,10.00,240,9.3,0.00,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,07-05-2019,19:00:00,987.46,1004.74,34.3,30.0,23.5,68,28.91,10.00,240,11.1,0.00,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,07-05-2019,19:00:00,988.07,1003.78,33.3,28.5,23.7,75,29.33,10.00,210,5.6,0.00,0.00
