WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,MeanSeaLevelPressure,AirTemperature,DewPoint,RelativeHumidity,VaporPressure,LandVisibility,WindDirection,WindSpeed,Rainfall,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,07-06-2019,13:00:00,975.13,1005.53,30.7,23.3,65,28.62,12.00,000,0.0,0.00,0.70
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,07-06-2019,13:00:00,843.73,1002.99,21.6,19.2,86,22.28,8.00,320,1.9,0.00,2.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,07-06-2019,13:00:00,960.81,1003.35,32.3,21.5,53,25.66,15.00,220,11.1,0.00,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,07-06-2019,13:00:00,958.71,1003.19,31.6,22.7,59,27.60,15.00,280,5.6,0.00,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,07-06-2019,13:00:00,968.01,1004.86,31.5,22.4,59,27.13,12.00,000,0.0,0.00,0.50
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,07-06-2019,13:00:00,960.11,1004.29,31.0,22.2,60,26.73,12.00,180,9.3,0.00,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,07-06-2019,13:00:00,979.65,1005.83,32.0,23.7,61,29.22,12.00,180,3.7,0.00,3.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,07-06-2019,13:00:00,984.82,1006.23,31.0,22.7,61,27.54,15.00,270,7.4,0.00,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,07-06-2019,13:00:00,971.12,1004.91,31.9,20.3,50,23.86,10.00,180,5.6,0.00,0.40
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,07-06-2019,13:00:00,978.36,1005.10,34.7,21.5,46,25.60,10.00,000,0.0,0.00,0.10
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,07-06-2019,13:00:00,972.12,1004.82,33.5,20.5,47,24.13,15.00,230,9.3,0.00,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,07-06-2019,13:00:00,987.23,1005.33,32.8,22.5,55,27.16,15.00,240,7.4,0.00,0.70
48331,NAN,น่าน,น่าน,18.77972,100.77778,07-06-2019,13:00:00,982.59,1004.91,32.6,23.4,58,28.73,10.00,240,1.9,0.00,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,07-06-2019,13:00:00,975.65,1004.92,32.0,22.5,57,27.27,12.00,150,5.6,0.00,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,07-06-2019,13:00:00,970.24,1004.99,32.2,21.6,54,25.74,8.00,000,0.0,0.00,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,07-06-2019,13:00:00,975.37,1004.46,32.0,23.3,60,28.66,16.00,140,3.7,0.00,0.30
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,07-06-2019,13:00:00,998.95,1006.12,32.5,23.9,61,29.66,10.00,000,0.0,0.00,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,07-06-2019,13:00:00,977.32,1005.37,32.7,20.4,49,23.99,15.00,270,13.0,0.00,0.40
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,07-06-2019,13:00:00,985.25,1005.01,32.5,24.7,64,31.11,15.00,260,14.8,0.00,0.30
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,07-06-2019,13:00:00,983.83,1005.13,32.3,24.5,63,30.69,15.00,230,5.6,0.00,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,07-06-2019,13:00:00,985.66,1004.78,32.0,23.8,62,29.51,15.00,270,9.3,0.00,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,07-06-2019,13:00:00,988.56,1004.97,32.5,24.2,62,30.24,12.00,000,0.0,0.00,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,07-06-2019,13:00:00,988.30,1005.42,31.4,25.2,70,32.01,15.00,270,9.3,0.00,0.01
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,07-06-2019,13:00:00,978.88,1004.20,31.5,23.2,62,28.51,14.00,280,3.7,0.00,0.20
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,07-06-2019,13:00:00,1001.00,1006.69,32.0,24.1,63,30.08,10.00,180,9.3,0.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,07-06-2019,13:00:00,1000.54,1006.63,32.0,23.8,62,29.51,10.00,150,11.1,0.00,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,07-06-2019,13:00:00,989.54,1005.77,30.3,23.2,66,28.39,10.00,000,0.0,0.00,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,07-06-2019,13:00:00,984.05,1006.20,29.0,22.9,70,27.83,10.00,240,5.6,0.00,16.50
48376,TAK,ตาก,ตาก,16.87833,99.14333,07-06-2019,13:00:00,993.05,1007.22,31.8,21.8,55,26.07,10.00,270,18.5,0.00,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,07-06-2019,13:00:00,990.09,1006.24,31.0,23.0,63,28.09,12.00,000,0.0,0.00,0.20
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,07-06-2019,13:00:00,1002.01,1007.19,30.1,24.1,70,29.94,10.00,170,3.7,0.00,4.80
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,07-06-2019,13:00:00,992.49,1005.64,27.5,24.9,86,31.52,10.00,000,0.0,3.80,4.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,07-06-2019,13:00:00,997.40,1006.57,31.8,23.8,63,29.39,10.00,060,7.4,0.00,0.30
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,07-06-2019,13:00:00,984.39,1005.74,31.3,22.9,61,27.85,10.00,240,9.3,0.00,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,07-06-2019,13:00:00,988.85,1005.94,34.0,23.2,53,28.43,10.00,310,11.1,0.00,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,07-06-2019,13:00:00,989.35,1004.87,32.5,24.1,61,29.95,12.00,210,9.3,0.00,2.20
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,07-06-2019,13:00:00,986.57,1005.08,32.5,24.7,64,31.11,10.00,170,1.9,0.00,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,07-06-2019,13:00:00,1002.72,1006.63,30.4,24.7,72,31.11,8.00,110,5.6,0.30,0.70
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,07-06-2019,13:00:00,912.54,1007.12,23.2,20.1,83,23.52,8.00,280,22.2,0.00,13.60
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,07-06-2019,13:00:00,989.57,1005.19,33.4,22.7,53,27.51,10.00,000,0.0,0.00,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,07-06-2019,13:00:00,1002.89,1006.85,32.4,25.1,65,31.77,12.00,180,5.6,0.00,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,07-06-2019,13:00:00,997.26,1007.78,31.4,23.0,61,28.04,8.00,000,0.0,0.00,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,07-06-2019,13:00:00,1005.77,1007.68,31.4,24.4,67,30.57,12.00,150,5.6,0.00,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,07-06-2019,13:00:00,985.84,1006.39,31.4,22.1,58,26.67,10.00,270,5.6,0.00,3.50
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,07-06-2019,13:00:00,988.19,1005.46,33.4,21.8,51,26.12,11.00,220,13.0,0.00,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,07-06-2019,13:00:00,989.53,1005.32,33.6,22.6,53,27.34,10.00,230,11.1,0.00,0.30
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,07-06-2019,13:00:00,992.63,1006.41,32.5,23.4,59,28.81,10.00,230,11.1,0.00,2.20
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,07-06-2019,13:00:00,992.32,1006.88,32.6,24.0,61,29.87,9.00,160,7.4,0.00,1.80
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,07-06-2019,13:00:00,992.58,1006.98,32.5,24.1,61,29.95,10.00,240,11.1,0.00,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,07-06-2019,13:00:00,1003.80,1006.76,33.3,20.8,48,24.57,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,0.00,0.70
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,07-06-2019,13:00:00,998.71,1006.56,31.0,22.5,61,27.27,10.00,000,0.0,0.01,0.01
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,07-06-2019,13:00:00,1006.52,1007.61,32.5,23.9,61,29.66,8.00,270,9.3,0.00,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,07-06-2019,13:00:00,990.92,1005.46,29.6,24.9,76,31.48,9.00,000,0.0,0.00,3.30
48417,NAKORNNAYOK,นครนายก,นครนายก,{'@attributes': {'Unit': 'decimal degree'}},{'@attributes': {'Unit': 'decimal degree'}},07-06-2019,13:00:00,873.34,1007.71,21.2,20.7,97,24.45,1.00,270,9.3,0.01,2.10
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,07-06-2019,13:00:00,1001.17,1006.94,32.6,24.7,63,31.02,10.00,320,3.7,0.00,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,07-06-2019,13:00:00,1007.36,1008.15,32.0,26.4,73,34.49,8.00,300,5.6,0.00,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,07-06-2019,13:00:00,1008.40,1008.85,30.1,24.2,71,30.22,10.00,000,0.0,0.00,0.10
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,07-06-2019,13:00:00,997.47,1008.72,28.8,24.3,77,30.46,7.00,000,0.0,0.00,9.60
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,07-06-2019,13:00:00,1006.42,1007.41,33.0,23.8,59,29.54,12.00,190,9.3,0.00,0.00
