WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,DewPoint,WindSpeed,StationPressure,MinimumTemperature,Rainfall,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,VaporPressure,WindDirection,RelativeHumidity
48300,MAE HONG SON,\u0e41\u0e21\u0e48\u0e2e\u0e48\u0e2d\u0e07\u0e2a\u0e2d\u0e19,\u0e41\u0e21\u0e48\u0e2e\u0e48\u0e2d\u0e07\u0e2a\u0e2d\u0e19,19.29897,97.97578,25.0,07-08-2019,07:00:00,23.5,0.0,976.56,23.5,0.00,1007.59,1.40,5.00,29.00,000,92
48302,DOI ANG KANG,\u0e14\u0e2d\u0e22\u0e2d\u0e48\u0e32\u0e07\u0e02\u0e32\u0e07,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e43\u0e2b\u0e21\u0e48,19.93139,99.04833,19.0,07-08-2019,07:00:00,17.5,7.4,844.09,18.5,0.00,1004.92,1.50,8.00,20.01,300,91
48303,CHIANG RAI,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e23\u0e32\u0e22,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e23\u0e32\u0e22,19.96139,99.88139,26.3,07-08-2019,07:00:00,22.8,5.6,962.95,25.4,0.00,1006.45,0.00,12.00,27.67,170,81
48304,CHAING RAI AGROMET.,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e23\u0e32\u0e22 \u0e2a\u0e01\u0e29.,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e23\u0e32\u0e22,19.87083,99.78278,25.5,07-08-2019,07:00:00,23.3,9.3,961.04,23.6,0.00,1006.56,2.00,15.00,28.59,250,88
48307,THUNG CHANG,\u0e17\u0e38\u0e48\u0e07\u0e0a\u0e49\u0e32\u0e07,\u0e19\u0e48\u0e32\u0e19,19.41194,100.88353,24.4,07-08-2019,07:00:00,23.7,0.0,970.16,23.6,0.00,1007.99,0.80,12.00,29.23,000,96
48310,PHAYAO,\u0e1e\u0e30\u0e40\u0e22\u0e32,\u0e1e\u0e30\u0e40\u0e22\u0e32,19.13333,99.90000,26.2,07-08-2019,07:00:00,24.0,9.3,962.02,24.5,0.00,1007.02,0.00,10.00,29.86,160,88
48315,THA WANGPHA,\u0e17\u0e48\u0e32\u0e27\u0e31\u0e07\u0e1c\u0e32,\u0e19\u0e48\u0e32\u0e19,19.11056,100.80250,25.0,07-08-2019,07:00:00,24.0,0.0,981.21,24.5,0.00,1008.06,7.90,10.00,29.79,000,94
48324,THOEN,\u0e40\u0e16\u0e34\u0e19,\u0e25\u0e33\u0e1b\u0e32\u0e07,17.63661,99.24475,25.3,07-08-2019,07:00:00,23.4,1.9,986.44,24.9,0.00,1008.30,0.00,10.00,28.75,350,89
48325,MAE SARIANG,\u0e41\u0e21\u0e48\u0e2a\u0e30\u0e40\u0e23\u0e35\u0e22\u0e07,\u0e41\u0e21\u0e48\u0e2e\u0e48\u0e2d\u0e07\u0e2a\u0e2d\u0e19,18.16667,97.93333,24.0,07-08-2019,07:00:00,23.3,0.0,984.17,22.6,0.60,1008.49,11.90,5.00,28.53,000,96
48327,CHIANG MAI,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e43\u0e2b\u0e21\u0e48,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e43\u0e2b\u0e21\u0e48,18.79000,98.97694,26.3,07-08-2019,07:00:00,22.0,0.0,972.90,26.0,0.00,1007.39,0.01,10.00,26.38,000,77
48328,LAMPANG,\u0e25\u0e33\u0e1b\u0e32\u0e07,\u0e25\u0e33\u0e1b\u0e32\u0e07,18.28333,99.51667,26.4,07-08-2019,07:00:00,22.2,0.0,980.29,26.1,0.00,1007.83,0.00,10.00,26.81,000,78
48329,LAMPHUN,\u0e25\u0e33\u0e1e\u0e39\u0e19,\u0e25\u0e33\u0e1e\u0e39\u0e19,18.56722,99.03389,26.3,07-08-2019,07:00:00,22.6,0.0,973.74,25.8,0.00,1007.29,0.00,10.00,27.41,000,80
48330,PHRAE,\u0e41\u0e1e\u0e23\u0e48,\u0e41\u0e1e\u0e23\u0e48,18.16667,100.16667,26.9,07-08-2019,07:00:00,23.1,1.9,989.16,26.5,0.00,1007.65,0.01,10.00,28.23,250,80
48331,NAN,\u0e19\u0e48\u0e32\u0e19,\u0e19\u0e48\u0e32\u0e19,18.77972,100.77778,26.4,07-08-2019,07:00:00,23.0,0.0,984.88,25.5,0.00,1007.72,0.00,10.00,28.11,000,82
48333,NAN AGROMET.,\u0e19\u0e48\u0e32\u0e19 \u0e2a\u0e01\u0e29.,\u0e19\u0e48\u0e32\u0e19,18.86667,100.75000,25.0,07-08-2019,07:00:00,23.5,0.0,977.61,24.0,0.00,1007.64,3.10,9.00,29.00,000,92
48334,LAMPANG AGROMET.,\u0e25\u0e33\u0e1b\u0e32\u0e07 \u0e2a\u0e01\u0e29.,\u0e25\u0e33\u0e1b\u0e32\u0e07,18.31667,99.28333,25.2,07-08-2019,07:00:00,22.7,0.0,972.32,24.5,0.01,1007.97,0.01,6.00,27.54,000,86
48350,LOEI AGROMET.,\u0e40\u0e25\u0e22 \u0e2a\u0e01\u0e29.,\u0e40\u0e25\u0e22,17.40000,101.73333,26.2,07-08-2019,07:00:00,22.8,7.4,977.01,24.0,0.00,1006.72,0.00,12.00,27.75,140,82
48351,UTTARADIT,\u0e2d\u0e38\u0e15\u0e23\u0e14\u0e34\u0e15\u0e16\u0e4c,\u0e2d\u0e38\u0e15\u0e23\u0e14\u0e34\u0e15\u0e16\u0e4c,17.61667,100.10000,27.0,07-08-2019,07:00:00,24.1,0.0,999.95,26.4,0.00,1007.26,0.00,10.00,30.02,000,84
