WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,VaporPressure,MeanSeaLevelPressure,Rainfall,AirTemperature,Rainfall24Hr,StationPressure,RelativeHumidity,LandVisibility,DewPoint,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,07-08-2019,13:00:00,31.72,1007.20,0.00,30.0,0.60,976.68,75,12.00,25.0,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.5,07-08-2019,13:00:00,22.54,1004.18,1.20,21.0,2.70,844.44,91,7.00,19.4,290
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,9.3,07-08-2019,13:00:00,27.27,1005.00,0.00,31.0,0.00,962.22,61,15.00,22.5,310
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,7.4,07-08-2019,13:00:00,26.58,1004.45,0.00,32.5,2.00,960.04,54,15.00,22.1,250
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,07-08-2019,13:00:00,27.54,1006.11,0.00,31.0,0.80,969.15,61,12.00,22.7,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,9.3,07-08-2019,13:00:00,28.01,1005.64,0.00,31.1,0.00,961.42,62,15.00,23.0,200
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,5.6,07-08-2019,13:00:00,29.83,1006.32,0.00,33.0,7.90,980.21,59,12.00,24.0,130
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1.9,07-08-2019,13:00:00,30.14,1007.27,0.00,30.2,0.00,985.78,70,12.00,24.2,330
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,07-08-2019,13:00:00,29.91,1009.28,52.70,25.5,67.60,985.06,92,6.00,24.0,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,5.6,07-08-2019,13:00:00,27.90,1007.08,0.00,30.9,0.01,973.11,62,10.00,22.9,220
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,07-08-2019,13:00:00,28.64,1007.47,0.00,30.0,0.00,980.27,68,10.00,23.3,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,07-08-2019,13:00:00,27.27,1006.52,0.00,32.0,0.00,973.61,57,12.00,22.5,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,11.1,07-08-2019,13:00:00,27.84,1006.02,0.00,33.0,0.01,987.92,55,12.00,22.9,250
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,07-08-2019,13:00:00,29.29,1005.77,0.00,33.3,0.00,983.48,57,10.00,23.7,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,07-08-2019,13:00:00,30.41,1005.82,0.00,31.6,3.10,976.48,65,12.00,24.3,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,07-08-2019,13:00:00,27.52,1006.70,0.00,30.7,0.60,971.73,62,8.00,22.7,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,5.6,07-08-2019,13:00:00,29.29,1004.56,0.00,34.0,0.00,975.65,55,15.00,23.7,230
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,07-08-2019,13:00:00,29.87,1006.08,0.00,34.0,0.00,998.95,56,10.00,24.0,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,14.8,07-08-2019,13:00:00,31.36,1004.83,0.00,34.7,0.90,985.49,57,18.00,24.8,300
48353,LOEI,เลย,เลย,17.45000,101.73333,20.4,07-08-2019,13:00:00,23.76,1004.84,0.00,36.6,0.00,977.16,39,15.00,20.3,270
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,11.1,07-08-2019,13:00:00,29.25,1005.51,0.00,33.7,0.00,985.82,56,18.00,23.7,240
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,7.4,07-08-2019,13:00:00,32.18,1005.81,0.00,34.8,0.00,984.67,58,15.00,25.3,220
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,5.6,07-08-2019,13:00:00,30.04,1005.30,0.00,33.8,0.00,986.28,57,15.00,24.1,300
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,3.7,07-08-2019,13:00:00,29.83,1006.23,0.00,32.3,3.50,989.80,62,12.00,24.0,220
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,3.7,07-08-2019,13:00:00,30.24,1006.30,0.00,32.5,23.70,989.23,62,12.00,24.2,180
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,5.6,07-08-2019,13:00:00,29.29,1004.80,0.00,34.0,0.00,979.68,55,12.00,23.7,210
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,7.4,07-08-2019,13:00:00,29.05,1006.40,0.00,35.0,0.00,1000.77,52,10.00,23.6,260
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,18.5,07-08-2019,13:00:00,29.71,1006.79,0.00,34.2,0.00,1000.75,55,12.00,23.9,260
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,07-08-2019,13:00:00,28.84,1006.99,0.00,33.5,0.00,990.90,56,10.00,23.4,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,3.7,07-08-2019,13:00:00,27.55,1006.99,0.00,30.0,23.80,984.89,65,10.00,22.7,210
48376,TAK,ตาก,ตาก,16.87833,99.14333,11.1,07-08-2019,13:00:00,27.69,1007.95,0.00,32.5,1.40,993.81,57,7.00,22.8,280
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,9.3,07-08-2019,13:00:00,31.13,1007.60,1.20,29.0,1.20,991.32,78,7.00,24.7,240
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,5.6,07-08-2019,13:00:00,29.09,1007.39,0.00,33.2,0.00,1002.26,57,10.00,23.6,180
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,3.7,07-08-2019,13:00:00,31.94,1005.85,0.00,34.0,0.00,992.96,60,12.00,25.1,180
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,9.3,07-08-2019,13:00:00,30.45,1007.50,0.00,33.3,0.00,998.36,60,12.00,24.3,080
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,11.1,07-08-2019,13:00:00,26.59,1005.48,0.00,33.5,0.00,984.28,51,10.00,22.1,230
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,20.4,07-08-2019,13:00:00,27.93,1002.87,0.00,35.3,0.00,985.91,49,12.00,22.9,240
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,7.4,07-08-2019,13:00:00,29.25,1005.34,0.00,33.7,0.00,989.88,56,13.00,23.7,250
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,9.3,07-08-2019,13:00:00,30.40,1004.91,0.00,35.5,0.00,986.58,53,10.00,24.3,220
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,7.4,07-08-2019,13:00:00,30.57,1007.68,0.00,31.4,0.00,1003.78,67,8.00,24.4,230
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,13.0,07-08-2019,13:00:00,24.86,1008.02,0.10,23.9,6.80,913.56,84,8.00,21.0,250
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,9.3,07-08-2019,13:00:00,30.21,1005.82,0.00,34.3,0.00,990.23,56,10.00,24.2,260
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,7.4,07-08-2019,13:00:00,30.52,1006.95,0.00,35.0,0.00,1003.02,54,12.00,24.4,190
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,9.3,07-08-2019,13:00:00,28.84,1008.50,0.00,33.5,0.00,998.04,56,10.00,23.4,240
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,22.2,07-08-2019,13:00:00,28.25,1008.40,0.00,32.5,0.00,1006.50,58,14.00,23.1,190
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,20.4,07-08-2019,13:00:00,27.46,1006.34,0.00,33.8,0.00,985.96,52,12.00,22.6,230
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,13.0,07-08-2019,13:00:00,26.11,1005.53,0.00,35.1,0.00,988.36,46,10.00,21.8,270
