WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,LandVisibility,RelativeHumidity,VaporPressure,Rainfall,AirTemperature,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,StationPressure,MaximumTemperature,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.0,07-08-2019,19:00:00,10.00,91,31.71,0.10,26.6,0.0,1.20,1006.55,975.71,30.9,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.3,07-08-2019,19:00:00,7.00,89,20.97,0.00,20.2,18.5,2.40,1003.54,843.52,22.5,260
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.1,07-08-2019,19:00:00,15.00,79,30.01,0.60,28.0,0.0,1.90,1003.98,960.83,33.8,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.9,07-08-2019,19:00:00,15.00,86,31.52,0.60,27.5,0.0,2.00,1004.12,959.01,33.6,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.4,07-08-2019,19:00:00,10.00,89,30.51,6.40,26.4,0.0,7.20,1005.24,967.76,32.7,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,22.4,07-08-2019,19:00:00,12.00,75,27.11,0.00,27.3,9.3,0.00,1005.88,961.10,31.5,140
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,23.7,07-08-2019,19:00:00,12.00,68,29.22,0.00,30.3,3.7,0.00,1005.20,978.89,34.6,180
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,22.7,07-08-2019,19:00:00,12.00,71,27.52,0.00,28.4,5.6,2.20,1006.35,984.76,32.0,240
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.5,07-08-2019,19:00:00,8.00,92,29.00,0.00,25.0,0.0,58.60,1008.64,984.40,28.3,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,24.1,07-08-2019,19:00:00,10.00,84,30.02,0.00,27.0,3.7,9.90,1006.31,971.93,31.7,210
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.3,07-08-2019,19:00:00,10.00,79,30.31,0.00,28.3,0.0,0.60,1006.00,978.68,33.5,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,22.9,07-08-2019,19:00:00,12.00,68,27.96,0.00,29.5,0.0,0.00,1005.48,972.34,33.0,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.1,07-08-2019,19:00:00,10.00,88,30.05,0.10,26.3,3.7,3.60,1006.28,987.78,33.7,250
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.9,07-08-2019,19:00:00,10.00,79,29.74,0.00,28.0,0.0,0.00,1005.37,982.70,33.0,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,22.4,07-08-2019,19:00:00,12.00,72,27.06,0.00,28.0,0.0,3.10,1005.29,975.62,32.4,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,22.7,07-08-2019,19:00:00,8.00,69,27.56,0.00,29.0,0.0,0.60,1006.04,970.90,30.5,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.1,07-08-2019,19:00:00,13.00,67,30.05,0.00,31.0,0.0,0.00,1003.88,974.71,36.5,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,24.0,07-08-2019,19:00:00,9.00,83,29.75,0.20,27.0,0.0,4.30,1005.89,998.59,35.0,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,27.1,07-08-2019,19:00:00,13.00,81,35.78,3.80,30.8,3.7,3.80,1003.81,984.23,36.0,040
48353,LOEI,เลย,เลย,17.45000,101.73333,22.7,07-08-2019,19:00:00,15.00,56,27.61,0.00,32.6,9.3,0.00,1004.43,976.41,36.5,290
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,25.0,07-08-2019,19:00:00,7.00,85,31.64,9.90,27.7,20.4,9.90,1004.80,984.74,35.5,280
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,26.4,07-08-2019,19:00:00,12.00,73,34.49,0.00,32.0,0.0,0.00,1004.73,983.42,34.5,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,25.7,07-08-2019,19:00:00,15.00,69,32.99,0.00,32.0,3.7,0.00,1003.93,984.83,34.3,170
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.5,07-08-2019,19:00:00,11.00,75,30.72,0.00,29.5,3.7,0.00,1005.26,988.69,34.2,130
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.9,07-08-2019,19:00:00,10.00,78,31.53,0.00,29.2,0.0,0.00,1005.46,988.21,34.1,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,24.2,07-08-2019,19:00:00,12.00,65,30.20,0.00,31.5,0.0,0.00,1003.96,978.66,35.2,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,23.0,07-08-2019,19:00:00,10.00,63,28.09,0.00,31.0,7.4,0.00,1006.06,1000.35,36.0,260
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,21.8,07-08-2019,19:00:00,12.00,61,26.13,0.00,30.1,14.8,0.00,1006.62,1000.50,35.2,260
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.1,07-08-2019,19:00:00,10.00,61,28.23,0.00,31.5,0.0,0.00,1005.86,989.69,35.1,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,21.8,07-08-2019,19:00:00,10.00,85,26.09,0.80,24.5,3.7,21.20,1006.85,984.35,31.8,210
48376,TAK,ตาก,ตาก,16.87833,99.14333,21.2,07-08-2019,19:00:00,6.00,64,25.09,0.00,28.5,13.0,0.00,1007.63,993.31,34.0,260
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,22.2,07-08-2019,19:00:00,7.00,71,26.80,0.00,28.0,11.1,1.20,1006.89,990.56,31.0,210
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.5,07-08-2019,19:00:00,10.00,83,32.59,0.01,28.6,0.0,0.01,1006.19,1001.00,34.4,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,23.8,07-08-2019,19:00:00,12.00,65,29.40,0.00,31.1,0.0,0.00,1004.29,991.31,34.5,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,22.2,07-08-2019,19:00:00,10.00,60,26.73,0.00,31.0,5.6,0.00,1005.94,996.75,35.0,250
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,22.4,07-08-2019,19:00:00,10.00,55,27.13,0.00,32.5,5.6,0.00,1004.35,983.11,35.3,230
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.4,07-08-2019,19:00:00,10.00,66,30.49,0.00,31.5,7.4,0.00,1004.47,987.27,36.7,240
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,23.7,07-08-2019,19:00:00,11.00,61,29.22,0.00,32.0,3.7,0.00,1004.40,988.87,35.3,180
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.7,07-08-2019,19:00:00,10.00,63,31.02,0.00,32.6,7.4,0.00,1003.39,984.92,35.8,200
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.3,07-08-2019,19:00:00,10.00,74,25.37,0.00,26.3,0.0,1.10,1007.85,956.69,29.0,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,24.3,07-08-2019,19:00:00,6.00,88,30.43,8.30,26.5,11.1,8.30,1005.91,1001.95,34.5,100
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,18.9,07-08-2019,19:00:00,6.00,91,21.83,0.00,20.5,16.7,4.50,1008.43,912.90,25.0,300
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.4,07-08-2019,19:00:00,8.00,68,32.53,0.00,32.2,0.0,0.00,1004.53,988.86,36.9,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,24.3,07-08-2019,19:00:00,10.00,62,30.44,0.00,32.6,0.0,0.00,1005.73,1001.77,36.5,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,23.2,07-08-2019,19:00:00,9.00,65,28.50,0.00,30.5,0.0,0.00,1008.17,997.61,34.0,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,22.6,07-08-2019,19:00:00,12.00,59,27.41,0.00,31.5,18.5,0.00,1007.07,1005.17,34.3,190
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,26.4,07-08-2019,19:00:00,10.00,78,34.44,0.00,30.6,0.0,4.20,1005.64,985.06,35.2,000
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,23.0,07-08-2019,19:00:00,10.00,57,28.17,0.00,32.6,5.6,0.00,1004.23,986.94,36.5,200
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.1,07-08-2019,19:00:00,10.00,59,29.95,0.00,33.2,0.0,0.00,1004.11,988.32,37.1,000
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,23.7,07-08-2019,19:00:00,10.00,73,29.38,0.00,29.1,9.3,0.00,1006.88,992.95,35.3,180
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.4,07-08-2019,19:00:00,8.00,89,30.59,1.20,26.3,7.4,1.20,1007.22,992.35,35.4,150
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,23.7,07-08-2019,19:00:00,10.00,71,29.33,0.00,29.5,5.6,0.00,1006.83,992.28,34.7,200
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,22.6,07-08-2019,19:00:00,10.00,57,27.38,0.00,32.2,0.0,0.00,1005.80,1002.84,35.3,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,26.6,07-08-2019,19:00:00,10.00,88,34.74,0.40,28.8,0.0,26.60,1006.47,998.57,33.6,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,22.1,07-08-2019,19:00:00,8.00,59,26.54,0.00,30.9,18.5,0.00,1007.23,1006.14,34.3,230
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.9,07-08-2019,19:00:00,8.00,72,31.39,0.00,30.4,7.4,0.00,1005.74,991.23,35.8,170
48417,NAKORNNAYOK,นครนายก,นครนายก,{'@attributes': {'Unit': 'decimal degree'}},{'@attributes': {'Unit': 'decimal degree'}},20.8,07-08-2019,19:00:00,.05,98,24.53,0.00,21.1,13.0,2.80,1007.32,872.96,22.8,200
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.6,07-08-2019,19:00:00,10.00,67,30.98,0.00,31.6,0.0,0.00,1006.51,1000.72,36.5,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,26.1,07-08-2019,19:00:00,9.00,75,33.81,0.00,31.0,11.1,0.00,1007.68,1006.88,36.2,240
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.0,07-08-2019,19:00:00,10.00,75,31.72,0.00,30.0,9.3,0.00,1007.66,1007.22,32.5,210
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.0,07-08-2019,19:00:00,10.00,69,28.12,0.00,29.3,0.0,6.70,1008.61,997.37,32.2,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,21.7,07-08-2019,19:00:00,12.00,59,25.98,0.00,30.6,3.7,0.00,1007.12,1006.12,35.5,180
