WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,DewPoint,MeanSeaLevelPressure,VaporPressure,Rainfall24Hr,RelativeHumidity,Rainfall,AirTemperature,LandVisibility,WindSpeed,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,977.57,07-09-2019,10:00:00,23.6,1008.32,29.19,0.80,77,0.00,28.0,10.00,3.7,110
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,845.11,07-09-2019,10:00:00,18.0,1006.13,20.65,2.40,94,0.00,19.0,8.00,46.3,270
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,964.08,07-09-2019,10:00:00,23.0,1007.34,28.14,1.90,73,0.00,28.3,10.00,0.0,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,961.78,07-09-2019,10:00:00,22.9,1006.72,27.96,2.00,68,0.00,29.5,15.00,0.0,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,971.17,07-09-2019,10:00:00,24.4,1008.45,30.57,7.40,76,0.00,29.0,12.00,0.0,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,962.47,07-09-2019,10:00:00,22.4,1007.06,27.03,0.00,68,0.00,29.0,12.00,7.4,160
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,981.94,07-09-2019,10:00:00,23.6,1008.41,29.13,0.01,71,0.00,29.4,12.00,3.7,270
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,987.09,07-09-2019,10:00:00,21.9,1008.67,26.25,2.20,64,0.00,29.3,12.00,14.8,230
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,985.49,07-09-2019,10:00:00,23.2,1009.55,28.45,53.70,77,0.00,27.6,8.00,0.0,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,973.70,07-09-2019,10:00:00,22.2,1007.89,26.68,9.90,66,0.00,29.1,10.00,0.0,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,981.46,07-09-2019,10:00:00,21.1,1008.56,24.98,0.60,54,0.00,31.5,10.00,9.3,180
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,974.32,07-09-2019,10:00:00,20.7,1007.34,24.43,0.00,54,0.00,31.2,15.00,0.0,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,989.74,07-09-2019,10:00:00,23.3,1008.07,28.61,3.60,69,0.00,29.7,12.00,5.6,270
48331,NAN,น่าน,น่าน,18.77972,100.77778,985.59,07-09-2019,10:00:00,23.2,1008.20,28.50,0.00,69,0.00,29.5,10.00,0.0,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,978.57,07-09-2019,10:00:00,24.1,1008.23,30.10,0.00,76,0.00,28.9,10.00,0.0,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,972.68,07-09-2019,10:00:00,22.4,1007.70,27.14,0.00,62,0.00,30.5,7.00,0.0,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,977.17,07-09-2019,10:00:00,22.6,1006.23,27.36,0.00,55,0.00,32.9,13.00,3.7,100
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1001.68,07-09-2019,10:00:00,24.2,1008.94,30.21,4.30,75,0.00,29.1,10.00,0.0,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,987.36,07-09-2019,10:00:00,23.8,1006.97,29.40,3.80,65,0.00,31.1,16.00,7.4,250
48353,LOEI,เลย,เลย,17.45000,101.73333,978.50,07-09-2019,10:00:00,20.2,1006.54,23.66,0.00,47,0.00,33.1,15.00,9.3,240
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,987.46,07-09-2019,10:00:00,23.3,1007.37,28.53,10.10,64,0.00,30.8,12.00,9.3,240
