WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,DewPoint,VaporPressure,Rainfall,AirTemperature,LandVisibility,MeanSeaLevelPressure,WindDirection,WindSpeed,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,975.34,07-10-2019,04:00:00,1.80,23.0,28.13,0.00,24.8,6.00,1006.36,000,0.0,90
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,843.62,07-10-2019,04:00:00,7.20,17.9,20.54,0.00,18.1,7.00,1004.89,270,18.5,99
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,961.56,07-10-2019,04:00:00,0.60,21.9,26.26,0.00,24.9,10.00,1005.20,230,1.9,83
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,959.30,07-10-2019,04:00:00,0.80,22.3,26.84,0.00,24.5,10.00,1004.89,000,0.0,87
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,967.86,07-10-2019,04:00:00,3.20,24.3,30.32,0.00,25.0,5.00,1005.52,000,0.0,96
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,959.93,07-10-2019,04:00:00,0.20,23.6,29.05,0.00,24.3,10.00,1005.12,000,0.0,96
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,979.09,07-10-2019,04:00:00,1.60,22.7,27.52,0.00,26.8,8.00,1005.71,000,0.0,78
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,984.84,07-10-2019,04:00:00,0.00,23.2,28.47,0.00,24.7,11.00,1006.71,000,0.0,92
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,983.51,07-10-2019,04:00:00,2.40,22.9,27.92,0.00,23.8,6.00,1007.83,000,0.0,95
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,971.44,07-10-2019,04:00:00,1.70,23.3,28.56,0.00,24.9,10.00,1006.04,000,0.0,91
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,978.71,07-10-2019,04:00:00,0.00,22.4,27.05,0.00,25.8,10.00,1006.25,000,0.0,81
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,972.52,07-10-2019,04:00:00,0.00,23.5,29.00,0.00,25.0,10.00,1006.17,000,0.0,92
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,987.40,07-10-2019,04:00:00,0.00,22.8,27.77,0.00,26.5,10.00,1005.88,270,3.7,80
48331,NAN,น่าน,น่าน,18.77972,100.77778,982.72,07-10-2019,04:00:00,0.40,24.2,30.26,0.00,26.7,10.00,1005.48,000,0.0,86
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,975.85,07-10-2019,04:00:00,1.40,23.9,29.64,0.00,25.5,8.00,1005.77,000,0.0,91
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,970.40,07-10-2019,04:00:00,0.00,23.5,29.00,0.00,25.0,7.00,1006.00,000,0.0,92
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,975.22,07-10-2019,04:00:00,0.00,22.3,26.84,0.00,27.0,12.00,1004.80,000,0.0,75
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,999.11,07-10-2019,04:00:00,0.00,22.8,27.77,0.00,26.5,8.00,1006.42,000,0.0,80
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,985.10,07-10-2019,04:00:00,0.00,24.7,31.14,0.00,27.3,10.00,1004.92,000,0.0,86
48353,LOEI,เลย,เลย,17.45000,101.73333,976.75,07-10-2019,04:00:00,0.00,23.3,28.67,0.00,27.0,10.00,1005.31,000,0.0,80
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,985.31,07-10-2019,04:00:00,0.00,24.2,30.18,0.00,26.8,10.00,1005.44,000,0.0,86
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,983.88,07-10-2019,04:00:00,0.00,23.7,29.23,0.00,26.0,10.00,1005.63,000,0.0,87
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,985.94,07-10-2019,04:00:00,3.10,23.7,29.35,0.00,26.5,10.00,1005.42,000,0.0,85
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,989.01,07-10-2019,04:00:00,0.10,24.8,31.25,0.00,27.5,10.00,1005.70,130,1.9,85
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,988.75,07-10-2019,04:00:00,0.00,24.8,31.30,0.00,26.1,10.00,1006.18,000,0.0,93
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,978.60,07-10-2019,04:00:00,0.00,23.9,29.74,0.00,25.7,10.00,1004.40,000,0.0,90
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1000.09,07-10-2019,04:00:00,0.00,23.3,28.67,0.00,27.0,10.00,1005.87,240,5.6,80
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,999.61,07-10-2019,04:00:00,0.00,23.7,29.31,0.00,27.2,10.00,1005.79,000,0.0,81
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,991.21,07-10-2019,04:00:00,0.00,24.1,30.02,0.00,27.0,8.00,1007.65,000,0.0,84
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,984.27,07-10-2019,04:00:00,9.80,23.1,28.27,2.10,24.0,8.00,1006.80,110,3.7,95
48376,TAK,ตาก,ตาก,16.87833,99.14333,993.13,07-10-2019,04:00:00,1.20,22.5,27.19,0.00,27.2,10.00,1007.51,260,9.3,75
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,989.87,07-10-2019,04:00:00,0.20,23.1,28.18,0.00,26.0,8.00,1006.29,000,0.0,84
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1001.29,07-10-2019,04:00:00,0.00,24.6,30.84,0.00,26.0,10.00,1006.53,000,0.0,92
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,992.25,07-10-2019,04:00:00,2.60,24.3,30.32,1.20,25.0,10.00,1005.52,000,0.0,96
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,997.09,07-10-2019,04:00:00,0.00,23.2,28.46,0.00,26.3,11.00,1006.43,000,0.0,83
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,984.52,07-10-2019,04:00:00,5.00,23.0,28.10,0.00,26.1,10.00,1006.25,000,0.0,83
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,988.12,07-10-2019,04:00:00,0.00,23.1,28.26,0.00,27.5,10.00,1005.56,230,11.1,77
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,989.54,07-10-2019,04:00:00,0.00,23.4,28.84,0.00,26.8,10.00,1005.36,000,0.0,82
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,986.18,07-10-2019,04:00:00,0.00,22.7,27.65,0.00,27.6,8.00,1004.99,200,3.7,75
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,957.70,07-10-2019,04:00:00,2.30,21.4,25.44,0.00,22.6,6.00,1009.57,000,0.0,93
