WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,AirTemperature,MeanSeaLevelPressure,VaporPressure,LandVisibility,RelativeHumidity,WindSpeed,WindDirection,Rainfall24Hr,MinimumTemperature,StationPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,07-10-2019,07:00:00,25.0,1007.46,28.22,101.00,89,0.0,000,1.80,23.9,976.42,23.1
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,07-10-2019,07:00:00,17.9,1005.33,20.28,8.00,99,14.8,260,7.20,17.6,843.89,17.7
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,07-10-2019,07:00:00,24.8,1006.55,27.36,10.00,87,0.0,000,0.60,24.0,962.83,22.6
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,07-10-2019,07:00:00,24.0,1005.97,26.01,15.00,87,0.0,000,0.80,22.3,960.26,21.7
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,07-10-2019,07:00:00,24.8,1007.48,30.75,8.00,98,0.0,000,3.20,24.5,969.72,24.5
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,07-10-2019,07:00:00,24.0,1006.63,27.25,10.00,91,0.0,000,0.20,23.7,961.33,22.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,07-10-2019,07:00:00,26.4,1007.03,29.17,10.00,85,0.0,000,1.60,26.0,980.33,23.6
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,07-10-2019,07:00:00,24.9,1007.47,28.56,11.00,91,3.7,070,0.00,24.4,985.60,23.3
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,07-10-2019,07:00:00,24.0,1008.59,27.25,5.00,91,0.0,000,2.40,22.5,984.27,22.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,07-10-2019,07:00:00,25.1,1006.94,28.40,10.00,89,0.0,000,1.70,24.5,972.33,23.2
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,07-10-2019,07:00:00,26.0,1007.31,27.14,10.00,81,0.0,000,0.00,25.2,979.75,22.4
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,07-10-2019,07:00:00,25.0,1006.58,29.00,10.00,92,0.0,000,0.00,24.8,972.91,23.5
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,07-10-2019,07:00:00,26.2,1006.83,28.01,12.00,82,5.6,260,0.00,26.1,988.31,23.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,07-10-2019,07:00:00,26.5,1006.92,29.89,10.00,86,0.0,000,0.40,26.0,984.11,24.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,07-10-2019,07:00:00,25.4,1007.08,28.93,9.00,89,0.0,000,1.40,25.0,977.11,23.5
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,07-10-2019,07:00:00,24.8,1007.21,26.60,7.00,85,0.0,000,0.00,24.0,971.55,22.1
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-10-2019,07:00:00,25.8,1006.14,28.08,12.00,85,0.0,000,0.00,24.8,976.40,23.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,07-10-2019,07:00:00,26.5,1008.92,31.79,9.00,92,0.0,000,0.00,26.0,1001.59,25.1
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,07-10-2019,07:00:00,27.5,1005.74,30.97,12.00,84,0.0,000,0.00,27.0,985.92,24.6
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-10-2019,07:00:00,26.5,1006.23,27.77,10.00,80,0.0,000,0.00,25.9,977.59,22.8
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,07-10-2019,07:00:00,27.3,1006.54,30.31,15.00,84,3.7,180,0.00,26.0,986.42,24.3
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,07-10-2019,07:00:00,27.1,1006.99,28.33,12.00,79,7.4,140,0.00,25.9,985.29,23.1
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,07-10-2019,07:00:00,27.4,1006.10,29.42,12.00,81,0.0,000,3.10,26.0,986.67,23.8
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,07-10-2019,07:00:00,27.2,1007.31,30.39,10.00,84,1.9,110,0.00,26.2,990.58,24.3
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,07-10-2019,07:00:00,27.6,1007.44,30.61,11.00,83,0.0,000,0.00,25.5,990.07,24.4
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,07-10-2019,07:00:00,26.0,1005.58,28.18,12.00,84,0.0,000,0.00,25.5,979.78,23.1
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,07-10-2019,07:00:00,27.6,1007.77,28.18,10.00,76,0.0,000,0.00,25.0,1001.99,23.1
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,07-10-2019,07:00:00,27.2,1007.65,28.24,12.00,78,0.0,000,0.00,26.0,1001.46,23.1
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,07-10-2019,07:00:00,26.0,1008.65,28.18,10.00,84,0.0,000,0.00,25.3,992.14,23.1
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,2.80,07-10-2019,07:00:00,24.0,1001.92,28.53,10.00,96,5.6,180,11.60,23.3,979.50,23.3
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,07-10-2019,07:00:00,27.2,1008.45,27.19,6.00,75,5.6,260,1.20,25.5,994.06,22.5
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,07-10-2019,07:00:00,27.0,1007.60,27.62,8.00,77,0.0,000,0.00,26.0,991.21,22.7
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,07-10-2019,07:00:00,26.0,1007.96,30.57,10.00,91,0.0,000,0.00,25.4,1002.71,24.4
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.50,07-10-2019,07:00:00,25.0,1006.86,30.32,10.00,96,0.0,000,3.10,24.6,993.57,24.3
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,07-10-2019,07:00:00,26.5,1007.81,30.16,11.00,87,1.9,210,0.00,25.6,998.47,24.2
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,07-10-2019,07:00:00,26.3,1007.46,26.64,10.00,78,7.4,210,5.00,25.5,985.72,22.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,07-10-2019,07:00:00,27.0,1007.47,27.36,12.00,77,0.0,000,0.00,26.7,989.96,22.6
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,07-10-2019,07:00:00,27.0,1006.96,30.02,10.00,84,0.0,000,0.00,26.3,991.13,24.1
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,07-10-2019,07:00:00,27.5,1006.24,26.95,10.00,73,11.1,200,0.00,26.6,987.41,22.3
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.40,07-10-2019,07:00:00,22.8,1008.56,25.76,7.00,93,0.0,000,2.70,22.0,956.78,21.6
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,07-10-2019,07:00:00,25.8,1007.92,31.55,5.00,95,3.7,130,7.70,24.5,1003.94,24.9
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.50,07-10-2019,07:00:00,20.4,1008.82,23.03,.70,96,25.9,210,6.80,19.8,913.22,19.8
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,07-10-2019,07:00:00,27.2,1007.25,29.04,8.00,81,0.0,000,0.00,26.1,991.28,23.6
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,07-10-2019,07:00:00,26.2,1007.96,31.76,10.00,93,5.6,180,0.01,25.4,1003.91,25.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,07-10-2019,07:00:00,25.7,1009.41,29.48,7.00,89,0.0,000,0.30,24.7,998.66,23.8
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,07-10-2019,07:00:00,26.0,1008.59,28.70,10.00,85,3.7,180,0.00,25.4,1006.66,23.4
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,07-10-2019,07:00:00,26.1,1008.01,28.10,10.00,83,9.3,260,0.00,25.8,987.07,23.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,07-10-2019,07:00:00,27.5,1007.05,29.60,10.00,81,7.4,220,0.00,26.0,989.42,23.9
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,07-10-2019,07:00:00,27.5,1007.05,30.97,10.00,84,11.1,200,0.00,26.7,990.92,24.6
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,07-10-2019,07:00:00,26.5,1008.25,29.62,10.00,86,3.7,230,7.00,25.5,994.18,23.9
