WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall24Hr,MeanSeaLevelPressure,Rainfall,WindDirection,DewPoint,LandVisibility,StationPressure,MaximumTemperature,WindSpeed,AirTemperature,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,89,07-10-2019,19:00:00,3.70,1006.23,3.60,000,24.6,7.00,975.39,31.5,0.0,26.6,30.89
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,93,07-10-2019,19:00:00,1.20,1003.69,0.00,280,19.1,8.00,843.65,22.5,7.4,20.2,22.07
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,68,07-10-2019,19:00:00,0.60,1003.82,0.00,200,23.0,10.00,960.86,32.2,5.6,29.4,28.04
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,69,07-10-2019,19:00:00,0.80,1003.94,0.00,000,23.0,15.00,959.10,31.5,0.0,29.3,28.12
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,74,07-10-2019,19:00:00,3.20,1005.70,0.00,000,23.9,10.00,968.52,33.0,0.0,29.0,29.74
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,70,07-10-2019,19:00:00,0.20,1005.51,0.01,200,22.6,8.00,960.94,32.0,5.6,28.6,27.36
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,84,07-10-2019,19:00:00,0.10,1005.66,0.10,270,26.3,10.00,979.26,32.2,3.7,29.4,34.25
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,62,07-10-2019,19:00:00,0.00,1006.42,0.00,210,21.2,13.00,984.89,33.1,11.1,29.3,25.21
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,95,07-10-2019,19:00:00,4.40,1008.15,3.50,000,23.9,8.00,983.90,30.3,0.0,24.8,29.69
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,71,07-10-2019,19:00:00,2.00,1005.35,0.30,220,23.2,10.00,971.23,33.0,3.7,29.0,28.37
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,61,07-10-2019,19:00:00,0.00,1005.66,0.00,160,22.7,10.00,978.61,35.5,5.6,31.2,27.65
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,78,07-10-2019,19:00:00,0.80,1005.47,0.80,210,23.8,10.00,972.17,34.3,5.6,28.0,29.46
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,67,07-10-2019,19:00:00,2.50,1005.73,0.40,210,23.0,12.00,987.44,33.6,5.6,29.7,28.07
48331,NAN,น่าน,น่าน,18.77972,100.77778,79,07-10-2019,19:00:00,1.10,1005.38,0.70,000,25.3,10.00,982.82,33.0,0.0,29.4,32.22
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,77,07-10-2019,19:00:00,0.00,1005.57,0.00,150,23.7,12.00,975.92,31.9,3.7,28.2,29.30
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,63,07-10-2019,19:00:00,0.00,1005.70,0.00,000,21.4,6.00,970.60,33.8,0.0,29.2,25.55
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,67,07-10-2019,19:00:00,0.00,1005.00,0.00,000,23.2,14.00,975.70,35.2,0.0,30.0,28.37
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,63,07-10-2019,19:00:00,0.00,1006.69,0.00,190,22.6,10.00,999.48,33.5,11.1,30.5,27.41
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,87,07-10-2019,19:00:00,1.80,1005.21,1.80,020,24.5,10.00,985.36,33.5,5.6,27.0,30.83
48353,LOEI,เลย,เลย,17.45000,101.73333,58,07-10-2019,19:00:00,0.00,1005.56,0.00,280,21.9,14.00,977.36,35.0,5.6,31.0,26.19
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,66,07-10-2019,19:00:00,0.00,1005.29,0.00,230,23.6,12.00,985.41,34.7,3.7,30.7,29.17
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,79,07-10-2019,19:00:00,0.00,1006.34,0.00,000,26.2,12.00,984.88,33.5,0.0,30.3,34.09
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,69,07-10-2019,19:00:00,0.00,1005.31,0.00,000,24.6,15.00,986.12,33.8,0.0,31.0,30.90
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,74,07-10-2019,19:00:00,0.00,1006.37,0.00,000,25.4,12.00,989.83,33.1,0.0,30.5,32.46
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,76,07-10-2019,19:00:00,0.00,1006.44,0.00,000,25.4,10.00,989.23,34.0,0.0,30.2,32.42
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,60,07-10-2019,19:00:00,0.00,1004.05,0.00,250,22.2,12.00,978.71,35.1,11.1,31.0,26.73
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,73,07-10-2019,19:00:00,0.00,1006.46,0.00,240,24.9,10.00,1000.74,35.0,5.6,30.3,31.48
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,74,07-10-2019,19:00:00,0.00,1006.60,0.00,000,25.3,12.00,1000.48,35.0,0.0,30.5,32.17
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,68,07-10-2019,19:00:00,0.00,1006.81,0.00,000,23.5,10.00,990.54,32.5,0.0,30.0,28.91
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,84,07-10-2019,19:00:00,7.40,1006.75,0.00,270,23.1,10.00,984.37,29.4,5.6,26.0,28.18
48376,TAK,ตาก,ตาก,16.87833,99.14333,69,07-10-2019,19:00:00,1.20,1007.67,0.00,260,22.7,6.00,993.38,32.0,11.1,29.0,27.56
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,66,07-10-2019,19:00:00,0.00,1006.55,0.00,000,22.0,10.00,990.29,31.5,0.0,29.0,26.50
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,72,07-10-2019,19:00:00,0.01,1006.88,0.00,310,24.0,10.00,1001.69,32.8,7.4,29.5,29.88
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,72,07-10-2019,19:00:00,3.10,1005.07,0.00,000,24.4,12.00,992.03,33.1,0.0,30.1,30.50
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,54,07-10-2019,19:00:00,0.00,1006.87,0.00,190,20.3,11.00,997.66,33.0,3.7,30.7,23.80
