WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,WindDirection,DewPoint,MeanSeaLevelPressure,WindSpeed,VaporPressure,LandVisibility,StationPressure,Rainfall,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.0,07-10-2019,22:00:00,92,000,23.5,1008.97,0.0,29.00,8.00,977.90,0.30,4.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.2,07-10-2019,22:00:00,95,270,18.4,1005.81,3.7,21.14,8.00,844.94,0.00,1.20
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,25.4,07-10-2019,22:00:00,88,250,23.2,1007.17,5.6,28.41,10.00,963.52,3.80,3.80
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.7,07-10-2019,22:00:00,93,000,24.5,1007.36,0.0,30.81,7.00,961.84,4.60,4.60
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,26.5,07-10-2019,22:00:00,80,000,22.8,1009.11,0.0,27.77,7.00,971.50,1.80,5.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,26.7,07-10-2019,22:00:00,83,130,23.5,1007.59,5.6,28.92,7.00,962.64,0.40,0.60
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,27.0,07-10-2019,22:00:00,89,000,25.0,1008.13,0.0,31.66,8.00,981.46,0.50,0.60
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,27.5,07-10-2019,22:00:00,71,000,21.8,1008.84,0.0,26.17,13.00,987.12,0.00,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.5,07-10-2019,22:00:00,96,000,23.8,1010.28,0.0,29.41,6.00,985.96,0.00,4.40
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,27.0,07-10-2019,22:00:00,72,000,21.4,1008.37,0.0,25.55,10.00,973.93,0.00,0.30
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,28.5,07-10-2019,22:00:00,68,170,22.0,1008.26,3.7,26.39,10.00,980.90,0.00,0.00
