WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall,Rainfall24Hr,WindDirection,StationPressure,MeanSeaLevelPressure,VaporPressure,DewPoint,WindSpeed,RelativeHumidity,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10.00,07-11-2019,10:00:00,0.00,4.00,000,978.46,1009.25,30.37,24.3,0.0,81,27.9
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,07-11-2019,10:00:00,0.00,0.00,270,844.57,1004.79,22.75,19.6,5.6,96,20.2
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,07-11-2019,10:00:00,0.00,3.80,180,965.02,1008.22,27.56,22.7,1.9,69,29.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,07-11-2019,10:00:00,0.00,4.60,000,962.93,1008.05,27.54,22.7,0.0,70,28.7
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,10.00,07-11-2019,10:00:00,0.00,8.80,000,972.36,1009.76,30.15,24.2,0.0,78,28.5
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,8.00,07-11-2019,10:00:00,0.00,0.40,160,963.93,1008.36,26.60,22.1,7.4,61,30.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,12.00,07-11-2019,10:00:00,0.00,0.60,140,983.16,1009.58,27.30,22.5,9.3,63,30.3
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,15.00,07-11-2019,10:00:00,0.00,0.00,240,988.26,1009.77,25.63,21.5,9.3,58,30.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,8.00,07-11-2019,10:00:00,0.40,6.50,000,986.59,1010.64,29.19,23.6,0.0,77,28.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,07-11-2019,10:00:00,0.00,0.30,300,974.81,1008.77,26.32,21.9,3.7,57,31.5
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,07-11-2019,10:00:00,0.00,0.00,000,982.16,1009.24,25.91,21.7,0.0,54,32.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,12.00,07-11-2019,10:00:00,0.00,0.80,280,975.50,1008.45,26.83,22.2,9.3,56,32.2
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,12.00,07-11-2019,10:00:00,0.00,2.50,270,991.09,1009.37,28.09,23.0,7.4,63,31.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,07-11-2019,10:00:00,0.00,0.70,140,986.88,1009.48,27.74,22.8,7.4,65,30.1
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,12.00,07-11-2019,10:00:00,0.00,0.00,000,979.49,1009.14,28.04,23.0,0.0,68,29.4
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,7.00,07-11-2019,10:00:00,0.00,0.00,000,973.91,1008.87,26.32,21.9,0.0,57,31.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,15.00,07-11-2019,10:00:00,0.00,0.00,110,979.10,1008.24,28.65,23.3,5.6,58,32.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10.00,07-11-2019,10:00:00,0.00,0.00,000,1002.49,1009.71,30.49,24.4,0.0,66,31.5
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,18.00,07-11-2019,10:00:00,0.00,1.80,290,988.97,1008.54,31.19,24.7,5.6,64,32.4
48353,LOEI,เลย,เลย,17.45000,101.73333,17.00,07-11-2019,10:00:00,0.00,0.00,280,980.49,1008.55,23.87,20.3,14.8,46,33.5
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,15.00,07-11-2019,10:00:00,0.00,0.00,250,989.39,1009.25,27.38,22.6,9.3,57,32.2
