WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,VaporPressure,WindDirection,Rainfall,DewPoint,StationPressure,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,AirTemperature,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,64,07-11-2019,16:00:00,30.16,000,0.00,24.2,976.04,3.90,0.0,1006.35,31.9,15.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,98,07-11-2019,16:00:00,22.34,270,5.50,19.3,844.37,5.50,22.2,1004.90,19.6,7.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,60,07-11-2019,16:00:00,25.42,210,0.30,21.4,962.35,4.10,9.3,1005.28,30.0,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,80,07-11-2019,16:00:00,30.67,000,5.00,24.5,959.17,9.60,0.0,1004.18,28.2,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,63,07-11-2019,16:00:00,30.08,000,0.00,24.1,969.35,8.80,0.0,1006.19,32.0,12.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,55,07-11-2019,16:00:00,26.18,210,0.00,21.8,960.94,0.40,5.6,1005.01,32.0,12.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,71,07-11-2019,16:00:00,32.81,310,0.00,25.6,980.08,0.60,3.7,1006.31,31.5,12.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,53,07-11-2019,16:00:00,26.92,210,0.00,22.3,985.40,0.00,9.3,1006.68,33.1,15.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,71,07-11-2019,16:00:00,28.37,000,0.00,23.2,984.60,5.60,0.0,1008.52,29.0,10.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,48,07-11-2019,16:00:00,25.63,290,0.00,21.5,971.71,0.30,3.7,1005.28,34.0,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,52,07-11-2019,16:00:00,27.26,000,0.00,22.5,978.81,0.00,0.0,1005.64,33.7,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,49,07-11-2019,16:00:00,25.90,250,0.00,21.7,972.74,0.80,7.4,1005.40,34.0,12.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,49,07-11-2019,16:00:00,27.73,270,0.00,22.8,987.56,0.40,13.0,1005.53,35.2,15.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,52,07-11-2019,16:00:00,28.10,260,0.00,23.0,983.41,0.70,7.4,1005.62,34.4,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,55,07-11-2019,16:00:00,28.07,000,0.00,23.0,976.53,0.00,0.0,1005.69,33.4,12.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,60,07-11-2019,16:00:00,27.11,000,2.40,22.4,971.07,2.40,0.0,1005.95,31.2,7.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,48,07-11-2019,16:00:00,30.36,280,0.00,24.3,975.64,0.00,5.6,1004.27,37.0,17.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,47,07-11-2019,16:00:00,26.19,000,0.00,21.9,999.20,0.00,0.0,1006.31,35.0,10.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,52,07-11-2019,16:00:00,30.10,290,0.00,24.2,985.72,1.80,3.7,1005.02,35.5,18.00
48353,LOEI,เลย,เลย,17.45000,101.73333,39,07-11-2019,16:00:00,24.55,280,0.00,20.8,977.39,0.00,11.1,1005.04,37.0,17.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,45,07-11-2019,16:00:00,27.98,300,0.00,22.9,985.91,0.00,9.3,1005.39,37.0,15.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,85,07-11-2019,16:00:00,30.29,180,3.20,24.3,985.54,3.20,3.7,1007.25,27.0,7.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,78,07-11-2019,16:00:00,31.21,260,1.80,24.8,987.21,4.80,3.7,1006.56,28.9,12.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,80,07-11-2019,16:00:00,33.00,090,2.30,25.7,990.75,2.80,3.7,1007.35,29.5,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,79,07-11-2019,16:00:00,33.33,120,0.50,25.9,989.53,0.50,3.7,1006.76,29.8,12.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,46,07-11-2019,16:00:00,27.36,170,0.00,22.6,980.06,0.00,9.3,1005.03,36.0,12.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,53,07-11-2019,16:00:00,28.43,000,0.00,23.2,1001.49,0.00,0.0,1007.15,34.0,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,63,07-11-2019,16:00:00,32.30,000,0.00,25.3,1000.71,0.00,0.0,1006.78,33.2,12.00
