WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,StationPressure,AirTemperature,WindSpeed,LandVisibility,VaporPressure,Rainfall,WindDirection,DewPoint,MeanSeaLevelPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,93,07-11-2019,22:00:00,979.67,25.9,0.0,8.00,30.92,6.80,000,24.6,1010.71,6.80
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,93,07-11-2019,22:00:00,846.60,19.1,9.3,8.00,20.57,0.00,270,18.0,1007.85,5.50
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,77,07-11-2019,22:00:00,964.34,28.4,3.7,10.00,29.68,0.00,250,23.9,1007.59,0.30
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,84,07-11-2019,22:00:00,962.44,27.3,0.0,15.00,30.31,0.00,000,24.3,1007.74,5.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,70,07-11-2019,22:00:00,971.50,28.0,0.0,7.00,26.54,0.00,000,22.1,1008.92,7.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,81,07-11-2019,22:00:00,963.83,27.5,7.4,8.00,29.60,0.00,130,23.9,1008.71,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,79,07-11-2019,22:00:00,982.53,28.3,0.0,8.00,30.31,0.00,000,24.3,1009.12,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,92,07-11-2019,22:00:00,988.73,25.5,0.0,12.00,29.91,0.00,000,24.0,1010.62,0.01
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,95,07-11-2019,22:00:00,987.98,25.2,0.0,6.00,30.42,0.00,000,24.3,1012.29,2.70
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,76,07-11-2019,22:00:00,975.29,27.7,3.7,10.00,28.37,0.20,180,23.2,1009.70,0.20
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,71,07-11-2019,22:00:00,982.69,28.5,0.0,10.00,27.44,0.00,000,22.6,1010.10,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,65,07-11-2019,22:00:00,976.24,28.3,0.0,10.00,25.00,0.00,000,21.1,1009.65,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,85,07-11-2019,22:00:00,991.11,26.7,0.0,10.00,29.72,0.00,000,23.9,1009.65,2.40
