WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,AirTemperature,RelativeHumidity,VaporPressure,StationPressure,WindSpeed,Rainfall24Hr,LandVisibility,Rainfall,WindDirection,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1010.37,07-12-2019,10:00:00,27.5,81,29.60,979.50,0.0,7.40,8.00,0.00,000,23.9
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1007.73,07-12-2019,10:00:00,19.3,90,20.19,846.60,11.1,5.50,8.00,0.00,270,17.7
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1008.28,07-12-2019,10:00:00,30.5,58,25.53,965.29,3.7,0.30,15.00,0.00,210,21.4
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1008.32,07-12-2019,10:00:00,29.7,63,26.46,963.33,0.0,5.00,15.00,0.00,000,22.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1009.00,07-12-2019,10:00:00,31.5,60,27.68,972.00,0.0,0.00,12.00,0.00,000,22.8
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1009.33,07-12-2019,10:00:00,29.5,65,26.89,964.71,7.4,0.40,9.00,0.00,180,22.3
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1009.88,07-12-2019,10:00:00,30.0,69,29.19,983.42,7.4,0.00,12.00,0.00,180,23.6
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1010.16,07-12-2019,10:00:00,29.0,66,26.50,988.53,3.7,0.01,15.00,0.00,210,22.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1011.16,07-12-2019,10:00:00,30.0,66,28.09,987.25,0.0,0.60,8.00,0.00,000,23.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1009.75,07-12-2019,10:00:00,30.5,62,26.87,975.65,3.7,0.20,12.00,0.00,210,22.3
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1009.26,07-12-2019,10:00:00,31.2,56,25.49,982.11,0.0,0.00,10.00,0.00,000,21.4
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1009.53,07-12-2019,10:00:00,30.5,61,26.60,976.36,0.0,0.00,15.00,0.00,000,22.1
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1010.59,07-12-2019,10:00:00,31.5,57,26.32,992.32,1.9,2.40,12.00,0.00,300,21.9
48331,NAN,น่าน,น่าน,18.77972,100.77778,1009.32,07-12-2019,10:00:00,31.5,62,28.51,986.82,7.4,0.00,10.00,0.00,300,23.2
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1009.90,07-12-2019,10:00:00,30.5,64,27.95,980.34,0.0,0.00,12.00,0.00,000,22.9
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1009.50,07-12-2019,10:00:00,30.5,63,27.68,974.41,0.0,2.40,8.00,0.00,000,22.8
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1007.87,07-12-2019,10:00:00,33.5,52,27.15,978.82,3.7,0.00,16.00,0.00,250,22.4
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1009.85,07-12-2019,10:00:00,31.5,59,27.41,1002.64,0.0,0.00,10.00,0.00,000,22.6
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1008.80,07-12-2019,10:00:00,32.0,68,32.10,989.20,11.1,3.90,20.00,0.00,260,25.2
48353,LOEI,เลย,เลย,17.45000,101.73333,1007.91,07-12-2019,10:00:00,34.1,46,24.45,979.93,5.6,0.00,15.00,0.00,260,20.7
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1009.13,07-12-2019,10:00:00,32.5,58,28.25,989.30,11.1,10.40,15.00,0.00,260,23.1
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1009.12,07-12-2019,10:00:00,32.9,62,30.78,987.78,7.4,3.20,15.00,0.00,250,24.5
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1008.45,07-12-2019,10:00:00,32.2,65,31.06,989.28,3.7,4.80,14.00,0.00,210,24.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1009.61,07-12-2019,10:00:00,30.0,75,31.72,992.99,3.7,2.30,10.00,0.00,090,25.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1009.70,07-12-2019,10:00:00,30.5,68,29.89,992.46,3.7,0.01,10.00,0.00,270,24.0
