WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,StationPressure,Rainfall24Hr,MeanSeaLevelPressure,AirTemperature,RelativeHumidity,LandVisibility,WindDirection,VaporPressure,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.1,07-12-2019,13:00:00,0.0,977.79,7.40,1008.12,32.2,66,12.00,000,31.94,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,20.6,07-12-2019,13:00:00,9.3,963.65,0.30,1006.20,33.1,48,15.00,180,24.20,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,22.3,07-12-2019,13:00:00,5.6,961.85,5.00,1006.25,33.1,53,15.00,250,26.92,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,19.2,07-12-2019,13:00:00,0.0,970.54,0.00,1007.28,33.2,44,12.00,000,22.27,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,22.9,07-12-2019,13:00:00,5.6,962.65,0.40,1006.65,33.0,55,15.00,100,27.84,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,23.3,07-12-2019,13:00:00,0.0,981.70,0.00,1007.75,34.1,54,12.00,000,28.63,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,22.1,07-12-2019,13:00:00,3.7,986.87,0.01,1008.20,32.8,54,15.00,090,26.61,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.0,07-12-2019,13:00:00,0.0,985.96,0.60,1009.75,31.0,63,10.00,000,28.09,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,21.9,07-12-2019,13:00:00,5.6,973.98,0.20,1007.71,33.3,51,12.00,250,26.20,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,21.6,07-12-2019,13:00:00,0.0,980.53,0.00,1007.43,33.5,50,10.00,000,25.76,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,22.1,07-12-2019,13:00:00,9.3,975.15,0.00,1007.84,34.5,49,15.00,230,26.60,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,23.1,07-12-2019,13:00:00,7.4,989.22,2.40,1007.27,34.3,52,12.00,270,28.18,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,22.5,07-12-2019,13:00:00,0.0,984.82,0.00,1007.07,34.1,51,10.00,000,27.21,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.0,07-12-2019,13:00:00,0.0,977.84,0.00,1007.00,33.8,53,12.00,000,28.02,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,22.5,07-12-2019,13:00:00,0.0,972.79,2.40,1007.36,34.5,50,10.00,000,27.17,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.1,07-12-2019,13:00:00,14.8,976.68,0.00,1005.30,37.4,47,17.00,340,30.03,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,22.8,07-12-2019,13:00:00,5.6,1000.82,0.00,1007.94,34.8,50,10.00,230,27.77,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.6,07-12-2019,13:00:00,9.3,987.37,3.90,1006.77,34.4,60,20.00,220,32.81,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,21.0,07-12-2019,13:00:00,14.8,978.48,0.00,1006.20,36.6,41,15.00,270,24.87,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,22.8,07-12-2019,13:00:00,11.1,987.23,10.40,1006.89,34.5,51,15.00,250,27.73,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,23.9,07-12-2019,13:00:00,7.4,986.48,3.20,1007.65,35.0,53,15.00,320,29.63,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,23.0,07-12-2019,13:00:00,13.0,987.38,1.80,1006.32,35.2,49,15.00,310,28.01,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.5,07-12-2019,13:00:00,1.9,990.98,2.30,1007.39,33.2,64,10.00,240,32.59,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.2,07-12-2019,13:00:00,3.7,990.02,0.01,1007.06,33.5,59,12.00,270,30.28,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.0,07-12-2019,13:00:00,7.4,981.24,0.00,1006.25,35.8,48,12.00,220,28.10,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,23.1,07-12-2019,13:00:00,0.0,1003.68,0.00,1009.36,33.2,56,10.00,000,28.24,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.2,07-12-2019,13:00:00,7.4,1001.87,0.00,1007.89,35.5,52,12.00,330,30.10,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,21.1,07-12-2019,13:00:00,0.0,992.23,0.00,1008.18,36.4,41,10.00,000,25.04,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.2,07-12-2019,13:00:00,0.0,986.30,1.00,1008.40,30.5,65,10.00,000,28.50,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,22.7,07-12-2019,13:00:00,14.8,994.06,0.00,1008.12,34.3,51,10.00,290,27.61,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,22.9,07-12-2019,13:00:00,9.3,992.03,0.00,1008.10,33.0,55,7.00,230,27.84,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,23.6,07-12-2019,13:00:00,5.6,1003.28,0.00,1008.41,33.1,58,10.00,270,29.17,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.1,07-12-2019,13:00:00,0.0,993.19,0.00,1006.01,35.7,51,12.00,000,29.94,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,23.0,07-12-2019,13:00:00,7.4,999.19,0.00,1008.30,34.5,51,12.00,340,28.02,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,21.7,07-12-2019,13:00:00,9.3,985.70,1.80,1006.75,36.0,44,10.00,290,25.93,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,22.8,07-12-2019,13:00:00,0.0,989.46,0.01,1006.41,36.5,46,12.00,000,27.81,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,23.6,07-12-2019,13:00:00,9.3,990.76,0.00,1006.17,35.0,52,14.00,240,29.05,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,23.4,07-12-2019,13:00:00,1.9,987.66,0.01,1005.93,36.7,47,10.00,230,28.82,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,24.2,07-12-2019,13:00:00,0.0,957.99,0.70,1008.72,29.2,74,11.00,000,30.13,0.00
