WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,DewPoint,AirTemperature,VaporPressure,WindDirection,MeanSeaLevelPressure,LandVisibility,Rainfall24Hr,Rainfall,WindSpeed,MaximumTemperature,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,90,07-12-2019,19:00:00,25.0,26.7,31.63,000,1007.49,8.00,16.50,9.10,0.0,33.0,976.63
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,51,07-12-2019,19:00:00,21.3,32.8,25.25,000,1003.48,15.00,0.00,0.00,0.0,34.8,961.01
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,63,07-12-2019,19:00:00,23.7,31.6,29.27,000,1003.87,15.00,0.00,0.00,0.0,33.9,959.35
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,71,07-12-2019,19:00:00,24.3,30.0,30.31,000,1005.75,10.00,0.40,0.00,0.0,34.0,968.68
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,67,07-12-2019,19:00:00,23.4,30.2,28.75,000,1004.73,15.00,0.40,0.00,0.0,36.0,960.42
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,62,07-12-2019,19:00:00,24.6,33.0,30.99,000,1004.86,10.00,0.00,0.00,0.0,34.7,978.79
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,49,07-12-2019,19:00:00,20.5,32.5,24.16,240,1006.09,12.00,0.00,0.00,9.3,36.3,984.79
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,92,07-12-2019,19:00:00,25.6,27.0,32.77,000,1008.65,8.00,2.10,2.10,0.0,32.5,984.57
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,52,07-12-2019,19:00:00,21.3,32.4,25.31,000,1005.01,12.00,0.20,0.00,0.0,34.5,971.28
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,48,07-12-2019,19:00:00,20.9,33.5,24.67,000,1005.52,10.00,0.00,0.00,0.0,36.5,978.67
