WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,AirTemperature,Rainfall,StationPressure,RelativeHumidity,DewPoint,WindSpeed,VaporPressure,WindDirection,LandVisibility,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1009.79,07-12-2019,22:00:00,26.0,1.20,978.79,93,24.8,0.0,31.38,000,8.00,10.90
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1006.32,07-12-2019,22:00:00,28.6,0.00,963.15,75,23.8,3.7,29.52,230,12.00,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1006.53,07-12-2019,22:00:00,27.2,0.00,961.26,83,24.0,0.0,29.85,000,15.00,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1007.85,07-12-2019,22:00:00,27.0,0.00,970.34,77,22.6,0.0,27.36,000,7.00,0.40
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1006.89,07-12-2019,22:00:00,28.0,0.00,962.17,77,23.6,5.6,29.19,150,10.00,0.40
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1006.97,07-12-2019,22:00:00,28.5,0.00,980.46,92,27.1,0.0,35.87,000,8.00,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1009.09,07-12-2019,22:00:00,28.0,0.00,987.40,70,22.1,1.9,26.54,220,12.00,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1011.16,07-12-2019,22:00:00,26.2,0.00,986.95,91,24.6,0.0,30.94,000,6.00,2.10
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1008.28,07-12-2019,22:00:00,30.0,0.00,974.17,59,21.2,3.7,25.15,190,10.00,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1009.16,07-12-2019,22:00:00,30.5,0.00,981.96,56,20.8,0.0,24.48,000,10.00,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1007.75,07-12-2019,22:00:00,29.4,0.00,974.52,62,21.3,11.1,25.39,240,10.00,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1007.34,07-12-2019,22:00:00,30.0,0.00,989.04,68,23.5,5.6,28.91,270,10.00,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,1006.86,07-12-2019,22:00:00,31.0,0.00,984.38,63,23.2,0.0,28.37,000,10.00,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1007.12,07-12-2019,22:00:00,30.1,0.00,977.60,64,22.6,0.0,27.47,000,10.00,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1008.45,07-12-2019,22:00:00,29.0,0.00,973.22,64,21.6,0.0,25.71,000,10.00,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1006.59,07-12-2019,22:00:00,28.5,0.00,977.10,74,23.4,0.0,28.78,000,12.00,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1008.09,07-12-2019,22:00:00,30.7,0.00,1000.86,64,23.1,0.0,28.34,000,10.00,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1006.29,07-12-2019,22:00:00,31.4,0.00,986.70,77,27.0,3.7,35.59,230,12.00,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,1006.82,07-12-2019,22:00:00,31.0,0.00,978.58,65,23.6,0.0,29.20,000,12.00,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1006.42,07-12-2019,22:00:00,31.0,0.00,986.54,72,25.4,7.4,32.34,230,12.00,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1007.69,07-12-2019,22:00:00,29.0,0.00,986.11,86,26.5,0.0,34.58,000,10.00,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1006.81,07-12-2019,22:00:00,29.4,0.00,987.49,80,25.6,3.7,32.79,160,10.00,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1008.09,07-12-2019,22:00:00,27.3,0.00,990.70,90,25.4,0.0,32.53,000,10.00,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1006.66,07-12-2019,22:00:00,30.7,0.00,981.22,73,25.3,0.0,32.30,000,12.00,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1008.09,07-12-2019,22:00:00,30.3,0.00,1002.36,66,23.2,11.1,28.39,270,10.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1008.34,07-12-2019,22:00:00,30.3,0.00,1002.21,66,23.3,13.0,28.67,230,10.00,0.00
