WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,MeanSeaLevelPressure,LandVisibility,MinimumTemperature,DewPoint,RelativeHumidity,WindDirection,StationPressure,Rainfall24Hr,AirTemperature,VaporPressure,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,07-13-2019,07:00:00,1009.38,7.00,21.6,23.2,95,000,978.19,22.20,24.1,28.44,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,3.7,07-13-2019,07:00:00,1006.87,12.00,26.1,22.2,74,200,963.48,0.00,27.2,26.67,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,07-13-2019,07:00:00,1007.10,15.00,24.0,23.0,80,000,961.74,0.00,26.7,28.13,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,07-13-2019,07:00:00,1008.10,12.00,24.5,24.3,96,000,970.34,0.40,25.0,30.32,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,5.6,07-13-2019,07:00:00,1007.49,12.00,25.5,25.9,94,180,962.59,0.00,27.0,33.34,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,3.7,07-13-2019,07:00:00,1007.72,12.00,26.3,24.5,87,180,981.06,0.00,27.0,30.83,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,3.7,07-13-2019,07:00:00,1008.98,12.00,24.6,22.2,83,090,987.11,0.00,25.3,26.69,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,07-13-2019,07:00:00,1010.32,4.00,22.0,22.5,91,000,985.96,2.20,24.0,27.25,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,07-13-2019,07:00:00,1008.56,12.00,25.5,21.2,75,000,974.00,0.00,26.0,25.11,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,07-13-2019,07:00:00,1008.75,10.00,25.7,22.3,79,000,981.17,0.00,26.2,26.98,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,07-13-2019,07:00:00,1008.37,10.00,26.3,21.5,74,000,974.80,0.00,26.5,25.71,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,07-13-2019,07:00:00,1007.92,10.00,25.7,22.7,82,000,989.38,0.00,26.1,27.58,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,07-13-2019,07:00:00,1007.56,10.00,26.0,23.5,79,000,984.82,0.00,27.6,28.98,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,07-13-2019,07:00:00,1007.14,10.00,25.3,24.0,92,000,977.18,0.00,25.5,29.91,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,07-13-2019,07:00:00,1008.69,6.00,24.7,21.9,82,000,973.02,0.00,25.2,26.27,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,3.7,07-13-2019,07:00:00,1007.19,12.00,25.4,23.0,85,270,977.43,0.00,25.8,28.08,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,07-13-2019,07:00:00,1008.02,7.00,26.9,23.3,80,000,1000.71,0.00,27.0,28.67,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,9.3,07-13-2019,07:00:00,1007.26,10.00,27.2,26.2,93,270,987.41,1.50,27.5,34.07,1.50
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,07-13-2019,07:00:00,1007.23,10.00,26.5,22.9,72,000,978.73,0.00,28.3,27.87,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1.9,07-13-2019,07:00:00,1007.52,14.00,27.7,23.9,79,220,987.42,0.00,28.0,29.74,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,07-13-2019,07:00:00,1007.73,10.00,27.0,23.6,77,000,986.07,0.00,28.0,29.19,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.0,07-13-2019,07:00:00,1007.49,12.00,27.5,24.4,80,000,988.08,0.00,28.1,30.48,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,07-13-2019,07:00:00,1008.62,9.00,27.0,24.1,79,000,991.91,0.00,28.0,30.01,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,07-13-2019,07:00:00,1008.82,10.00,25.5,24.8,88,000,991.39,0.00,27.0,31.38,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,07-13-2019,07:00:00,1007.19,11.00,26.3,24.8,90,000,981.38,0.00,26.5,31.24,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,5.6,07-13-2019,07:00:00,1008.48,10.00,26.1,22.8,73,270,1002.71,0.00,28.1,27.77,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,13.0,07-13-2019,07:00:00,1008.33,12.00,27.5,22.6,74,230,1002.14,0.00,27.8,27.49,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,9.3,07-13-2019,07:00:00,1009.37,8.00,25.3,23.5,87,180,992.83,0.00,25.8,28.87,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,3.7,07-13-2019,07:00:00,1010.24,10.00,23.5,23.1,93,300,987.65,2.80,24.3,28.28,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,14.8,07-13-2019,07:00:00,1009.75,7.00,27.3,22.2,71,260,995.38,0.00,28.0,26.80,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,07-13-2019,07:00:00,1008.78,8.00,26.8,22.3,73,000,992.40,0.00,27.5,26.95,0.00
