WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall24Hr,MeanSeaLevelPressure,DewPoint,WindDirection,RelativeHumidity,Rainfall,WindSpeed,LandVisibility,VaporPressure,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,27.7,07-13-2019,10:00:00,22.20,1009.87,23.8,000,79,0.00,0.0,10.00,29.44,979.04
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.6,07-13-2019,10:00:00,0.00,1007.17,17.3,290,87,0.00,22.2,8.00,19.74,846.27
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,32.5,07-13-2019,10:00:00,0.00,1006.42,20.5,350,49,0.00,3.7,15.00,24.16,963.78
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,31.9,07-13-2019,10:00:00,0.00,1006.62,21.2,230,53,0.00,13.0,15.00,25.18,962.03
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,32.5,07-13-2019,10:00:00,0.40,1008.33,21.4,000,52,0.00,0.0,12.00,25.49,971.46
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,32.8,07-13-2019,10:00:00,0.00,1007.05,21.3,200,51,0.00,9.3,15.00,25.25,963.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,32.6,07-13-2019,10:00:00,0.00,1008.12,22.4,190,55,0.00,11.1,12.00,27.05,981.93
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,31.6,07-13-2019,10:00:00,0.00,1009.01,21.0,270,54,0.00,13.0,12.00,24.89,987.59
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,25.5,07-13-2019,10:00:00,2.20,1011.32,23.3,000,88,0.00,0.0,6.00,28.59,987.05
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,32.7,07-13-2019,10:00:00,0.00,1008.30,21.3,000,51,0.00,0.0,10.00,25.33,974.49
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,32.0,07-13-2019,10:00:00,0.00,1008.65,20.5,220,51,0.00,9.3,10.00,24.04,981.59
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,31.8,07-13-2019,10:00:00,0.00,1008.65,20.6,220,51,0.00,5.6,15.00,24.20,975.65
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,32.5,07-13-2019,10:00:00,0.00,1008.21,21.6,240,53,0.00,11.1,15.00,25.77,990.05
48331,NAN,น่าน,น่าน,18.77972,100.77778,32.3,07-13-2019,10:00:00,0.00,1007.93,22.7,160,57,0.00,3.7,10.00,27.58,985.53
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,31.0,07-13-2019,10:00:00,0.00,1008.26,21.3,000,57,0.00,0.0,12.00,25.39,978.80
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,32.4,07-13-2019,10:00:00,0.00,1008.05,20.4,000,49,0.00,0.0,8.00,23.97,973.22
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,32.3,07-13-2019,10:00:00,0.00,1006.93,21.5,270,53,0.00,3.7,15.00,25.66,977.79
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,32.5,07-13-2019,10:00:00,0.00,1008.92,23.1,000,58,0.00,0.0,10.00,28.25,1001.73
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,31.0,07-13-2019,10:00:00,1.50,1007.68,25.7,220,73,0.00,3.7,13.00,32.93,988.04
48353,LOEI,เลย,เลย,17.45000,101.73333,33.7,07-13-2019,10:00:00,0.00,1007.34,20.4,290,46,0.00,14.8,15.00,23.97,979.33
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,30.9,07-13-2019,10:00:00,0.00,1008.04,23.4,220,64,0.00,7.4,14.00,28.73,988.12
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,32.2,07-13-2019,10:00:00,0.00,1008.00,24.8,240,65,0.00,5.6,12.00,31.35,986.63
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,31.0,07-13-2019,10:00:00,0.00,1007.84,26.0,000,75,0.00,0.0,15.00,33.52,988.60
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,29.6,07-13-2019,10:00:00,0.00,1008.84,24.9,000,76,0.00,0.0,11.00,31.48,992.22
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,29.6,07-13-2019,10:00:00,0.00,1009.44,24.4,000,74,0.00,0.0,11.00,30.63,992.15
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,30.6,07-13-2019,10:00:00,0.00,1007.41,23.4,230,65,0.00,3.7,12.00,28.70,981.94
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,32.6,07-13-2019,10:00:00,0.00,1008.51,22.7,240,56,0.00,5.6,10.00,27.61,1002.82
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,32.0,07-13-2019,10:00:00,0.00,1008.95,23.0,270,59,0.00,13.0,12.00,28.10,1002.85
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,31.7,07-13-2019,10:00:00,0.00,1009.70,22.8,000,59,0.00,0.0,10.00,27.79,993.47
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,28.5,07-13-2019,10:00:00,2.80,1009.41,22.6,230,71,0.00,5.6,10.00,27.44,987.15
48376,TAK,ตาก,ตาก,16.87833,99.14333,32.2,07-13-2019,10:00:00,0.00,1009.55,22.1,280,55,0.00,16.7,10.00,26.56,995.37
