WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,AirTemperature,DewPoint,Rainfall,StationPressure,WindDirection,VaporPressure,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,07-14-2019,13:00:00,31.2,25.3,0.00,974.80,000,32.18,1.40,71,1005.14,12.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,22.2,07-14-2019,13:00:00,22.5,17.1,0.00,843.33,300,19.53,0.00,72,1002.00,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,7.4,07-14-2019,13:00:00,35.1,21.1,0.00,959.67,250,25.00,0.00,44,1001.77,15.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,11.1,07-14-2019,13:00:00,34.5,21.6,0.00,957.91,330,25.77,0.00,47,1001.93,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,07-14-2019,13:00:00,32.0,24.1,0.00,969.21,000,30.08,0.00,63,1006.05,12.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,07-14-2019,13:00:00,34.5,22.1,0.00,958.66,000,26.60,0.00,49,1002.26,15.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,5.6,07-14-2019,13:00:00,35.0,23.1,0.00,977.86,110,28.18,0.30,50,1003.73,12.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,14.8,07-14-2019,13:00:00,33.7,22.5,0.00,984.03,230,27.26,0.00,52,1005.23,12.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,07-14-2019,13:00:00,30.5,24.8,0.50,983.17,000,31.31,1.00,72,1006.94,10.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,5.6,07-14-2019,13:00:00,33.7,21.1,0.00,970.96,170,25.05,0.00,48,1004.54,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,07-14-2019,13:00:00,34.8,21.4,0.00,977.40,000,25.52,0.00,46,1004.10,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,11.1,07-14-2019,13:00:00,33.0,20.8,0.00,971.73,250,24.55,0.00,49,1004.46,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,13.0,07-14-2019,13:00:00,35.8,23.2,0.00,985.48,220,28.39,0.00,48,1003.37,15.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,5.6,07-14-2019,13:00:00,35.6,22.2,0.00,980.71,190,26.83,0.00,46,1002.77,10.00
