WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,WindDirection,Rainfall24Hr,StationPressure,LandVisibility,WindSpeed,MeanSeaLevelPressure,RelativeHumidity,AirTemperature,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,28.62,07-15-2019,04:00:00,23.3,000,7.50,973.66,6.00,0.0,1004.69,95,24.2,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.62,07-15-2019,04:00:00,17.2,280,1.50,841.33,8.00,29.6,1002.10,94,18.2,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.62,07-15-2019,04:00:00,20.8,220,0.00,959.15,15.00,5.6,1002.39,70,26.9,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.87,07-15-2019,04:00:00,21.6,000,0.00,957.52,12.00,0.0,1002.80,77,26.0,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,31.79,07-15-2019,04:00:00,25.1,000,8.80,966.07,5.00,0.0,1003.60,97,25.5,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,28.29,07-15-2019,04:00:00,23.1,000,0.00,958.11,10.00,0.0,1002.87,82,26.5,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,29.45,07-15-2019,04:00:00,23.8,000,0.00,977.93,7.00,0.0,1004.53,84,26.7,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,25.61,07-15-2019,04:00:00,21.5,000,0.00,982.51,12.00,0.0,1004.23,76,26.0,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,28.53,07-15-2019,04:00:00,23.3,000,10.90,981.09,6.00,0.0,1005.33,96,24.0,0.50
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,27.70,07-15-2019,04:00:00,22.8,000,9.50,969.85,10.00,0.0,1004.38,88,25.0,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.38,07-15-2019,04:00:00,20.7,000,0.00,977.75,10.00,0.0,1005.11,66,27.5,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,28.43,07-15-2019,04:00:00,23.2,210,0.00,970.66,10.00,7.4,1004.00,78,27.3,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,27.14,07-15-2019,04:00:00,22.4,270,0.40,985.14,10.00,9.3,1003.62,81,26.0,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,29.68,07-15-2019,04:00:00,23.9,000,1.90,980.62,10.00,0.0,1003.38,88,26.1,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,28.88,07-15-2019,04:00:00,23.5,000,30.00,974.16,6.00,0.0,1004.17,96,24.2,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,28.92,07-15-2019,04:00:00,23.5,000,0.00,968.57,7.00,0.0,1003.89,83,26.7,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.98,07-15-2019,04:00:00,21.7,000,0.00,973.07,12.00,0.0,1002.58,72,27.1,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.69,07-15-2019,04:00:00,22.2,000,0.00,997.40,9.00,0.0,1004.68,73,27.5,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,31.14,07-15-2019,04:00:00,24.7,090,0.00,983.61,10.00,5.6,1003.40,86,27.3,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,23.65,07-15-2019,04:00:00,20.2,300,0.00,974.59,13.00,3.7,1002.96,61,28.4,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,28.92,07-15-2019,04:00:00,23.5,310,0.10,983.16,10.00,3.7,1003.26,83,26.7,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,29.39,07-15-2019,04:00:00,23.8,240,1.20,982.12,10.00,3.7,1003.75,82,27.1,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,30.45,07-15-2019,04:00:00,24.3,000,0.00,983.59,10.00,0.0,1002.94,82,27.8,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,31.05,07-15-2019,04:00:00,24.7,100,0.00,987.56,10.00,7.4,1004.22,85,27.4,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,31.76,07-15-2019,04:00:00,25.0,000,0.00,986.89,10.00,0.0,1004.29,93,26.2,0.00
