WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,WindDirection,VaporPressure,RelativeHumidity,DewPoint,StationPressure,AirTemperature,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,3.7,07-16-2019,13:00:00,1003.76,0.00,10.00,220,28.08,57,23.0,973.61,32.7,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.0,07-16-2019,13:00:00,1001.30,17.70,8.00,000,24.24,87,20.6,842.94,22.9,17.70
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1.9,07-16-2019,13:00:00,1001.89,0.00,12.00,120,27.94,53,22.9,959.64,33.9,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,11.1,07-16-2019,13:00:00,1001.89,0.00,15.00,130,27.01,51,22.4,957.80,34.0,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,9.3,07-16-2019,13:00:00,1002.78,0.00,12.00,210,27.18,52,22.5,966.27,33.8,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,18.5,07-16-2019,13:00:00,1002.83,0.00,12.00,240,27.05,55,22.4,958.93,32.6,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,5.6,07-16-2019,13:00:00,1003.01,0.00,12.00,200,27.19,47,22.5,977.20,35.5,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,11.1,07-16-2019,13:00:00,1004.00,1.10,15.00,210,25.24,48,21.2,982.83,33.8,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,07-16-2019,13:00:00,1004.74,0.00,10.00,000,29.89,68,24.0,981.02,30.5,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,07-16-2019,13:00:00,1003.37,0.00,12.00,000,25.49,47,21.4,969.91,34.5,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,07-16-2019,13:00:00,1002.74,0.00,10.00,000,26.70,45,22.2,976.19,36.1,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,07-16-2019,13:00:00,1002.36,0.00,15.00,000,26.46,45,22.0,969.97,35.7,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,3.7,07-16-2019,13:00:00,1002.99,0.01,15.00,220,28.14,53,23.0,985.01,34.0,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,07-16-2019,13:00:00,1002.52,0.00,10.00,000,26.75,48,22.2,980.43,35.0,0.00
