WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,WindSpeed,DewPoint,RelativeHumidity,MeanSeaLevelPressure,Rainfall,Rainfall24Hr,StationPressure,VaporPressure,LandVisibility,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,07-16-2019,22:00:00,0.0,23.0,75,1003.57,0.00,0.00,972.94,28.02,12.00,27.8
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,000,07-16-2019,22:00:00,0.0,18.7,90,1002.32,0.00,17.70,842.64,21.61,8.00,20.5
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,030,07-16-2019,22:00:00,1.9,24.1,76,1002.47,0.00,0.00,959.50,30.10,12.00,28.9
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,07-16-2019,22:00:00,0.0,24.1,78,1002.33,0.00,0.00,957.41,30.04,15.00,28.3
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,07-16-2019,22:00:00,0.0,24.3,86,1002.78,0.00,0.00,965.44,30.45,8.00,26.8
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,120,07-16-2019,22:00:00,3.7,25.3,87,1003.11,0.00,2.00,958.50,32.28,9.00,27.6
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,07-16-2019,22:00:00,0.0,25.2,80,1003.42,0.00,0.00,977.05,31.98,10.00,29.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,210,07-16-2019,22:00:00,7.4,21.8,66,1004.06,0.00,0.00,982.54,26.14,15.00,28.8
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,07-16-2019,22:00:00,0.0,24.0,92,1005.72,0.00,1.00,981.59,29.91,8.00,25.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,200,07-16-2019,22:00:00,3.7,22.8,67,1002.85,0.00,0.00,968.89,27.80,10.00,29.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,07-16-2019,22:00:00,0.0,21.9,60,1003.33,0.00,0.00,976.28,26.33,10.00,30.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,07-16-2019,22:00:00,0.0,24.4,86,1003.21,0.70,0.70,969.87,30.56,10.00,27.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,270,07-16-2019,22:00:00,3.7,24.1,73,1002.87,0.00,0.00,984.63,30.08,15.00,29.6
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,07-16-2019,22:00:00,0.0,23.5,68,1003.00,0.00,0.00,980.54,28.91,10.00,30.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,07-16-2019,22:00:00,0.0,24.6,83,1003.45,0.00,0.00,973.82,31.00,10.00,27.8
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,07-16-2019,22:00:00,0.0,22.7,67,1003.21,0.00,0.00,968.21,27.50,7.00,29.4
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,140,07-16-2019,22:00:00,3.7,24.3,79,1003.18,0.00,0.00,973.77,30.31,12.00,28.3
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,07-16-2019,22:00:00,0.0,23.3,66,1003.59,0.00,0.00,996.39,28.67,10.00,30.3
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,120,07-16-2019,22:00:00,3.7,27.2,79,1003.40,0.00,0.00,983.86,35.98,13.00,31.3
48353,LOEI,เลย,เลย,17.45000,101.73333,150,07-16-2019,22:00:00,3.7,23.4,73,1003.87,0.00,0.00,975.50,28.70,12.00,28.6
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,040,07-16-2019,22:00:00,1.9,25.6,72,1003.12,0.00,0.00,983.31,32.76,12.00,31.2
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,000,07-16-2019,22:00:00,0.0,26.3,86,1004.69,0.00,0.00,983.16,34.15,12.00,28.8
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,000,07-16-2019,22:00:00,0.0,25.7,76,1003.53,0.00,0.00,984.35,33.05,12.00,30.5
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,000,07-16-2019,22:00:00,0.0,26.0,81,1005.72,0.00,0.00,989.14,33.58,10.00,29.5
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,07-16-2019,22:00:00,0.0,26.4,85,1005.01,0.00,0.00,987.78,34.41,10.00,29.2
