WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,RelativeHumidity,Rainfall,MinimumTemperature,MeanSeaLevelPressure,WindSpeed,AirTemperature,StationPressure,VaporPressure,Rainfall24Hr,WindDirection,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.0,07-17-2019,07:00:00,91,0.00,23.0,1004.32,0.0,25.6,973.44,29.82,0.00,000,10.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.0,07-17-2019,07:00:00,94,0.00,18.5,1002.97,1.9,19.0,842.45,20.65,17.70,280,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.5,07-17-2019,07:00:00,86,0.00,25.1,1003.34,0.0,26.0,959.93,28.97,0.00,000,12.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.4,07-17-2019,07:00:00,93,0.00,24.1,1003.51,0.0,24.6,957.99,28.81,0.00,000,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.2,07-17-2019,07:00:00,97,0.00,23.5,1004.00,0.0,24.8,966.37,30.22,0.00,000,12.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.9,07-17-2019,07:00:00,89,0.00,25.2,1003.49,3.7,25.8,958.59,29.66,2.00,180,7.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,23.9,07-17-2019,07:00:00,93,0.00,24.4,1004.23,0.0,25.1,977.49,29.70,0.00,000,12.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,22.6,07-17-2019,07:00:00,84,0.00,24.4,1003.63,0.0,25.6,981.89,27.47,0.00,000,13.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.4,07-17-2019,07:00:00,88,0.00,23.4,1004.60,0.0,25.5,980.49,28.85,1.00,000,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,22.0,07-17-2019,07:00:00,78,0.00,25.4,1004.40,0.0,26.0,969.98,26.37,0.00,000,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.7,07-17-2019,07:00:00,86,0.00,25.2,1005.37,0.0,26.2,977.88,29.33,0.00,000,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,24.4,07-17-2019,07:00:00,88,0.00,25.4,1003.80,0.0,26.6,970.40,30.62,0.70,000,12.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.8,07-17-2019,07:00:00,93,0.00,25.5,1003.14,0.0,26.0,984.68,31.38,0.00,000,10.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.2,07-17-2019,07:00:00,89,0.00,25.2,1003.37,0.0,26.2,980.62,30.13,0.00,000,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.3,07-17-2019,07:00:00,92,0.00,23.8,1003.63,0.0,24.8,973.70,28.64,0.00,000,10.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.1,07-17-2019,07:00:00,92,0.00,23.8,1003.67,0.0,24.4,968.09,28.20,0.00,000,8.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.5,07-17-2019,07:00:00,93,0.00,24.2,1002.88,0.0,25.7,973.23,30.81,3.80,000,7.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,23.1,07-17-2019,07:00:00,84,0.00,25.9,1003.01,0.0,26.0,995.71,28.18,0.00,000,10.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,23.4,07-17-2019,07:00:00,78,0.00,26.3,1002.91,0.0,27.5,983.14,28.80,1.80,000,12.00
48353,LOEI,เลย,เลย,17.45000,101.73333,24.3,07-17-2019,07:00:00,93,0.00,24.7,1003.66,3.7,25.5,975.00,30.44,11.60,350,12.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.5,07-17-2019,07:00:00,87,0.00,25.7,1003.62,3.7,27.0,983.54,30.83,0.00,260,15.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,23.9,07-17-2019,07:00:00,85,0.00,25.9,1003.68,0.0,26.7,982.02,29.72,0.00,000,15.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.3,07-17-2019,07:00:00,80,0.00,27.1,1003.14,3.7,28.2,983.82,30.40,0.00,190,12.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.7,07-17-2019,07:00:00,75,0.00,27.8,1003.87,0.0,29.7,987.34,31.12,0.00,000,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,25.7,07-17-2019,07:00:00,87,0.00,26.6,1004.04,0.0,28.1,986.76,33.00,0.00,000,11.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,25.0,07-17-2019,07:00:00,91,0.00,24.8,1002.76,3.7,26.6,977.07,31.71,10.60,100,10.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,23.3,07-17-2019,07:00:00,78,0.00,25.0,1003.49,0.0,27.4,997.73,28.61,0.00,000,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,23.2,07-17-2019,07:00:00,80,0.00,26.4,1005.72,5.6,27.0,999.54,28.41,1.00,280,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.8,07-17-2019,07:00:00,84,0.00,24.5,1003.94,0.0,26.7,987.54,29.45,0.00,000,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.3,07-17-2019,07:00:00,96,0.00,23.3,1002.96,0.0,24.0,980.51,28.53,8.50,000,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,22.6,07-17-2019,07:00:00,76,0.00,26.5,1003.83,3.7,27.2,989.50,27.45,1.00,300,8.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,22.6,07-17-2019,07:00:00,77,0.00,26.5,1003.24,0.0,27.0,986.93,27.36,0.00,000,8.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.7,07-17-2019,07:00:00,87,0.00,26.0,1003.22,3.7,27.0,998.01,31.11,0.00,110,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.5,07-17-2019,07:00:00,88,0.00,25.5,1002.17,0.0,26.7,989.03,30.81,0.00,000,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,22.8,07-17-2019,07:00:00,77,0.00,26.0,1003.06,0.0,27.2,993.78,27.72,0.00,000,12.00
