WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,MeanSeaLevelPressure,DewPoint,AirTemperature,WindDirection,RelativeHumidity,VaporPressure,Rainfall24Hr,StationPressure,Rainfall,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10.00,07-17-2019,16:00:00,1000.70,23.1,30.7,120,64,28.34,0.01,970.45,0.01,16.7
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,6.00,07-17-2019,16:00:00,999.74,20.3,22.0,180,90,23.80,1.60,841.19,1.60,27.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,12.00,07-17-2019,16:00:00,997.99,21.2,36.2,180,42,25.20,0.00,956.20,0.00,7.4
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,07-17-2019,16:00:00,998.34,22.2,35.1,240,47,26.67,0.00,954.56,0.00,9.3
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,12.00,07-17-2019,16:00:00,999.19,22.1,36.2,170,44,26.62,0.00,963.09,0.00,13.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,13.00,07-17-2019,16:00:00,997.99,21.7,37.1,200,41,25.88,2.00,954.93,0.00,3.7
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,12.00,07-17-2019,16:00:00,1000.30,25.9,33.2,130,66,33.50,0.01,974.36,0.01,7.4
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,12.00,07-17-2019,16:00:00,999.95,21.5,36.0,240,43,25.65,0.01,979.01,0.01,3.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10.00,07-17-2019,16:00:00,1001.27,25.7,32.0,000,69,32.99,1.00,977.75,0.00,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,12.00,07-17-2019,16:00:00,999.20,20.4,37.0,200,38,23.99,0.00,966.14,0.00,9.3
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,07-17-2019,16:00:00,999.05,21.4,37.5,000,40,25.55,0.00,972.71,0.00,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,12.00,07-17-2019,16:00:00,998.91,22.5,36.2,100,45,27.19,0.70,966.68,0.00,7.4
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,15.00,07-17-2019,16:00:00,999.27,22.1,36.3,360,44,26.54,0.00,981.49,0.00,3.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,07-17-2019,16:00:00,999.56,24.7,34.3,080,57,31.09,0.00,977.48,0.00,5.6
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,12.00,07-17-2019,16:00:00,999.56,22.9,34.6,150,51,27.94,0.00,970.69,0.00,7.4
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,8.00,07-17-2019,16:00:00,999.45,21.9,36.2,000,44,26.33,0.00,965.34,0.00,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,17.00,07-17-2019,16:00:00,999.19,24.8,34.1,280,58,31.26,3.80,970.44,0.00,5.6
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10.00,07-17-2019,16:00:00,999.84,22.6,37.0,000,44,27.40,0.00,992.82,0.00,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,18.00,07-17-2019,16:00:00,999.91,26.6,36.5,000,57,34.80,1.80,980.77,0.00,0.0
48353,LOEI,เลย,เลย,17.45000,101.73333,15.00,07-17-2019,16:00:00,1000.10,24.5,34.8,260,55,30.68,11.60,972.39,0.00,9.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,15.00,07-17-2019,16:00:00,1000.50,23.6,34.2,240,54,29.13,0.00,980.94,0.00,9.3
