WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,StationPressure,VaporPressure,MeanSeaLevelPressure,RelativeHumidity,Rainfall,AirTemperature,LandVisibility,DewPoint,Rainfall24Hr,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,07-19-2019,04:00:00,973.22,29.93,1003.94,84,0.00,27.1,8.00,24.1,0.00,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,000,07-19-2019,04:00:00,841.57,21.38,1001.52,93,0.00,19.7,8.00,18.6,4.00,0.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,07-19-2019,04:00:00,958.25,29.45,1001.47,84,0.00,26.7,15.00,23.8,0.00,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,07-19-2019,04:00:00,956.23,28.59,1001.52,88,0.00,25.5,12.00,23.3,0.00,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,07-19-2019,04:00:00,964.05,29.38,1001.50,90,0.00,25.5,5.00,23.7,0.00,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,120,07-19-2019,04:00:00,957.17,30.02,1001.81,84,0.00,27.0,10.00,24.1,0.00,3.7
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,07-19-2019,04:00:00,976.34,30.26,1002.90,86,0.00,26.7,10.00,24.2,0.00,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,210,07-19-2019,04:00:00,981.36,27.54,1002.98,77,0.00,27.1,12.00,22.7,0.00,5.6
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,07-19-2019,04:00:00,980.82,31.41,1004.87,92,0.00,26.3,6.00,24.9,0.00,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,210,07-19-2019,04:00:00,968.51,27.34,1002.62,71,0.00,28.3,10.00,22.6,0.00,3.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,07-19-2019,04:00:00,975.27,28.65,1002.52,76,0.00,28.0,10.00,23.3,0.00,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,07-19-2019,04:00:00,969.41,26.96,1002.64,72,0.00,27.8,10.00,22.3,0.00,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,000,07-19-2019,04:00:00,984.81,30.56,1003.15,81,0.00,28.0,10.00,24.4,0.00,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,07-19-2019,04:00:00,979.54,31.11,1002.21,87,0.00,27.0,10.00,24.7,0.00,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,07-19-2019,04:00:00,972.67,29.00,1002.55,92,0.00,25.0,7.00,23.5,0.00,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,07-19-2019,04:00:00,966.99,29.08,1002.28,84,0.00,26.5,6.00,23.6,0.00,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,07-19-2019,04:00:00,971.67,28.77,1001.47,98,0.00,23.7,7.00,23.4,0.50,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,07-19-2019,04:00:00,995.39,29.74,1002.62,74,0.00,29.0,9.00,23.9,0.00,0.0
