WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall,AirTemperature,WindDirection,WindSpeed,Rainfall24Hr,StationPressure,DewPoint,VaporPressure,LandVisibility,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1003.65,07-19-2019,13:00:00,0.00,34.3,000,0.0,0.00,973.66,22.9,27.90,15.00,52
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1000.32,07-19-2019,13:00:00,0.00,26.2,000,0.0,4.00,843.68,21.1,24.95,8.00,73
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1001.11,07-19-2019,13:00:00,0.00,36.1,150,7.4,0.00,959.18,20.5,24.17,15.00,40
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1001.24,07-19-2019,13:00:00,0.00,36.4,000,0.0,0.00,957.51,22.7,27.60,15.00,45
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1001.87,07-19-2019,13:00:00,0.00,36.5,000,0.0,0.00,965.71,22.8,27.81,12.00,46
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1001.79,07-19-2019,13:00:00,0.00,36.6,240,9.3,0.00,958.49,22.3,26.86,12.00,44
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1003.14,07-19-2019,13:00:00,0.00,35.4,330,7.4,0.00,977.31,24.4,30.48,12.00,53
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1002.84,07-19-2019,13:00:00,0.00,37.1,030,3.7,0.00,981.91,21.1,25.03,15.00,40
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1004.62,07-19-2019,13:00:00,0.00,33.6,000,0.0,0.00,981.15,22.2,26.78,10.00,51
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1002.43,07-19-2019,13:00:00,0.00,36.1,120,3.7,0.00,969.18,22.0,26.42,10.00,44
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1002.62,07-19-2019,13:00:00,0.00,37.6,180,3.7,0.00,976.20,22.3,26.91,10.00,41
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1002.59,07-19-2019,13:00:00,0.00,36.5,000,0.0,0.00,970.27,21.1,24.96,15.00,41
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1002.59,07-19-2019,13:00:00,0.00,36.6,280,9.3,0.00,984.76,21.9,26.29,15.00,43
48331,NAN,น่าน,น่าน,18.77972,100.77778,1003.41,07-19-2019,13:00:00,0.00,36.1,060,1.9,0.00,981.38,23.7,29.31,10.00,49
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1003.02,07-19-2019,13:00:00,0.00,34.4,000,0.0,0.00,974.03,23.8,29.54,12.00,54
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1002.27,07-19-2019,13:00:00,0.00,36.4,000,0.0,0.00,968.08,21.5,25.60,7.00,42
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1002.30,07-19-2019,13:00:00,0.00,35.0,050,3.7,0.50,973.55,24.7,31.11,17.00,55
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1004.46,07-19-2019,13:00:00,0.00,37.0,160,11.1,0.00,997.41,22.9,27.98,14.00,45
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1002.67,07-19-2019,13:00:00,0.00,36.3,220,7.4,0.00,983.46,27.0,35.60,18.00,59
48353,LOEI,เลย,เลย,17.45000,101.73333,1002.73,07-19-2019,13:00:00,0.00,35.0,310,9.3,0.00,974.97,23.6,29.05,17.00,52
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1003.35,07-19-2019,13:00:00,0.00,35.2,270,9.3,0.00,983.80,24.6,30.95,15.00,54
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1003.47,07-19-2019,13:00:00,0.00,35.5,000,0.0,0.00,982.42,25.1,31.90,15.00,55
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1003.15,07-19-2019,13:00:00,0.00,35.0,300,7.4,0.00,984.25,24.5,30.81,14.00,55
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1004.16,07-19-2019,13:00:00,0.00,34.5,110,7.4,0.00,987.87,26.2,33.95,12.00,62
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1004.24,07-19-2019,13:00:00,0.00,35.7,100,3.7,0.00,987.38,25.8,33.27,12.00,57
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1002.70,07-19-2019,13:00:00,0.00,36.1,000,0.0,0.00,977.80,23.0,28.14,12.00,47
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1003.85,07-19-2019,13:00:00,0.00,36.8,050,5.6,0.00,998.26,23.7,29.33,10.00,47
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1003.32,07-19-2019,13:00:00,0.00,36.0,310,5.6,0.00,997.34,25.5,32.71,12.00,55
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1003.94,07-19-2019,13:00:00,0.00,35.2,000,0.0,0.00,987.99,23.5,28.88,10.00,51
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1004.04,07-19-2019,13:00:00,0.00,32.0,270,3.7,0.00,982.15,24.1,30.08,10.00,63
