WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,StationPressure,AirTemperature,Rainfall,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure,VaporPressure,LandVisibility,DewPoint,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,100,07-19-2019,16:00:00,970.70,36.5,0.00,0.00,43,1000.39,26.37,15.00,22.0,1.9
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,000,07-19-2019,16:00:00,841.78,25.7,1.70,5.70,74,998.34,24.37,8.00,20.7,0.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,230,07-19-2019,16:00:00,956.97,36.1,0.00,0.00,37,998.81,22.27,15.00,19.2,1.9
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,260,07-19-2019,16:00:00,955.35,35.0,0.00,0.00,40,999.18,22.63,15.00,19.5,13.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,07-19-2019,16:00:00,963.72,36.0,0.00,0.00,45,999.87,26.78,12.00,22.2,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,300,07-19-2019,16:00:00,956.44,37.0,0.00,0.00,44,999.59,27.40,15.00,22.6,5.6
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,220,07-19-2019,16:00:00,974.24,38.8,0.00,0.00,43,999.71,29.48,12.00,23.8,9.3
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,290,07-19-2019,16:00:00,979.24,39.0,0.00,0.00,35,999.97,24.31,15.00,20.6,5.6
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,07-19-2019,16:00:00,978.39,34.5,0.00,0.00,54,1001.74,29.46,10.00,23.8,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,220,07-19-2019,16:00:00,966.06,38.1,0.00,0.00,38,998.99,25.63,10.00,21.5,3.7
