WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,MeanSeaLevelPressure,Rainfall,WindSpeed,WindDirection,Rainfall24Hr,DewPoint,VaporPressure,LandVisibility,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,30.1,07-19-2019,22:00:00,70,1003.46,0.00,0.0,000,0.00,24.1,29.94,10.00,973.06
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,22.5,07-19-2019,22:00:00,78,1001.73,0.00,3.7,210,1.70,18.5,21.32,8.00,843.11
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,30.0,07-19-2019,22:00:00,71,1001.88,0.00,1.9,290,0.00,24.3,30.31,15.00,959.09
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,29.0,07-19-2019,22:00:00,78,1001.99,0.00,0.0,000,0.00,24.7,31.13,15.00,957.19
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,28.7,07-19-2019,22:00:00,69,1004.19,0.00,0.0,000,0.00,22.5,27.28,8.00,967.03
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,30.0,07-19-2019,22:00:00,69,1002.46,0.00,0.0,000,0.00,23.8,29.47,12.00,958.22
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,31.3,07-19-2019,22:00:00,73,1002.85,0.00,0.0,000,0.00,26.0,33.57,10.00,976.68
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,31.2,07-19-2019,22:00:00,64,1003.99,0.00,1.9,130,0.00,23.6,29.04,12.00,982.64
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,27.5,07-19-2019,22:00:00,84,1005.95,0.00,0.0,000,0.00,24.6,30.97,8.00,981.97
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,32.6,07-19-2019,22:00:00,54,1002.22,0.00,0.0,000,0.00,22.2,26.78,10.00,968.60
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,32.5,07-19-2019,22:00:00,59,1003.03,0.00,0.0,000,0.00,23.4,28.81,10.00,976.16
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,32.6,07-19-2019,22:00:00,57,1002.13,0.00,0.0,000,0.00,23.0,28.17,10.00,969.43
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,31.1,07-19-2019,22:00:00,63,1002.81,0.00,3.7,250,0.00,23.3,28.56,15.00,984.66
48331,NAN,น่าน,น่าน,18.77972,100.77778,31.6,07-19-2019,22:00:00,65,1002.74,0.00,0.0,000,0.00,24.2,30.12,10.00,980.40
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,28.4,07-19-2019,22:00:00,82,1003.06,0.00,0.0,000,0.00,25.0,31.62,10.00,973.50
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,32.2,07-19-2019,22:00:00,55,1002.74,0.00,0.0,000,0.00,21.9,26.28,6.00,968.08
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,28.1,07-19-2019,22:00:00,79,1003.39,0.00,0.0,000,0.00,24.1,29.93,12.00,973.95
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,32.4,07-19-2019,22:00:00,65,1003.57,0.00,0.0,000,0.00,25.1,31.77,10.00,996.42
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,32.0,07-19-2019,22:00:00,77,1003.15,0.00,0.0,000,0.00,27.5,36.63,10.00,983.66
48353,LOEI,เลย,เลย,17.45000,101.73333,30.2,07-19-2019,22:00:00,68,1003.68,0.00,0.0,000,0.00,23.7,29.30,14.00,975.45
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,31.5,07-19-2019,22:00:00,72,1003.42,0.00,1.9,120,0.00,25.9,33.40,12.00,983.63
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,29.2,07-19-2019,22:00:00,87,1004.23,0.00,0.0,000,0.00,26.8,35.30,12.00,982.73
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,30.2,07-19-2019,22:00:00,80,1004.06,0.00,1.9,130,0.00,26.3,34.18,10.00,984.84
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,30.5,07-19-2019,22:00:00,70,1004.87,0.00,0.0,000,0.00,24.3,30.46,12.00,988.36
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,28.2,07-19-2019,22:00:00,89,1005.11,0.00,0.0,000,0.00,26.2,34.07,10.00,987.81
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,30.3,07-19-2019,22:00:00,76,1003.41,0.00,0.0,000,0.00,25.5,32.63,11.00,978.02
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,32.0,07-19-2019,22:00:00,60,1003.58,0.00,5.6,230,0.00,23.3,28.66,10.00,997.90
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,33.2,07-19-2019,22:00:00,54,1003.64,0.00,0.0,000,0.00,22.8,27.67,10.00,997.60
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,30.0,07-19-2019,22:00:00,71,1004.35,0.00,0.0,000,0.00,24.3,30.31,10.00,988.12
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,26.5,07-19-2019,22:00:00,84,1005.12,0.00,5.6,270,0.00,23.6,29.08,10.00,982.81
48376,TAK,ตาก,ตาก,16.87833,99.14333,29.9,07-19-2019,22:00:00,64,1005.20,0.00,14.8,270,0.00,22.2,26.82,10.00,990.98
