WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,WindDirection,Rainfall,AirTemperature,DewPoint,RelativeHumidity,WindSpeed,StationPressure,LandVisibility,Rainfall24Hr,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,29.98,07-20-2019,01:00:00,000,0.00,28.7,24.1,76,0.0,973.86,8.00,0.00,1004.43
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,21.89,07-20-2019,01:00:00,240,0.00,21.8,18.9,84,3.7,843.08,8.00,1.70,1002.10
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,30.07,07-20-2019,01:00:00,000,0.00,28.6,24.1,77,0.0,959.24,15.00,0.00,1002.23
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,31.05,07-20-2019,01:00:00,000,0.00,27.4,24.7,85,0.0,957.26,12.00,0.00,1002.30
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,27.36,07-20-2019,01:00:00,000,0.00,27.0,22.6,77,0.0,965.91,5.00,0.00,1003.24
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,28.91,07-20-2019,01:00:00,160,0.00,29.0,23.5,72,9.3,958.11,10.00,0.00,1002.50
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,32.63,07-20-2019,01:00:00,000,0.00,28.9,25.5,82,0.0,976.95,10.00,0.00,1003.33
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,27.67,07-20-2019,01:00:00,190,0.00,29.2,22.8,68,1.9,982.84,12.00,0.00,1004.34
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,31.65,07-20-2019,01:00:00,000,0.00,26.0,25.0,94,0.0,982.24,6.00,0.00,1006.35
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.60,07-20-2019,01:00:00,220,0.00,30.1,21.5,60,7.4,969.53,10.00,0.00,1003.47
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,28.09,07-20-2019,01:00:00,000,0.00,31.0,23.0,63,0.0,976.72,10.00,0.00,1003.74
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,27.55,07-20-2019,01:00:00,000,0.00,30.0,22.7,65,0.0,970.57,10.00,0.00,1003.60
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,29.88,07-20-2019,01:00:00,290,0.00,29.5,24.0,72,3.7,984.96,12.00,0.00,1003.21
48331,NAN,น่าน,น่าน,18.77972,100.77778,30.39,07-20-2019,01:00:00,000,0.00,29.9,24.3,72,0.0,980.54,10.00,0.00,1003.01
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,29.58,07-20-2019,01:00:00,000,0.00,25.9,23.9,89,0.0,973.70,8.00,0.00,1003.52
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,28.26,07-20-2019,01:00:00,000,0.00,29.8,23.1,67,0.0,968.88,6.00,0.00,1003.85
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,29.99,07-20-2019,01:00:00,000,0.00,26.7,24.1,86,0.0,973.73,12.00,0.00,1003.29
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,28.75,07-20-2019,01:00:00,000,0.00,30.2,23.4,67,0.0,997.06,9.00,0.00,1004.27
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,34.80,07-20-2019,01:00:00,000,0.00,29.8,26.6,83,0.0,983.47,10.00,0.00,1003.09
48353,LOEI,เลย,เลย,17.45000,101.73333,29.63,07-20-2019,01:00:00,000,0.00,27.8,23.9,79,0.0,974.89,12.00,0.00,1003.33
