WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindDirection,RelativeHumidity,WindSpeed,MeanSeaLevelPressure,LandVisibility,AirTemperature,VaporPressure,DewPoint,Rainfall24Hr,StationPressure,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,07-20-2019,04:00:00,000,75,0.0,1004.39,8.00,28.3,28.95,23.5,0.00,973.78,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,07-20-2019,04:00:00,270,91,14.8,1002.46,8.00,20.5,21.83,18.9,1.70,842.75,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,07-20-2019,04:00:00,000,84,0.0,1002.48,15.00,27.4,30.78,24.5,0.00,959.31,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,07-20-2019,04:00:00,000,89,0.0,1002.34,12.00,26.2,30.13,24.2,0.00,957.12,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,07-20-2019,04:00:00,000,92,0.0,1001.82,5.00,26.0,30.84,24.6,0.00,964.42,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,07-20-2019,04:00:00,160,81,5.6,1002.41,10.00,27.6,30.07,24.1,0.00,957.83,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,07-20-2019,04:00:00,000,84,0.0,1003.73,10.00,27.5,30.97,24.6,0.00,977.21,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,07-20-2019,04:00:00,200,73,1.9,1004.11,12.00,27.8,27.22,22.5,0.00,982.52,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,07-20-2019,04:00:00,000,92,0.0,1005.81,6.00,26.0,30.84,24.6,0.00,981.71,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,07-20-2019,04:00:00,210,68,3.7,1003.66,10.00,28.4,26.47,22.0,0.00,969.53,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,07-20-2019,04:00:00,000,72,0.0,1003.70,10.00,28.8,28.54,23.3,0.00,976.49,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,07-20-2019,04:00:00,000,74,0.0,1003.78,10.00,28.0,27.85,22.9,0.00,970.54,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,07-20-2019,04:00:00,000,79,0.0,1003.04,12.00,27.9,29.82,24.0,0.00,984.69,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,07-20-2019,04:00:00,000,84,0.0,1003.17,10.00,27.8,31.28,24.8,0.00,980.54,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,07-20-2019,04:00:00,000,92,0.0,1003.67,7.00,25.0,29.00,23.5,0.00,973.76,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,07-20-2019,04:00:00,000,75,0.0,1003.78,6.00,28.4,28.86,23.5,0.00,968.65,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,07-20-2019,04:00:00,000,92,0.0,1003.19,10.00,25.5,29.91,24.0,0.00,973.51,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,07-20-2019,04:00:00,000,71,0.0,1004.03,9.00,29.0,28.37,23.2,0.00,996.80,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,07-20-2019,04:00:00,000,85,0.0,1002.24,10.00,29.0,33.99,26.2,0.00,982.58,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,07-20-2019,04:00:00,000,84,0.0,1003.26,10.00,27.0,30.02,24.1,0.00,974.75,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,07-20-2019,04:00:00,120,87,1.9,1004.58,12.00,27.6,32.28,25.3,0.00,984.52,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,07-20-2019,04:00:00,200,77,5.6,1003.52,12.00,28.0,29.19,23.6,0.00,981.95,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,07-20-2019,04:00:00,180,78,5.6,1003.02,10.00,28.5,30.15,24.2,0.00,983.72,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,07-20-2019,04:00:00,000,80,0.0,1004.58,12.00,28.7,31.66,25.0,0.00,987.98,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,07-20-2019,04:00:00,000,90,0.0,1004.72,10.00,27.4,32.73,25.5,0.00,987.39,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,07-20-2019,04:00:00,000,90,0.0,1003.03,10.00,28.0,33.94,26.2,0.00,977.46,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,07-20-2019,04:00:00,230,73,5.6,1004.00,10.00,28.8,29.08,23.6,0.00,998.27,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,07-20-2019,04:00:00,000,69,0.0,1002.05,10.00,29.0,27.56,22.7,0.00,995.93,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,07-20-2019,04:00:00,000,80,0.0,1004.92,9.00,27.6,29.52,23.8,0.00,988.56,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,07-20-2019,04:00:00,000,89,0.0,1004.16,10.00,25.3,28.75,23.4,0.00,981.78,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,07-20-2019,04:00:00,260,71,14.8,1004.40,10.00,28.6,27.89,22.9,0.00,990.13,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,07-20-2019,04:00:00,230,70,5.6,1003.88,7.00,28.0,26.54,22.1,0.00,987.61,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,07-20-2019,04:00:00,000,82,0.0,1004.32,10.00,28.2,31.51,24.9,0.00,999.13,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,07-20-2019,04:00:00,000,82,0.0,1003.25,10.00,27.3,29.77,24.0,0.00,990.12,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,07-20-2019,04:00:00,000,79,0.0,1003.75,10.00,27.5,29.06,23.6,0.00,994.47,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,07-20-2019,04:00:00,180,69,7.4,1003.77,9.00,29.5,28.50,23.2,0.00,982.33,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,07-20-2019,04:00:00,000,81,0.0,1004.54,10.00,28.5,31.54,24.9,0.00,987.17,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,07-20-2019,04:00:00,000,88,0.0,1003.19,10.00,27.5,32.36,25.4,0.80,987.44,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,07-20-2019,04:00:00,210,75,5.6,1002.93,8.00,28.9,29.82,24.0,0.00,984.24,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,07-20-2019,04:00:00,000,94,0.0,1007.48,6.00,23.2,26.66,22.1,0.00,955.82,0.00
