WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall,WindDirection,RelativeHumidity,Rainfall24Hr,AirTemperature,VaporPressure,StationPressure,MeanSeaLevelPressure,LandVisibility,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.2,07-21-2019,01:00:00,0.00,000,86,0.00,27.8,32.12,974.76,1005.44,8.00,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.7,07-21-2019,01:00:00,0.00,260,88,0.00,20.8,21.58,843.92,1003.67,8.00,3.7
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,21.9,07-21-2019,01:00:00,0.00,180,80,0.00,25.6,26.19,961.46,1005.00,15.00,3.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,22.7,07-21-2019,01:00:00,0.00,260,78,0.00,26.8,27.52,959.88,1005.14,10.00,16.7
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.6,07-21-2019,01:00:00,0.00,000,77,0.00,28.0,29.19,964.88,1002.05,5.00,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,25.4,07-21-2019,01:00:00,0.00,000,88,11.60,27.5,32.36,959.51,1004.19,10.00,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,23.8,07-21-2019,01:00:00,0.00,000,70,0.00,29.9,29.55,978.74,1005.08,8.00,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.5,07-21-2019,01:00:00,0.00,000,77,0.01,28.0,28.92,983.14,1004.73,12.00,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.8,07-21-2019,01:00:00,0.00,000,88,0.00,27.0,31.38,982.74,1006.78,6.00,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,22.9,07-21-2019,01:00:00,0.00,000,71,0.01,28.8,28.00,970.91,1005.04,10.00,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.6,07-21-2019,01:00:00,0.00,000,69,0.00,31.0,30.90,978.47,1005.54,10.00,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.4,07-21-2019,01:00:00,0.00,000,93,13.20,26.7,32.46,971.87,1005.31,10.00,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.5,07-21-2019,01:00:00,0.00,000,75,0.00,29.5,30.72,986.13,1004.41,10.00,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.0,07-21-2019,01:00:00,0.00,000,71,0.00,29.8,29.91,982.19,1004.71,10.00,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,25.1,07-21-2019,01:00:00,0.00,000,84,0.00,28.1,31.87,974.80,1004.44,10.00,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.4,07-21-2019,01:00:00,0.00,000,73,0.00,29.7,30.55,970.30,1005.34,8.00,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.6,07-21-2019,01:00:00,6.20,000,98,8.80,23.9,29.12,975.91,1005.82,4.00,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.3,07-21-2019,01:00:00,0.00,000,74,0.00,30.5,32.17,997.69,1004.89,9.00,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,24.9,07-21-2019,01:00:00,0.00,220,81,0.00,28.5,31.54,985.87,1005.63,12.00,5.6
48353,LOEI,เลย,เลย,17.45000,101.73333,23.1,07-21-2019,01:00:00,6.60,110,92,6.60,24.4,28.20,977.07,1005.90,3.00,5.6
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.6,07-21-2019,01:00:00,0.00,180,86,1.20,27.2,30.94,985.39,1005.50,12.00,1.9
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,23.3,07-21-2019,01:00:00,0.00,250,76,0.00,28.0,28.65,984.95,1006.58,12.00,7.4
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.3,07-21-2019,01:00:00,0.00,000,84,0.00,27.2,30.39,986.09,1005.52,10.00,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.0,07-21-2019,01:00:00,0.00,080,79,0.00,29.0,31.69,989.94,1006.56,10.00,3.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,26.4,07-21-2019,01:00:00,0.00,000,88,0.00,28.5,34.40,989.47,1006.77,10.00,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,24.1,07-21-2019,01:00:00,0.00,000,84,0.00,27.0,30.02,979.05,1004.75,10.00,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.5,07-21-2019,01:00:00,0.00,000,83,0.00,28.8,32.71,997.07,1003.19,12.00,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.7,07-21-2019,01:00:00,0.00,000,71,0.00,29.5,29.33,990.15,1006.44,9.00,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,24.1,07-21-2019,01:00:00,0.00,280,86,0.00,26.6,30.07,982.94,1005.25,10.00,7.4
48376,TAK,ตาก,ตาก,16.87833,99.14333,23.7,07-21-2019,01:00:00,0.00,260,71,0.00,29.5,29.33,991.40,1005.65,7.00,11.1
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,21.8,07-21-2019,01:00:00,0.00,000,63,0.00,29.5,26.09,988.63,1004.84,8.00,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.3,07-21-2019,01:00:00,0.00,000,81,0.00,29.0,32.26,1000.58,1005.77,10.00,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.5,07-21-2019,01:00:00,0.00,000,75,0.00,29.5,30.72,991.59,1004.64,10.00,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,23.7,07-21-2019,01:00:00,0.00,140,75,0.00,28.6,29.24,996.16,1005.42,10.00,3.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,25.0,07-21-2019,01:00:00,2.10,210,94,12.00,26.0,31.65,984.64,1006.38,7.00,7.4
