WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,RelativeHumidity,WindDirection,LandVisibility,VaporPressure,AirTemperature,MeanSeaLevelPressure,WindSpeed,Rainfall,Rainfall24Hr,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,07-21-2019,04:00:00,974.28,88,000,8.00,31.97,27.3,1005.01,0.0,0.00,0.00,25.2
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,07-21-2019,04:00:00,843.53,89,280,8.00,21.39,20.5,1003.38,3.7,0.00,0.00,18.6
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,07-21-2019,04:00:00,961.56,89,000,8.00,27.01,24.3,1005.29,0.0,10.00,10.00,22.4
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,07-21-2019,04:00:00,960.12,91,000,10.00,27.25,24.0,1005.83,0.0,15.10,15.10,22.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,07-21-2019,04:00:00,963.56,84,000,5.00,30.02,27.0,1000.80,0.0,0.00,0.00,24.1
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,07-21-2019,04:00:00,960.18,92,000,10.00,30.84,26.0,1005.11,0.0,0.00,11.60,24.6
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,07-21-2019,04:00:00,978.95,71,000,8.00,29.33,29.5,1005.34,0.0,0.00,0.00,23.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,07-21-2019,04:00:00,983.17,79,180,10.00,29.36,27.8,1004.77,1.9,0.00,0.01,23.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,07-21-2019,04:00:00,982.11,88,000,6.00,30.62,26.6,1006.17,0.0,0.00,0.00,24.4
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,07-21-2019,04:00:00,971.17,83,350,10.00,29.85,27.2,1005.50,3.7,0.00,0.01,24.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,07-21-2019,04:00:00,977.24,73,000,10.00,28.70,28.6,1004.49,0.0,0.00,0.00,23.4
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,07-21-2019,04:00:00,971.62,92,000,10.00,31.79,26.5,1005.08,0.0,0.00,13.20,25.1
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,07-21-2019,04:00:00,986.17,69,000,10.00,29.27,29.9,1004.42,0.0,0.00,0.00,23.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,07-21-2019,04:00:00,982.22,77,000,10.00,29.96,28.4,1004.84,0.0,0.00,0.00,24.1
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,07-21-2019,04:00:00,973.63,89,000,10.00,30.51,26.4,1003.40,0.0,0.00,0.00,24.4
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,07-21-2019,04:00:00,970.30,89,000,7.00,32.45,27.4,1005.61,0.0,0.00,0.00,25.4
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,07-21-2019,04:00:00,975.89,98,000,6.00,28.08,23.3,1005.87,0.0,0.20,9.00,23.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,07-21-2019,04:00:00,997.19,72,000,9.00,29.41,29.4,1004.42,0.0,0.00,0.00,23.8
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,07-21-2019,04:00:00,985.95,93,120,11.00,32.46,26.7,1005.83,3.7,0.80,0.80,25.4
48353,LOEI,เลย,เลย,17.45000,101.73333,07-21-2019,04:00:00,977.26,94,000,12.00,28.36,24.2,1006.11,0.0,0.10,6.70,23.2
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,07-21-2019,04:00:00,985.67,90,090,12.00,31.63,26.7,1005.83,3.7,0.00,1.20,25.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,07-21-2019,04:00:00,985.40,84,000,12.00,29.08,26.5,1007.15,0.0,0.00,0.00,23.6
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,07-21-2019,04:00:00,986.96,86,000,10.00,29.62,26.5,1006.46,0.0,0.00,0.00,23.9
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,07-21-2019,04:00:00,990.62,83,000,10.00,31.20,27.9,1007.31,0.0,0.00,0.00,24.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,07-21-2019,04:00:00,990.07,92,000,10.00,30.84,26.0,1007.53,0.0,0.00,0.00,24.6
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,07-21-2019,04:00:00,978.86,86,090,10.00,30.94,27.2,1004.54,3.7,0.00,0.00,24.6
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,07-21-2019,04:00:00,998.86,86,150,10.00,32.12,27.8,1004.62,7.4,0.00,0.00,25.2
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,07-21-2019,04:00:00,995.68,85,000,12.00,31.95,28.0,1001.81,0.0,0.00,0.00,25.1
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,07-21-2019,04:00:00,989.80,77,000,9.00,29.19,28.0,1006.16,0.0,0.00,0.00,23.6
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,07-21-2019,04:00:00,982.30,87,000,10.00,29.60,26.2,1004.62,0.0,0.00,0.00,23.9
48376,TAK,ตาก,ตาก,16.87833,99.14333,07-21-2019,04:00:00,990.97,73,240,7.00,29.08,28.8,1005.25,7.4,0.00,0.00,23.6
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,07-21-2019,04:00:00,988.66,67,230,7.00,26.13,28.5,1004.93,11.1,0.00,0.00,21.8
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,07-21-2019,04:00:00,999.98,82,000,10.00,31.23,28.2,1005.18,0.0,0.00,0.00,24.8
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,07-21-2019,04:00:00,991.44,79,000,10.00,29.36,27.8,1004.57,0.0,0.00,0.00,23.7
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,07-21-2019,04:00:00,995.69,85,000,10.00,31.05,27.4,1004.99,0.0,0.00,0.00,24.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,07-21-2019,04:00:00,984.26,94,150,8.00,32.04,26.2,1005.97,5.6,0.20,12.20,25.2
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,07-21-2019,04:00:00,987.72,90,000,7.00,29.74,25.7,1005.26,0.0,0.00,16.10,23.9
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,07-21-2019,04:00:00,989.89,83,000,10.00,29.85,27.2,1005.69,0.0,0.00,0.00,24.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,07-21-2019,04:00:00,986.28,96,000,8.00,32.40,26.1,1005.18,0.0,0.00,6.30,25.4
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,07-21-2019,04:00:00,956.58,92,000,6.00,28.72,24.7,1008.02,0.0,0.00,10.80,23.4
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,07-21-2019,04:00:00,1001.22,87,100,6.00,31.30,27.1,1005.17,11.1,0.00,0.00,24.8
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,07-21-2019,04:00:00,911.72,94,210,3.00,24.74,22.0,1006.63,5.6,0.00,0.00,20.9
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,07-21-2019,04:00:00,990.23,95,000,6.00,32.12,26.1,1006.25,0.0,0.00,2.00,25.2
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,07-21-2019,04:00:00,1001.35,93,160,10.00,34.27,27.6,1005.37,7.4,0.00,0.00,26.3
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,07-21-2019,04:00:00,996.05,90,000,7.00,31.24,26.5,1006.74,0.0,0.00,0.00,24.8
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,07-21-2019,04:00:00,1004.13,92,000,8.00,31.99,26.6,1006.06,0.0,0.00,0.00,25.2
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,07-21-2019,04:00:00,985.35,86,000,10.00,30.94,27.2,1006.18,0.0,0.00,4.20,24.6
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,07-21-2019,04:00:00,988.33,88,000,10.00,29.50,26.0,1006.04,0.0,0.00,0.00,23.8
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,07-21-2019,04:00:00,989.75,95,000,10.00,32.32,26.2,1005.94,0.0,0.00,6.60,25.3
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,07-21-2019,04:00:00,992.68,85,170,10.00,29.72,26.7,1006.72,3.7,0.00,0.00,23.9
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,07-21-2019,04:00:00,992.37,93,000,10.00,30.54,25.7,1007.26,0.0,0.00,0.00,24.4
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,07-21-2019,04:00:00,993.19,84,200,7.00,30.02,27.0,1007.88,7.4,0.00,0.00,24.1
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,07-21-2019,04:00:00,1002.65,87,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,31.89,27.4,1005.66,0.0,0.00,0.00,25.1
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,07-21-2019,04:00:00,997.74,84,000,8.00,30.97,27.5,1005.66,0.0,0.00,0.00,24.6
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,07-21-2019,04:00:00,1005.34,89,160,8.00,32.45,27.4,1006.45,5.6,0.00,0.00,25.4
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,07-21-2019,04:00:00,991.38,84,000,8.00,30.39,27.2,1006.04,0.0,0.00,0.00,24.3
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,07-21-2019,04:00:00,871.74,99,190,.05,24.01,20.6,1006.15,11.1,0.00,0.00,20.4
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,07-21-2019,04:00:00,1000.26,91,220,10.00,33.70,27.6,1006.12,9.3,0.00,0.00,26.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,07-21-2019,04:00:00,1005.91,96,240,8.00,35.23,27.5,1006.71,3.7,0.00,0.00,26.8
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,07-21-2019,04:00:00,1003.37,89,210,10.00,35.03,28.8,1003.81,9.3,0.00,0.00,26.7
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,07-21-2019,04:00:00,995.55,92,000,5.00,31.79,26.5,1006.87,0.0,0.00,0.00,25.1
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,07-21-2019,04:00:00,1005.15,88,000,10.00,32.36,27.5,1006.16,0.0,0.00,0.00,25.4
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,07-21-2019,04:00:00,1004.27,89,170,9.00,32.45,27.4,1006.09,3.7,0.00,0.00,25.4
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,07-21-2019,04:00:00,1005.16,89,000,7.00,29.76,26.0,1005.93,0.0,0.00,0.01,24.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,07-21-2019,04:00:00,1005.80,78,200,10.00,30.62,28.6,1006.50,14.8,0.00,0.00,24.4
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,07-21-2019,04:00:00,1005.95,86,000,7.00,32.12,27.8,1006.65,0.0,0.00,0.00,25.2
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,07-21-2019,04:00:00,985.05,89,000,10.00,31.08,26.7,1006.20,0.0,0.00,0.01,24.7
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,07-21-2019,04:00:00,989.87,91,000,6.00,31.33,26.4,1006.61,0.0,0.00,0.00,24.8
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,07-21-2019,04:00:00,990.92,89,190,7.00,30.40,26.2,1007.40,9.3,0.00,0.00,24.3
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,07-21-2019,04:00:00,984.59,76,000,10.00,27.27,27.1,1006.42,0.0,0.00,0.00,22.5
