WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindSpeed,WindDirection,MeanSeaLevelPressure,DewPoint,Rainfall,AirTemperature,LandVisibility,RelativeHumidity,StationPressure,Rainfall24Hr,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,07-21-2019,10:00:00,0.0,000,1007.34,24.8,0.00,28.8,10.00,79,976.70,0.00,31.29
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,07-21-2019,10:00:00,3.7,160,1005.24,18.6,0.50,20.5,8.00,89,845.10,1.80,21.39
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,07-21-2019,10:00:00,1.9,100,1007.09,24.7,0.30,27.0,15.00,87,963.66,13.60,31.11
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,07-21-2019,10:00:00,0.0,000,1007.68,24.1,0.50,26.0,15.00,89,962.19,16.00,30.03
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,07-21-2019,10:00:00,0.0,000,1006.80,24.4,0.00,30.1,12.00,72,969.71,0.00,30.50
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,07-21-2019,10:00:00,5.6,100,1006.81,24.7,0.00,29.0,10.00,78,962.23,8.60,31.13
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,07-21-2019,10:00:00,5.6,160,1006.84,24.8,0.00,32.3,12.00,65,980.65,0.00,31.27
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,07-21-2019,10:00:00,5.6,150,1007.04,23.0,0.00,31.1,15.00,62,985.62,0.01,28.01
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,07-21-2019,10:00:00,0.0,000,1007.87,23.7,0.00,29.5,10.00,71,984.00,0.00,29.33
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,07-21-2019,10:00:00,3.7,240,1007.59,23.2,0.00,29.9,12.00,67,973.49,0.01,28.45
