WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,MeanSeaLevelPressure,WindSpeed,DewPoint,RelativeHumidity,VaporPressure,WindDirection,LandVisibility,AirTemperature,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,972.90,07-21-2019,16:00:00,0.00,1002.79,3.7,23.8,52,29.47,150,10.00,35.2,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,843.28,07-21-2019,16:00:00,1.80,1001.36,3.7,18.8,75,21.64,260,8.00,23.5,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,959.54,07-21-2019,16:00:00,13.80,1001.85,0.0,23.8,57,29.41,000,15.00,33.5,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,958.22,07-21-2019,16:00:00,16.00,1002.92,0.0,24.3,71,30.31,000,15.00,30.0,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,966.09,07-21-2019,16:00:00,6.80,1002.72,0.0,24.5,62,30.65,000,12.00,32.7,6.70
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,958.68,07-21-2019,16:00:00,8.60,1002.87,0.0,25.6,75,32.75,000,10.00,30.5,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,976.76,07-21-2019,16:00:00,0.00,1002.59,5.6,24.2,53,30.27,200,12.00,35.3,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,981.71,07-21-2019,16:00:00,0.01,1002.71,14.8,22.8,47,27.73,150,16.00,35.9,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,981.08,07-21-2019,16:00:00,0.00,1004.84,0.0,23.5,68,28.91,000,10.00,30.0,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,968.13,07-21-2019,16:00:00,0.01,1001.47,3.7,23.4,51,28.76,080,12.00,35.0,0.00
