WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall24Hr,StationPressure,DewPoint,WindDirection,Rainfall,RelativeHumidity,WindSpeed,LandVisibility,MeanSeaLevelPressure,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,26.7,07-22-2019,01:00:00,0.01,976.31,24.1,000,0.00,86,0.0,8.00,1007.16,29.99
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.6,07-22-2019,01:00:00,12.70,844.43,17.9,260,0.40,96,11.1,8.00,1005.56,20.55
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.5,07-22-2019,01:00:00,50.30,963.21,23.0,100,36.50,91,3.7,8.00,1006.99,28.11
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.2,07-22-2019,01:00:00,18.90,961.06,23.3,000,2.90,95,0.0,1.00,1006.78,28.62
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.8,07-22-2019,01:00:00,15.50,970.11,23.6,000,0.40,99,0.0,6.00,1008.02,29.20
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.5,07-22-2019,01:00:00,4.20,961.50,22.3,000,0.50,93,0.0,8.00,1006.88,26.91
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.0,07-22-2019,01:00:00,0.70,981.19,23.7,340,0.70,92,3.7,8.00,1008.03,29.26
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,29.0,07-22-2019,01:00:00,0.00,984.99,22.5,270,0.00,68,7.4,15.00,1006.54,27.30
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,25.2,07-22-2019,01:00:00,0.10,983.80,24.2,000,0.00,94,0.0,6.00,1008.01,30.15
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.6,07-22-2019,01:00:00,2.50,972.23,23.5,000,0.00,88,0.0,10.00,1006.78,29.03
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.0,07-22-2019,01:00:00,26.00,980.45,24.3,000,0.00,96,0.0,8.00,1008.12,30.32
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,27.0,07-22-2019,01:00:00,0.00,973.18,24.1,000,0.00,84,0.0,10.00,1006.63,30.02
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,26.9,07-22-2019,01:00:00,0.00,988.25,23.1,240,0.00,80,3.7,10.00,1006.73,28.23
48331,NAN,น่าน,น่าน,18.77972,100.77778,25.6,07-22-2019,01:00:00,3.50,984.41,24.4,000,1.90,93,0.0,7.00,1007.29,30.63
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,25.2,07-22-2019,01:00:00,1.00,977.75,23.4,000,0.00,90,0.0,8.00,1007.77,28.83
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.7,07-22-2019,01:00:00,7.80,971.04,24.0,000,0.01,96,0.0,6.00,1006.70,29.77
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.0,07-22-2019,01:00:00,1.90,976.47,23.8,000,0.00,99,0.0,10.00,1006.40,29.56
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.9,07-22-2019,01:00:00,0.01,999.55,23.8,000,0.00,83,0.0,8.00,1006.86,29.56
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,26.8,07-22-2019,01:00:00,0.80,986.98,24.9,000,0.00,90,0.0,11.00,1006.87,31.55
48353,LOEI,เลย,เลย,17.45000,101.73333,25.0,07-22-2019,01:00:00,11.10,978.24,24.0,000,0.00,94,0.0,10.00,1007.04,29.79
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,26.0,07-22-2019,01:00:00,17.70,986.63,24.8,000,0.00,93,0.0,12.00,1006.85,31.38
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,26.2,07-22-2019,01:00:00,7.30,985.00,23.6,220,0.00,85,3.7,10.00,1006.76,29.07
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,27.0,07-22-2019,01:00:00,0.50,986.85,24.8,290,0.40,88,9.3,9.00,1006.31,31.38
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,27.0,07-22-2019,01:00:00,1.00,989.48,25.6,000,0.00,92,0.0,10.00,1006.20,32.77
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,26.0,07-22-2019,01:00:00,0.00,989.27,24.6,000,0.00,92,0.0,10.00,1006.72,30.84
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,25.6,07-22-2019,01:00:00,0.80,980.05,24.0,000,0.00,91,0.0,10.00,1005.90,29.82
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,26.0,07-22-2019,01:00:00,6.90,1000.72,25.6,000,0.00,98,0.0,10.00,1006.52,32.76
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.8,07-22-2019,01:00:00,0.40,1000.01,24.6,000,0.00,93,0.0,7.00,1006.22,31.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,26.2,07-22-2019,01:00:00,0.00,991.20,22.6,000,0.00,81,0.0,9.00,1007.68,27.49
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,25.5,07-22-2019,01:00:00,4.60,984.30,24.0,000,2.20,92,0.0,8.00,1006.72,29.91
48376,TAK,ตาก,ตาก,16.87833,99.14333,27.5,07-22-2019,01:00:00,30.30,993.19,25.4,000,0.00,88,0.0,10.00,1007.56,32.36
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,28.5,07-22-2019,01:00:00,1.30,990.16,23.4,000,0.00,74,0.0,8.00,1006.45,28.78
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,26.2,07-22-2019,01:00:00,9.50,1001.89,24.8,000,0.00,92,0.0,10.00,1007.13,31.22
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,28.0,07-22-2019,01:00:00,0.00,992.40,23.2,000,0.00,75,0.0,10.00,1005.53,28.39
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,27.0,07-22-2019,01:00:00,6.70,997.24,26.0,000,0.00,94,0.0,10.00,1006.56,33.62
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,27.6,07-22-2019,01:00:00,0.20,985.05,25.3,000,0.00,87,0.0,9.00,1006.68,32.28
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,27.0,07-22-2019,01:00:00,19.70,988.28,24.1,000,0.00,84,0.0,10.00,1005.76,30.02
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,27.0,07-22-2019,01:00:00,0.00,990.26,23.3,290,0.00,80,5.6,10.00,1006.08,28.67
