WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MaximumTemperature,StationPressure,AirTemperature,LandVisibility,WindSpeed,MeanSeaLevelPressure,RelativeHumidity,VaporPressure,Rainfall24Hr,DewPoint,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,07-22-2019,19:00:00,31.7,974.55,29.3,15.00,0.0,1005.08,72,29.22,0.01,23.7,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,07-22-2019,19:00:00,25.0,844.13,20.7,8.00,7.4,1003.98,84,20.56,13.60,18.0,270
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.30,07-22-2019,19:00:00,32.6,960.73,26.5,10.00,7.4,1004.10,85,29.35,40.00,23.7,010
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,07-22-2019,19:00:00,32.5,958.98,26.8,15.00,0.0,1004.20,77,27.00,3.30,22.4,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,07-22-2019,19:00:00,32.1,966.73,29.6,12.00,0.0,1003.77,78,32.34,8.70,25.3,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,07-22-2019,19:00:00,33.5,959.35,31.0,11.00,7.4,1003.49,56,25.12,4.20,21.2,220
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,07-22-2019,19:00:00,33.4,977.49,31.4,10.00,0.0,1003.67,70,32.01,0.80,25.2,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,07-22-2019,19:00:00,36.4,983.24,31.1,16.00,14.8,1004.60,50,22.70,0.00,19.5,210
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,07-22-2019,19:00:00,31.3,982.48,28.5,8.00,0.0,1006.39,71,27.44,0.40,22.6,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,07-22-2019,19:00:00,33.0,970.06,31.7,10.00,0.0,1003.83,50,23.50,0.00,20.1,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,07-22-2019,19:00:00,35.0,976.79,31.5,10.00,0.0,1003.77,63,29.07,3.20,23.6,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,07-22-2019,19:00:00,34.2,970.98,31.1,10.00,0.0,1003.90,50,22.70,0.00,19.5,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,07-22-2019,19:00:00,33.4,985.82,30.8,15.00,5.6,1004.01,61,27.16,0.01,22.4,270
