WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,WindSpeed,Rainfall24Hr,WindDirection,Rainfall,MeanSeaLevelPressure,AirTemperature,DewPoint,RelativeHumidity,VaporPressure,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,975.75,07-23-2019,01:00:00,0.0,0.00,000,0.00,1006.65,26.1,23.9,88,29.68,10.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,844.37,07-23-2019,01:00:00,14.8,2.70,270,0.00,1005.55,18.5,17.3,93,19.79,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,961.92,07-23-2019,01:00:00,0.0,5.00,000,0.00,1005.52,25.3,24.0,92,29.80,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,960.25,07-23-2019,01:00:00,0.0,0.80,000,0.20,1005.81,25.0,24.0,94,29.79,10.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,968.82,07-23-2019,01:00:00,0.0,0.40,000,0.40,1006.60,24.4,24.2,99,30.28,6.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,960.77,07-23-2019,01:00:00,3.7,0.00,060,0.00,1005.49,27.6,23.1,76,28.18,8.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,979.60,07-23-2019,01:00:00,0.0,0.10,000,0.00,1006.18,27.5,25.4,88,32.36,8.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,985.22,07-23-2019,01:00:00,3.7,0.00,150,0.00,1006.85,28.0,21.3,67,25.24,15.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,983.77,07-23-2019,01:00:00,0.0,0.30,000,0.00,1007.96,25.5,24.0,92,29.91,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,972.23,07-23-2019,01:00:00,0.0,0.00,000,0.00,1006.50,28.0,20.4,63,23.97,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,979.20,07-23-2019,01:00:00,0.0,0.00,000,0.00,1006.61,27.5,22.0,72,26.43,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,972.98,07-23-2019,01:00:00,0.0,0.00,000,0.00,1006.22,28.8,21.7,65,25.88,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,987.48,07-23-2019,01:00:00,11.1,0.01,270,0.00,1005.86,28.1,23.6,77,29.11,12.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,982.89,07-23-2019,01:00:00,0.0,0.20,000,0.00,1005.57,27.8,23.3,76,28.55,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,976.48,07-23-2019,01:00:00,0.0,0.00,000,0.00,1006.23,27.4,23.9,81,29.69,8.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,971.13,07-23-2019,01:00:00,0.0,0.00,000,0.00,1006.39,28.0,21.3,67,25.24,6.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,976.26,07-23-2019,01:00:00,0.0,0.00,000,0.00,1005.97,26.0,23.1,84,28.18,10.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,999.46,07-23-2019,01:00:00,0.0,0.50,000,0.00,1006.73,28.2,24.3,80,30.40,9.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,985.39,07-23-2019,01:00:00,0.0,0.00,000,0.00,1005.14,28.5,25.7,85,32.96,10.00
48353,LOEI,เลย,เลย,17.45000,101.73333,977.52,07-23-2019,01:00:00,0.0,0.00,000,0.00,1006.11,27.0,22.9,78,27.88,12.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,985.69,07-23-2019,01:00:00,1.9,0.01,150,0.01,1005.75,28.0,24.1,79,30.01,12.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,985.64,07-23-2019,01:00:00,0.0,19.40,000,0.00,1007.49,25.2,24.2,94,30.15,10.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,986.81,07-23-2019,01:00:00,0.0,20.50,000,0.00,1006.43,24.6,24.2,97,30.12,10.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,990.62,07-23-2019,01:00:00,3.7,43.70,100,0.00,1007.50,24.5,23.6,95,29.15,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,990.30,07-23-2019,01:00:00,0.0,41.80,000,0.10,1007.92,23.5,22.8,96,27.66,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,979.40,07-23-2019,01:00:00,0.0,0.00,000,0.00,1005.05,27.6,23.8,80,29.52,11.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,999.46,07-23-2019,01:00:00,0.0,0.20,000,0.00,1005.62,28.3,25.5,85,32.55,12.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,990.57,07-23-2019,01:00:00,0.0,0.00,000,0.00,1007.01,27.0,24.1,84,30.02,8.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,983.43,07-23-2019,01:00:00,5.6,4.10,290,0.00,1005.79,26.0,24.3,90,30.30,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,993.04,07-23-2019,01:00:00,7.4,0.01,300,0.00,1007.37,28.3,23.8,77,29.49,8.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,990.16,07-23-2019,01:00:00,0.0,0.20,000,0.00,1006.44,28.7,22.0,67,26.48,10.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1001.18,07-23-2019,01:00:00,0.0,0.00,000,0.00,1006.39,28.0,26.2,90,33.94,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,992.29,07-23-2019,01:00:00,0.0,0.40,000,0.00,1005.44,27.4,24.5,84,30.78,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,997.46,07-23-2019,01:00:00,0.0,0.01,000,0.00,1006.75,28.0,26.2,90,33.94,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,985.15,07-23-2019,01:00:00,0.0,0.00,000,0.00,1006.69,28.8,23.4,73,28.81,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,989.64,07-23-2019,01:00:00,0.0,4.60,000,0.00,1007.15,26.8,24.2,86,30.18,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,990.77,07-23-2019,01:00:00,0.0,10.10,000,0.00,1006.71,25.0,23.5,92,29.00,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,986.89,07-23-2019,01:00:00,3.7,0.01,160,0.00,1005.73,27.4,24.4,84,30.50,8.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,957.65,07-23-2019,01:00:00,0.0,0.00,000,0.00,1009.23,24.2,23.2,94,28.36,6.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1002.29,07-23-2019,01:00:00,0.0,0.01,000,0.00,1006.23,28.5,27.0,91,35.58,8.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,912.60,07-23-2019,01:00:00,9.3,1.30,230,0.00,1007.63,21.9,21.3,96,25.30,.90
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,990.83,07-23-2019,01:00:00,0.0,1.30,000,0.00,1006.80,27.2,25.5,90,32.61,2.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1002.69,07-23-2019,01:00:00,0.0,0.01,000,0.01,1006.70,29.0,27.2,90,36.06,9.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,997.09,07-23-2019,01:00:00,7.4,0.00,200,0.00,1007.70,28.9,25.4,81,32.34,7.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1004.95,07-23-2019,01:00:00,0.0,0.30,000,0.00,1006.87,28.4,25.6,85,32.75,8.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,986.02,07-23-2019,01:00:00,0.0,0.00,000,0.00,1006.67,29.9,23.1,67,28.17,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,988.98,07-23-2019,01:00:00,0.0,3.50,000,0.00,1006.74,25.2,23.9,92,29.62,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,990.48,07-23-2019,01:00:00,0.0,4.20,000,0.10,1006.70,25.8,24.9,95,31.55,9.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,993.21,07-23-2019,01:00:00,0.0,22.10,000,1.20,1007.38,24.0,23.1,95,28.27,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,993.20,07-23-2019,01:00:00,0.0,16.00,000,1.40,1008.21,23.7,22.8,95,27.75,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,992.25,07-23-2019,01:00:00,3.7,2.20,140,0.00,1007.02,25.0,24.1,95,30.05,6.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1003.46,07-23-2019,01:00:00,0.0,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,1006.45,29.4,24.8,77,31.36,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,998.48,07-23-2019,01:00:00,0.0,0.01,000,0.00,1006.38,28.7,24.5,78,30.82,7.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1006.41,07-23-2019,01:00:00,7.4,0.00,180,0.00,1007.51,29.9,27.3,86,36.22,6.00
