WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,DewPoint,AirTemperature,StationPressure,WindSpeed,LandVisibility,MeanSeaLevelPressure,RelativeHumidity,WindDirection,VaporPressure,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.20,07-23-2019,10:00:00,24.4,26.6,976.84,0.0,5.00,1007.71,88,000,30.62,0.20
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,2.70,07-23-2019,10:00:00,18.7,19.3,844.84,7.4,8.00,1005.64,96,270,21.49,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,2.10,07-23-2019,10:00:00,24.4,27.0,962.62,0.0,12.00,1006.00,86,000,30.56,0.01
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.60,07-23-2019,10:00:00,23.0,27.8,960.58,0.0,15.00,1005.72,75,000,28.02,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.40,07-23-2019,10:00:00,24.4,27.1,969.58,0.0,12.00,1007.04,85,000,30.48,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.01,07-23-2019,10:00:00,23.1,27.8,961.93,11.1,8.00,1006.68,76,150,28.28,0.01
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.10,07-23-2019,10:00:00,23.0,28.3,981.01,9.3,10.00,1007.55,73,220,28.14,0.01
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,07-23-2019,10:00:00,22.7,30.6,985.48,1.9,12.00,1006.94,63,280,27.60,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,8.20,07-23-2019,10:00:00,25.4,28.0,984.17,0.0,8.00,1008.16,86,000,32.52,1.20
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,2.00,07-23-2019,10:00:00,23.7,26.9,973.26,3.7,10.00,1007.70,83,360,29.29,2.00
