WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,LandVisibility,WindSpeed,VaporPressure,Rainfall,DewPoint,MaximumTemperature,AirTemperature,StationPressure,RelativeHumidity,WindDirection,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1004.65,07-23-2019,19:00:00,10.00,0.0,33.38,5.50,25.9,32.0,27.3,973.94,92,000,8.50
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1003.85,07-23-2019,19:00:00,6.00,22.2,20.80,6.10,18.1,20.8,18.3,842.84,99,300,8.90
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1004.13,07-23-2019,19:00:00,12.00,0.0,29.91,0.80,24.0,30.7,25.5,960.62,92,000,18.60
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1004.33,07-23-2019,19:00:00,6.00,0.0,29.25,0.80,23.7,32.1,24.7,958.79,94,000,21.40
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1005.45,07-23-2019,19:00:00,8.00,0.0,29.92,5.00,24.0,28.2,24.2,967.69,99,000,5.80
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1005.04,07-23-2019,19:00:00,7.00,9.3,29.04,33.00,23.6,32.3,24.0,959.82,97,120,34.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1005.51,07-23-2019,19:00:00,8.00,5.6,31.85,9.90,25.1,28.5,26.1,978.82,94,130,16.60
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1004.23,07-23-2019,19:00:00,12.00,9.3,24.58,0.00,20.8,35.2,30.7,982.84,56,160,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1006.35,07-23-2019,19:00:00,8.00,0.0,30.43,0.00,24.3,31.2,26.5,982.28,88,000,8.20
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1004.82,07-23-2019,19:00:00,10.00,0.0,29.58,6.70,23.9,31.7,25.9,970.38,89,000,10.10
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1004.77,07-23-2019,19:00:00,10.00,0.0,31.98,0.30,25.2,33.9,29.0,977.55,80,000,0.50
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1004.23,07-23-2019,19:00:00,10.00,0.0,30.61,0.01,24.4,33.5,27.6,970.93,83,000,1.30
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1004.32,07-23-2019,19:00:00,4.00,5.6,31.97,1.60,25.2,33.9,27.3,985.92,88,150,1.60
48331,NAN,น่าน,น่าน,18.77972,100.77778,1005.28,07-23-2019,19:00:00,8.00,0.0,29.79,46.00,24.0,29.0,25.0,982.39,94,000,51.10
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1005.47,07-23-2019,19:00:00,7.00,0.0,30.15,11.80,24.2,27.2,25.2,975.52,94,000,19.10
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1004.11,07-23-2019,19:00:00,8.00,0.0,28.24,0.00,23.1,32.5,28.5,968.98,73,000,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1002.78,07-23-2019,19:00:00,14.00,0.0,29.86,0.00,24.0,34.3,30.2,973.57,70,000,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1003.52,07-23-2019,19:00:00,10.00,0.0,25.82,0.00,21.6,35.9,32.1,996.36,54,000,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1003.37,07-23-2019,19:00:00,10.00,0.0,32.83,0.00,25.6,32.0,29.7,983.73,79,000,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,1002.91,07-23-2019,19:00:00,15.00,9.3,25.14,0.00,21.2,33.2,31.3,974.81,55,280,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1003.09,07-23-2019,19:00:00,15.00,5.6,31.03,0.00,24.7,34.2,30.5,983.24,71,350,0.01
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1003.58,07-23-2019,19:00:00,10.00,0.0,27.79,12.00,22.8,33.4,24.9,981.79,88,000,12.20
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1003.36,07-23-2019,19:00:00,12.00,0.0,29.00,15.90,23.5,31.5,25.0,983.83,92,000,17.90
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1004.67,07-23-2019,19:00:00,10.00,0.0,29.10,0.00,23.6,31.3,26.8,987.96,83,000,0.10
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1004.93,07-23-2019,19:00:00,10.00,0.0,29.00,11.20,23.5,30.6,25.0,987.45,92,000,11.50
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1002.75,07-23-2019,19:00:00,11.00,0.0,30.70,0.00,24.5,34.2,30.9,977.43,69,000,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1004.32,07-23-2019,19:00:00,10.00,5.6,29.24,0.00,23.7,34.6,31.3,998.63,64,270,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1004.01,07-23-2019,19:00:00,12.00,11.1,27.27,0.00,22.5,33.8,31.0,997.92,61,270,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1003.91,07-23-2019,19:00:00,10.00,0.0,29.07,0.00,23.6,34.0,31.5,987.76,63,000,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1005.07,07-23-2019,19:00:00,10.00,0.0,30.67,1.30,24.5,32.6,26.2,982.74,90,000,2.90
48376,TAK,ตาก,ตาก,16.87833,99.14333,1005.58,07-23-2019,19:00:00,7.00,16.7,27.96,0.20,22.9,33.2,29.5,991.33,68,260,0.20
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1004.99,07-23-2019,19:00:00,10.00,0.0,26.13,0.00,21.8,32.2,30.1,988.81,61,000,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1004.31,07-23-2019,19:00:00,10.00,7.4,28.29,0.00,23.1,34.0,31.1,999.16,63,240,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1002.63,07-23-2019,19:00:00,12.00,0.0,31.68,0.00,25.0,34.6,31.8,989.70,67,000,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1004.49,07-23-2019,19:00:00,12.00,0.0,30.82,0.00,24.5,32.6,31.1,995.31,68,000,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1003.12,07-23-2019,19:00:00,8.00,0.0,31.35,0.00,24.8,35.0,30.1,981.74,73,000,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1003.52,07-23-2019,19:00:00,10.00,0.0,33.99,0.10,26.2,35.5,29.0,986.20,85,000,0.10
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1004.14,07-23-2019,19:00:00,8.00,0.0,29.52,7.40,23.8,34.3,25.0,988.25,93,000,8.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1002.27,07-23-2019,19:00:00,8.00,0.0,33.61,1.30,26.0,35.9,28.4,983.57,87,000,1.30
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1005.93,07-23-2019,19:00:00,10.00,0.0,28.51,0.00,23.2,30.0,25.6,954.75,87,000,1.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1003.85,07-23-2019,19:00:00,8.00,0.0,34.79,0.00,26.6,33.5,32.0,999.97,73,000,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1006.51,07-23-2019,19:00:00,3.00,11.1,24.75,0.01,20.9,24.6,21.7,911.53,95,200,0.20
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1003.94,07-23-2019,19:00:00,5.00,3.7,30.22,20.70,24.2,34.9,24.8,987.89,97,090,20.70
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1004.00,07-23-2019,19:00:00,12.00,0.0,33.17,0.00,25.8,35.8,32.5,1000.05,68,000,0.10
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1005.48,07-23-2019,19:00:00,9.00,0.0,30.90,0.00,24.6,34.0,31.0,994.96,69,000,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1004.49,07-23-2019,19:00:00,9.00,0.0,30.53,0.00,24.4,34.4,31.1,1002.60,68,000,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1003.55,07-23-2019,19:00:00,10.00,5.6,27.52,0.00,22.7,35.3,31.7,983.08,59,240,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1003.50,07-23-2019,19:00:00,9.00,11.1,30.81,1.30,24.5,34.4,25.7,985.82,93,030,1.30
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1003.41,07-23-2019,19:00:00,8.00,7.4,30.84,1.40,24.6,35.0,26.0,987.25,92,350,1.50
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1004.18,07-23-2019,19:00:00,5.00,11.1,31.51,0.30,24.9,34.6,31.3,990.39,69,330,15.30
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1004.20,07-23-2019,19:00:00,10.00,0.0,32.88,0.00,25.6,34.4,30.0,989.56,78,000,6.80
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1004.04,07-23-2019,19:00:00,8.00,0.0,31.02,0.00,24.7,34.8,31.2,989.61,68,000,0.80
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1004.14,07-23-2019,19:00:00,10.00,0.0,27.79,0.00,22.8,35.8,33.4,1001.19,54,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.40
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1003.92,07-23-2019,19:00:00,10.00,0.0,30.20,0.00,24.2,34.0,31.5,996.11,65,000,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1004.25,07-23-2019,19:00:00,8.00,9.3,29.81,0.00,24.0,34.6,30.6,1003.16,68,170,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1004.89,07-23-2019,19:00:00,9.00,7.4,34.65,0.00,26.5,32.3,31.8,990.47,74,100,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1005.82,07-23-2019,19:00:00,.10,11.1,24.53,0.80,20.8,24.5,21.1,871.67,98,280,0.80
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1004.30,07-23-2019,19:00:00,10.00,0.0,31.60,0.00,25.0,36.0,31.9,998.54,67,000,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1005.87,07-23-2019,19:00:00,8.00,18.5,32.36,0.00,25.4,36.5,27.5,1005.07,88,180,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1006.17,07-23-2019,19:00:00,6.00,9.3,33.00,2.40,25.7,32.8,29.5,1005.73,80,180,2.40
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1006.39,07-23-2019,19:00:00,7.00,0.0,28.37,0.00,23.2,32.0,29.0,995.17,71,000,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1005.00,07-23-2019,19:00:00,12.00,5.6,28.51,0.00,23.2,35.5,31.5,1004.00,62,210,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1004.67,07-23-2019,19:00:00,8.00,3.7,31.47,0.00,24.9,34.8,31.7,1002.88,67,180,0.01
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1005.27,07-23-2019,19:00:00,8.00,7.4,25.33,0.00,21.3,35.1,31.4,1004.51,55,290,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1006.24,07-23-2019,19:00:00,9.00,11.1,27.00,3.40,22.3,34.2,23.7,1005.53,92,270,3.40
