WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,LandVisibility,WindDirection,Rainfall24Hr,StationPressure,AirTemperature,WindSpeed,RelativeHumidity,Rainfall,VaporPressure,MeanSeaLevelPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,07-24-2019,04:00:00,8.00,000,27.70,974.40,25.5,0.0,92,3.20,29.91,1005.31,24.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,07-24-2019,04:00:00,6.00,280,13.40,843.23,17.6,14.8,99,2.50,19.90,1004.72,17.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,07-24-2019,04:00:00,10.00,000,20.20,960.83,24.5,0.0,94,0.00,28.89,1004.50,23.5
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,07-24-2019,04:00:00,6.00,000,22.80,959.16,23.4,0.0,96,0.20,27.75,1004.92,22.8
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,07-24-2019,04:00:00,5.00,000,9.00,967.76,23.8,0.0,99,0.00,29.20,1005.58,23.6
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,07-24-2019,04:00:00,6.00,100,38.20,959.96,24.2,5.6,97,0.80,29.39,1005.17,23.8
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,07-24-2019,04:00:00,6.00,000,19.90,979.21,24.7,0.0,95,1.10,29.51,1006.03,23.8
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,07-24-2019,04:00:00,11.00,210,0.20,983.60,26.0,3.7,84,0.00,28.18,1005.34,23.1
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,07-24-2019,04:00:00,6.00,000,7.90,982.28,24.9,0.0,94,0.20,29.61,1006.48,23.9
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,07-24-2019,04:00:00,10.00,000,10.80,970.90,25.2,0.0,93,0.30,29.89,1005.45,24.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,07-24-2019,04:00:00,10.00,000,0.50,978.92,26.0,0.0,92,0.00,30.84,1006.46,24.6
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,07-24-2019,04:00:00,10.00,000,1.30,971.89,25.9,0.0,94,0.00,31.46,1005.42,24.9
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,07-24-2019,04:00:00,10.00,000,3.00,986.54,25.6,0.0,97,0.20,31.71,1005.06,25.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,07-24-2019,04:00:00,10.00,000,53.00,982.39,24.8,0.0,97,0.00,30.48,1005.29,24.4
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,07-24-2019,04:00:00,7.00,000,21.80,975.55,24.0,0.0,98,0.00,29.30,1005.62,23.7
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,07-24-2019,04:00:00,7.00,000,0.20,970.19,25.8,0.0,93,0.20,31.00,1005.69,24.6
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,07-24-2019,04:00:00,4.00,000,1.50,974.29,23.8,0.0,97,1.00,28.69,1004.16,23.4
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,07-24-2019,04:00:00,9.00,000,0.30,997.53,27.0,0.0,80,0.00,28.67,1004.82,23.3
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,07-24-2019,04:00:00,10.00,000,34.00,984.25,25.2,0.0,96,0.50,30.69,1004.19,24.5
