WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MinimumTemperature,Date,Time,Rainfall,MeanSeaLevelPressure,LandVisibility,StationPressure,WindDirection,AirTemperature,RelativeHumidity,WindSpeed,DewPoint,Rainfall24Hr,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,23.6,07-24-2019,07:00:00,1.60,1006.53,3.00,975.53,000,25.0,96,0.0,24.3,29.30,30.32
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.5,07-24-2019,07:00:00,1.30,1004.82,.10,843.36,300,17.7,99,7.4,17.5,14.70,20.02
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.0,07-24-2019,07:00:00,0.60,1005.69,10.00,961.96,000,24.4,92,0.0,23.1,20.50,28.20
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,22.9,07-24-2019,07:00:00,0.20,1005.57,7.00,959.86,000,23.9,97,0.0,23.3,23.00,28.61
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.5,07-24-2019,07:00:00,0.00,1006.81,8.00,968.97,000,24.0,100,0.0,24.0,9.00,29.82
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.5,07-24-2019,07:00:00,1.00,1011.91,7.00,966.39,170,24.1,98,5.6,23.8,39.20,29.48
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,24.2,07-24-2019,07:00:00,0.40,1007.26,6.00,980.41,000,24.8,95,0.0,23.9,20.30,29.69
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,25.4,07-24-2019,07:00:00,0.01,1007.01,10.00,985.22,000,25.9,86,0.0,23.4,0.20,28.78
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.0,07-24-2019,07:00:00,0.00,1007.37,6.00,983.18,000,25.2,90,0.0,23.4,2.90,28.83
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,24.8,07-24-2019,07:00:00,0.20,1006.58,10.00,971.97,000,25.0,92,0.0,23.7,11.00,29.26
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.0,07-24-2019,07:00:00,0.30,1007.92,10.00,980.29,000,25.5,96,0.0,24.8,0.80,31.25
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.2,07-24-2019,07:00:00,0.00,1006.27,10.00,972.63,000,25.2,95,0.0,24.3,1.30,30.42
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,25.4,07-24-2019,07:00:00,0.40,1006.71,6.00,988.16,000,25.6,95,0.0,24.7,3.40,31.17
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.3,07-24-2019,07:00:00,0.50,1006.77,10.00,983.85,000,25.0,96,0.0,24.3,53.50,30.32
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.0,07-24-2019,07:00:00,0.60,1006.90,6.00,976.84,000,24.5,96,0.0,23.8,22.40,29.41
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.5,07-24-2019,07:00:00,0.01,1006.45,7.00,970.80,000,24.7,92,0.0,23.4,0.20,28.72
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.8,07-24-2019,07:00:00,0.50,1006.48,7.00,976.56,000,24.0,97,0.0,23.4,2.00,28.78
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.5,07-24-2019,07:00:00,0.20,1006.60,8.00,999.29,000,26.6,88,0.0,24.4,0.50,30.62
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,24.9,07-24-2019,07:00:00,0.00,1006.09,15.00,986.12,000,25.5,96,0.0,24.8,34.00,31.25
48353,LOEI,เลย,เลย,17.45000,101.73333,24.4,07-24-2019,07:00:00,0.60,1006.42,8.00,977.64,000,25.0,92,0.0,23.5,2.50,29.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,25.0,07-24-2019,07:00:00,0.40,1006.53,9.00,986.27,190,25.3,91,3.7,23.7,3.10,29.28
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,23.1,07-24-2019,07:00:00,2.40,1007.70,5.00,985.77,140,24.2,94,3.7,23.2,19.80,28.36
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,22.5,07-24-2019,07:00:00,3.90,1006.96,7.00,987.28,000,23.8,97,0.0,23.4,38.30,28.69
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,22.9,07-24-2019,07:00:00,11.50,1007.69,7.00,990.77,000,24.0,96,0.0,23.3,51.30,28.53
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,21.8,07-24-2019,07:00:00,9.70,1007.82,7.00,990.17,000,23.0,96,0.0,22.2,41.40,26.83
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,24.6,07-24-2019,07:00:00,1.20,1006.25,10.00,980.32,000,24.8,95,0.0,23.9,2.00,29.69
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.0,07-24-2019,07:00:00,0.40,1007.48,8.00,1001.69,000,27.0,92,0.0,25.6,0.40,32.77
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,26.8,07-24-2019,07:00:00,0.20,1007.15,8.00,1000.96,000,27.0,86,0.0,24.4,0.20,30.56
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.2,07-24-2019,07:00:00,2.90,1008.09,10.00,991.53,000,25.0,96,0.0,24.3,3.40,30.32
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.0,07-24-2019,07:00:00,17.60,1007.09,5.00,984.52,190,23.5,94,9.3,22.4,32.30,27.16
48376,TAK,ตาก,ตาก,16.87833,99.14333,25.4,07-24-2019,07:00:00,0.60,1007.94,5.00,993.49,000,26.0,93,0.0,24.8,1.20,31.38
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,25.0,07-24-2019,07:00:00,0.00,1007.42,7.00,991.00,000,26.5,73,0.0,21.2,0.20,25.20
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,26.1,07-24-2019,07:00:00,0.01,1007.19,8.00,1001.96,000,26.7,91,0.0,25.1,0.01,31.91
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,25.8,07-24-2019,07:00:00,0.00,1005.63,10.00,992.42,000,26.3,93,0.0,25.1,1.60,31.96
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,26.3,07-24-2019,07:00:00,0.80,1007.63,8.00,998.28,000,26.5,92,0.0,25.1,0.80,31.79
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,26.5,07-24-2019,07:00:00,0.01,1007.18,8.00,985.51,280,27.1,84,1.9,24.2,0.01,30.20
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,27.0,07-24-2019,07:00:00,0.00,1007.49,10.00,990.02,000,27.7,88,0.0,25.6,0.50,32.76
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,23.5,07-24-2019,07:00:00,0.60,1007.46,10.00,991.47,000,24.2,96,0.0,23.5,14.50,28.88
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,26.2,07-24-2019,07:00:00,0.00,1006.22,8.00,987.36,000,27.0,98,0.0,26.6,1.40,34.77
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.5,07-24-2019,07:00:00,1.10,1007.68,7.00,956.08,000,23.6,91,0.0,22.1,1.50,26.58
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,27.0,07-24-2019,07:00:00,0.00,1006.99,7.00,1003.04,000,27.7,91,0.0,26.0,0.00,33.62
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.2,07-24-2019,07:00:00,9.90,1008.28,.30,912.79,250,20.6,98,13.0,20.3,10.80,23.78
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,24.5,07-24-2019,07:00:00,0.00,1007.40,8.00,991.31,000,25.1,99,0.0,24.9,22.50,31.58
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,28.0,07-24-2019,07:00:00,0.00,1007.44,10.00,1003.42,230,28.7,76,3.7,24.1,0.00,29.98
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,26.9,07-24-2019,07:00:00,0.00,1008.61,8.00,997.92,000,27.2,81,0.0,23.7,0.00,29.31
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,27.4,07-24-2019,07:00:00,0.00,1008.27,12.00,1006.34,000,27.7,77,0.0,23.3,0.00,28.63
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,26.4,07-24-2019,07:00:00,0.00,1006.93,10.00,986.07,280,27.0,77,3.7,22.7,0.01,27.62
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,24.5,07-24-2019,07:00:00,0.00,1005.91,10.00,988.17,000,25.3,97,0.0,24.7,3.50,31.14
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.6,07-24-2019,07:00:00,0.00,1007.00,10.00,990.74,000,25.1,99,0.0,24.9,5.60,31.58
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,22.7,07-24-2019,07:00:00,1.10,1008.22,10.00,994.02,000,23.7,95,0.0,22.8,52.70,27.75
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,22.5,07-24-2019,07:00:00,0.40,1009.00,8.00,993.97,160,23.4,96,3.7,22.8,48.20,27.75
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,24.2,07-24-2019,07:00:00,0.20,1008.48,7.00,993.68,000,24.7,98,0.0,24.4,2.70,30.56
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,27.3,07-24-2019,07:00:00,0.00,1007.32,10.00,1004.32,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",28.6,73,0.0,23.4,0.00,28.70
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,27.1,07-24-2019,07:00:00,0.00,1007.42,10.00,999.48,000,27.4,81,0.0,23.9,0.00,29.69
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,25.4,07-24-2019,07:00:00,0.00,1008.24,8.00,1007.13,210,27.0,82,3.7,23.6,0.00,29.21
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,25.2,07-24-2019,07:00:00,0.00,1007.96,8.00,993.24,000,26.5,88,0.0,24.3,0.00,30.43
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.0,07-24-2019,07:00:00,0.20,1007.71,8.00,872.68,260,19.6,99,9.3,19.4,1.00,22.57
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,26.3,07-24-2019,07:00:00,0.00,1007.81,10.00,1001.93,190,27.0,88,7.4,24.8,0.00,31.38
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,27.0,07-24-2019,07:00:00,0.00,1008.08,8.00,1007.28,230,28.8,86,3.7,26.3,0.00,34.15
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,27.5,07-24-2019,07:00:00,0.00,1007.65,10.00,1007.21,000,27.5,93,0.0,26.2,3.50,34.07
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.8,07-24-2019,07:00:00,0.40,1008.99,4.00,997.63,000,26.0,90,0.0,24.3,0.60,30.30
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,27.3,07-24-2019,07:00:00,0.00,1008.05,10.00,1007.04,200,28.5,75,3.7,23.7,0.00,29.33
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,27.3,07-24-2019,07:00:00,0.00,1008.16,8.00,1006.34,000,27.5,81,0.0,24.0,0.01,29.88
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,26.6,07-24-2019,07:00:00,0.00,1007.88,8.00,1007.12,000,27.0,83,0.0,24.0,0.00,29.75
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,23.2,07-24-2019,07:00:00,0.00,1008.41,10.00,1007.71,210,28.2,84,3.7,25.2,6.00,32.07
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,26.2,07-24-2019,07:00:00,0.00,1008.10,7.00,1007.39,000,26.9,90,0.0,25.0,0.40,31.74
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,27.3,07-24-2019,07:00:00,0.01,1007.46,10.00,986.37,000,28.0,77,0.0,23.6,0.01,29.19
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,26.4,07-24-2019,07:00:00,0.00,1007.76,7.00,991.03,000,27.0,84,0.0,24.1,0.00,30.02
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,25.8,07-24-2019,07:00:00,0.10,1008.04,7.00,991.59,180,26.8,86,7.4,24.2,0.70,30.18
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,26.9,07-24-2019,07:00:00,0.00,1008.77,10.00,986.91,000,27.4,78,0.0,23.2,0.00,28.35
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.4,07-24-2019,07:00:00,0.00,1008.29,15.00,964.97,240,26.8,71,11.1,21.1,0.01,24.96
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,26.5,07-24-2019,07:00:00,0.01,1007.44,10.00,986.87,000,27.0,82,0.0,23.6,0.20,29.21
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,26.9,07-24-2019,07:00:00,0.00,1008.97,8.00,988.12,220,27.1,88,13.0,24.9,0.00,31.58
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,28.0,07-24-2019,07:00:00,0.00,1007.87,10.00,1007.44,230,29.0,74,7.4,23.9,0.01,29.74
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.1,07-24-2019,07:00:00,0.00,1007.91,8.00,1006.48,000,25.6,93,0.0,24.4,2.00,30.63
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.5,07-24-2019,07:00:00,0.00,1008.45,7.00,1003.50,000,26.1,93,0.0,24.8,0.00,31.30
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,26.1,07-24-2019,07:00:00,0.00,1008.07,11.00,1004.78,210,28.0,77,5.6,23.5,0.00,28.92
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,25.7,07-24-2019,07:00:00,0.00,1008.08,9.00,1006.97,000,26.3,93,0.0,25.0,7.00,31.68
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,26.6,07-24-2019,07:00:00,0.00,1008.28,10.00,1007.98,000,27.3,87,0.0,25.0,20.70,31.69
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,27.0,07-24-2019,07:00:00,1.80,1008.31,10.00,1007.62,000,27.5,85,0.0,24.8,7.00,31.25
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,26.2,07-24-2019,07:00:00,0.00,1008.33,10.00,1007.84,000,27.3,87,0.0,24.9,5.30,31.41
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,27.3,07-24-2019,07:00:00,0.00,1008.38,10.00,1006.98,180,28.1,84,9.3,25.1,21.80,31.87
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,27.3,07-24-2019,07:00:00,0.00,1008.12,10.00,1006.46,220,30.2,72,11.1,24.6,0.00,30.99
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.7,07-24-2019,07:00:00,0.00,1010.54,10.00,1002.47,000,25.5,96,0.0,24.8,0.01,31.25
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.2,07-24-2019,07:00:00,0.00,1008.05,10.00,1007.76,000,28.2,91,0.0,26.5,15.50,34.65
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,28.1,07-24-2019,07:00:00,0.00,1008.30,10.00,1005.19,000,29.5,75,0.0,24.6,0.00,31.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.5,07-24-2019,07:00:00,0.00,1008.68,12.00,1001.78,240,29.0,74,5.6,23.9,0.00,29.74
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,26.2,07-24-2019,07:00:00,0.00,1008.83,8.00,1003.22,000,26.8,84,0.0,23.9,0.00,29.64
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,27.6,07-24-2019,07:00:00,0.00,1009.41,6.00,1000.14,270,29.0,78,13.0,24.7,0.00,31.13
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,26.0,07-24-2019,07:00:00,0.00,1009.05,12.00,1007.78,000,27.0,84,0.0,24.1,0.01,30.02
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,27.6,07-24-2019,07:00:00,0.00,1008.12,11.00,1007.69,270,28.2,72,11.1,22.8,0.00,27.69
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.5,07-24-2019,07:00:00,0.00,1008.84,8.00,996.45,000,24.3,92,0.0,23.0,0.00,28.02
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,26.9,07-24-2019,07:00:00,0.00,1008.58,10.00,1007.86,170,28.0,78,7.4,23.8,0.00,29.46
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,28.4,07-24-2019,07:00:00,0.00,1008.75,10.00,1006.33,260,29.7,71,5.6,23.9,0.00,29.71
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.5,07-24-2019,07:00:00,0.00,1008.79,10.00,1008.28,250,30.0,73,9.3,24.6,0.00,30.87
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,27.2,07-24-2019,07:00:00,0.00,1008.60,10.00,1003.46,000,28.3,80,0.0,24.4,0.00,30.59
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,24.4,07-24-2019,07:00:00,0.00,1009.07,7.00,1008.65,000,24.7,92,0.0,23.4,27.50,28.72
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,24.7,07-24-2019,07:00:00,27.60,1009.59,8.00,1006.80,000,25.5,96,0.0,24.8,54.60,31.25
