WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,RelativeHumidity,Rainfall,AirTemperature,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,WindDirection,DewPoint,WindSpeed,VaporPressure,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,07-24-2019,10:00:00,90,1.20,27.0,30.30,1007.26,5.00,000,25.1,0.0,31.94,976.44
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,07-24-2019,10:00:00,99,0.00,18.3,14.70,1005.89,.10,300,18.1,16.7,20.80,844.56
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,07-24-2019,10:00:00,86,0.90,26.1,21.40,1006.81,10.00,150,23.6,9.3,29.15,963.26
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,07-24-2019,10:00:00,90,1.60,25.9,24.60,1006.70,7.00,210,24.2,5.6,30.11,961.24
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,07-24-2019,10:00:00,97,0.70,25.5,9.70,1007.82,8.00,000,25.1,0.0,31.79,970.13
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,07-24-2019,10:00:00,95,0.20,24.5,39.40,1007.87,7.00,130,23.6,9.3,29.15,962.59
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,07-24-2019,10:00:00,92,0.60,26.1,20.90,1008.20,7.00,150,24.7,7.4,31.03,981.44
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,07-24-2019,10:00:00,76,0.00,28.8,0.20,1007.98,15.00,210,24.0,11.1,29.90,986.38
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,07-24-2019,10:00:00,96,3.40,25.5,5.10,1008.57,5.00,000,24.8,0.0,31.25,984.37
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,07-24-2019,10:00:00,86,0.50,26.5,9.50,1007.74,10.00,210,24.0,3.7,29.89,973.26
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,07-24-2019,10:00:00,76,0.00,28.0,0.80,1007.59,10.00,000,23.3,0.0,28.65,980.20
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,07-24-2019,10:00:00,88,0.90,27.0,2.00,1007.42,7.00,000,24.8,0.0,31.38,973.94
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,07-24-2019,10:00:00,85,0.60,27.5,4.00,1007.68,10.00,270,24.8,3.7,31.25,989.23
48331,NAN,น่าน,น่าน,18.77972,100.77778,07-24-2019,10:00:00,93,0.30,26.5,52.50,1007.72,10.00,000,25.2,0.0,32.07,984.89
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,07-24-2019,10:00:00,96,0.10,26.0,22.10,1007.84,9.00,000,25.3,0.0,32.20,977.90
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,07-24-2019,10:00:00,82,0.00,27.0,0.20,1007.76,6.00,000,23.6,0.0,29.21,972.33
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,07-24-2019,10:00:00,89,0.20,26.4,2.20,1007.43,12.00,140,24.4,9.3,30.51,977.72
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,07-24-2019,10:00:00,67,0.01,29.6,0.50,1008.00,8.00,000,22.9,0.0,27.88,1000.75
