WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall24Hr,AirTemperature,StationPressure,Rainfall,MeanSeaLevelPressure,WindDirection,DewPoint,LandVisibility,WindSpeed,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,89,07-24-2019,13:00:00,38.90,26.0,975.76,8.90,1006.67,000,24.1,3.00,0.0,30.03
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,94,07-24-2019,13:00:00,26.50,19.6,843.60,11.80,1003.99,310,18.6,2.00,63.0,21.46
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,76,07-24-2019,13:00:00,21.30,28.6,961.96,0.10,1005.07,170,24.0,12.00,5.6,29.79
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,86,07-24-2019,13:00:00,25.20,27.1,960.01,0.60,1005.23,150,24.5,8.00,5.6,30.75
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,85,07-24-2019,13:00:00,10.40,28.4,968.79,1.00,1006.06,200,25.7,12.00,7.4,33.04
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,84,07-24-2019,13:00:00,39.70,27.5,961.04,0.30,1005.79,000,24.5,10.00,0.0,30.70
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,81,07-24-2019,13:00:00,14.80,28.5,979.83,0.50,1006.33,190,24.9,10.00,5.6,31.54
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,75,07-24-2019,13:00:00,0.30,28.9,985.45,0.10,1007.03,210,24.0,15.00,3.7,29.82
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,94,07-24-2019,13:00:00,8.80,26.2,983.87,3.70,1008.00,000,25.2,5.00,0.0,32.04
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,86,07-24-2019,13:00:00,10.70,26.7,972.20,1.20,1006.62,190,24.2,10.00,9.3,30.26
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,86,07-24-2019,13:00:00,1.90,27.8,980.79,1.10,1008.21,000,25.2,7.00,0.0,32.12
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,88,07-24-2019,13:00:00,2.90,26.5,973.13,1.90,1006.63,000,24.3,9.00,0.0,30.43
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,85,07-24-2019,13:00:00,5.50,28.1,987.97,1.50,1006.37,260,25.3,6.00,3.7,32.15
48331,NAN,น่าน,น่าน,18.77972,100.77778,75,07-24-2019,13:00:00,48.70,29.7,983.35,0.01,1005.90,230,24.7,10.00,3.7,31.12
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,87,07-24-2019,13:00:00,15.70,27.6,976.28,0.50,1006.01,000,25.3,9.00,0.0,32.28
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,94,07-24-2019,13:00:00,9.20,25.5,971.70,9.00,1007.28,000,24.5,4.00,0.0,30.71
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,78,07-24-2019,13:00:00,2.20,29.4,976.31,0.00,1005.69,150,25.1,15.00,3.7,31.93
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,85,07-24-2019,13:00:00,2.30,28.0,1000.08,1.80,1007.36,000,25.1,7.00,0.0,31.95
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,76,07-24-2019,13:00:00,34.00,30.4,986.00,0.00,1005.64,240,25.6,20.00,18.5,32.84
48353,LOEI,เลย,เลย,17.45000,101.73333,71,07-24-2019,13:00:00,2.80,29.6,977.64,0.30,1005.99,190,23.8,15.00,9.3,29.52
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,85,07-24-2019,13:00:00,5.50,27.3,986.30,2.40,1006.42,200,24.6,8.00,5.6,30.86
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,70,07-24-2019,13:00:00,21.60,29.1,985.20,0.00,1006.75,290,23.1,15.00,7.4,28.29
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,68,07-24-2019,13:00:00,40.60,29.5,986.48,0.00,1005.77,220,23.1,15.00,9.3,28.23
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,87,07-24-2019,13:00:00,52.90,27.2,990.02,0.20,1006.74,100,24.8,10.00,3.7,31.22
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,90,07-24-2019,13:00:00,44.00,26.9,989.49,0.80,1006.89,000,25.0,9.00,0.0,31.74
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,81,07-24-2019,13:00:00,4.80,28.5,979.66,1.00,1005.25,170,24.9,12.00,7.4,31.54
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,68,07-24-2019,13:00:00,0.40,31.3,1000.93,0.00,1006.64,000,24.8,12.00,0.0,31.23
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,70,07-24-2019,13:00:00,3.70,31.0,1000.76,0.00,1006.86,320,24.9,12.00,5.6,31.47
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,68,07-24-2019,13:00:00,4.00,30.5,990.68,0.00,1006.92,000,24.0,10.00,0.0,29.89
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,82,07-24-2019,13:00:00,35.70,27.5,984.26,1.10,1006.52,000,24.2,10.00,0.0,30.15
48376,TAK,ตาก,ตาก,16.87833,99.14333,64,07-24-2019,13:00:00,2.30,30.0,993.79,0.00,1008.04,260,22.4,10.00,18.5,27.01
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,80,07-24-2019,13:00:00,2.00,29.5,990.21,0.00,1006.45,230,25.7,7.00,7.4,33.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,70,07-24-2019,13:00:00,1.20,30.4,1002.34,0.00,1007.52,160,24.4,10.00,3.7,30.54
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,72,07-24-2019,13:00:00,4.70,31.0,992.32,0.10,1005.32,000,25.4,10.00,0.0,32.34
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,85,07-24-2019,13:00:00,2.60,28.6,985.05,1.00,1006.61,220,25.8,8.00,3.7,33.16
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,71,07-24-2019,13:00:00,0.50,31.4,989.11,0.01,1006.35,000,25.5,10.00,0.0,32.60
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,83,07-24-2019,13:00:00,15.20,28.6,990.27,0.10,1006.01,210,25.3,12.00,3.7,32.30
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,75,07-24-2019,13:00:00,1.60,30.5,986.81,0.01,1005.45,000,25.6,8.00,0.0,32.75
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,85,07-24-2019,13:00:00,8.00,25.8,957.09,3.00,1008.36,000,23.2,10.00,0.0,28.34
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,61,07-24-2019,13:00:00,0.10,33.0,1002.66,0.00,1006.54,280,24.5,8.00,3.7,30.69
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,92,07-24-2019,13:00:00,12.50,22.0,912.73,0.10,1007.74,260,20.6,.90,13.0,24.27
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,80,07-24-2019,13:00:00,22.60,30.5,990.65,0.10,1006.44,310,26.6,8.00,7.4,34.82
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,57,07-24-2019,13:00:00,0.01,34.2,1003.07,0.01,1007.01,280,24.4,10.00,1.9,30.58
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,57,07-24-2019,13:00:00,0.00,32.7,997.21,0.00,1007.69,210,23.0,7.00,3.7,28.08
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,51,07-24-2019,13:00:00,0.00,34.5,1005.78,0.00,1007.67,180,23.0,10.00,3.7,28.02
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,48,07-24-2019,13:00:00,0.01,33.4,985.55,0.00,1005.95,260,20.9,10.00,13.0,24.75
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,65,07-24-2019,13:00:00,4.30,31.3,988.46,0.80,1005.86,330,24.0,11.00,18.5,29.80
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,69,07-24-2019,13:00:00,6.60,30.7,989.87,1.00,1005.82,280,24.4,10.00,9.3,30.58
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,75,07-24-2019,13:00:00,52.70,30.2,992.96,0.00,1006.84,260,25.2,10.00,3.7,32.13
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,78,07-24-2019,13:00:00,48.20,30.0,992.69,0.00,1007.38,000,25.8,9.00,0.0,33.17
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,66,07-24-2019,13:00:00,2.70,32.0,992.62,0.00,1007.05,220,24.9,10.00,9.3,31.52
