WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,MeanSeaLevelPressure,LandVisibility,Rainfall,DewPoint,StationPressure,RelativeHumidity,Rainfall24Hr,WindSpeed,AirTemperature,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,07-24-2019,16:00:00,1004.98,8.00,9.00,24.6,974.17,89,45.40,0.0,26.5,30.97
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,270,07-24-2019,16:00:00,1001.64,5.00,0.00,19.3,842.31,90,23.70,27.8,21.0,22.32
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,170,07-24-2019,16:00:00,1004.17,10.00,8.60,22.9,960.67,85,14.10,7.4,25.6,27.99
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,240,07-24-2019,16:00:00,1003.40,15.00,10.40,23.9,958.12,88,15.60,5.6,26.1,29.68
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,160,07-24-2019,16:00:00,1004.34,8.00,1.00,24.1,966.97,84,11.30,9.3,27.0,30.02
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,180,07-24-2019,16:00:00,1003.66,12.00,0.00,23.7,959.15,75,38.70,7.4,28.5,29.33
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,180,07-24-2019,16:00:00,1004.63,10.00,0.20,25.0,978.19,80,14.90,5.6,28.7,31.66
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,120,07-24-2019,16:00:00,1005.47,15.00,0.80,25.0,983.86,84,1.10,1.9,28.0,31.67
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,07-24-2019,16:00:00,1006.49,5.00,3.60,25.3,982.38,96,12.40,0.0,26.0,32.20
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,07-24-2019,16:00:00,1005.53,10.00,13.50,23.5,970.96,92,22.80,0.0,25.0,29.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,07-24-2019,16:00:00,1005.45,10.00,27.80,24.5,978.01,87,29.50,0.0,26.8,30.72
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,07-24-2019,16:00:00,1005.17,9.00,2.50,24.9,971.82,86,5.30,0.0,27.5,31.52
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,190,07-24-2019,16:00:00,1005.38,5.00,12.10,24.8,986.87,94,17.60,1.9,25.8,31.27
48331,NAN,น่าน,น่าน,18.77972,100.77778,260,07-24-2019,16:00:00,1004.30,10.00,0.01,24.1,981.74,74,48.70,5.6,29.1,29.93
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,07-24-2019,16:00:00,1004.24,8.00,1.80,25.1,974.63,83,17.50,0.0,28.2,31.79
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,07-24-2019,16:00:00,1005.19,6.00,4.00,24.6,969.91,84,13.20,0.0,27.5,30.97
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,100,07-24-2019,16:00:00,1003.76,16.00,0.00,23.6,974.40,73,2.20,5.6,29.0,29.19
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,07-24-2019,16:00:00,1005.35,8.00,2.30,24.9,998.10,80,4.60,0.0,28.6,31.46
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,250,07-24-2019,16:00:00,1003.71,20.00,0.00,25.6,984.13,74,34.00,14.8,30.7,32.88
48353,LOEI,เลย,เลย,17.45000,101.73333,000,07-24-2019,16:00:00,1004.19,15.00,0.10,23.0,975.90,68,2.90,0.0,29.6,28.15
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,210,07-24-2019,16:00:00,1004.06,15.00,0.10,25.1,984.16,75,5.60,7.4,30.1,31.93
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,260,07-24-2019,16:00:00,1004.92,12.00,0.00,23.7,983.52,66,21.60,11.1,30.8,29.37
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,230,07-24-2019,16:00:00,1003.64,15.00,0.00,23.4,984.46,65,38.90,7.4,30.6,28.70
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,000,07-24-2019,16:00:00,1004.58,12.00,0.00,26.1,987.97,86,52.90,0.0,28.6,33.74
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,07-24-2019,16:00:00,1004.69,12.00,0.01,26.1,987.42,88,44.00,0.0,28.4,33.90
