WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,WindSpeed,RelativeHumidity,WindDirection,Rainfall24Hr,MeanSeaLevelPressure,DewPoint,Rainfall,AirTemperature,VaporPressure,LandVisibility,MaximumTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,974.47,07-24-2019,19:00:00,0.0,92,000,41.50,1005.33,24.6,1.60,26.0,30.84,10.00,28.1
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,842.68,07-24-2019,19:00:00,38.9,96,300,23.10,1003.24,18.3,5.50,19.0,21.08,4.00,24.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,960.56,07-24-2019,19:00:00,11.1,88,150,13.90,1004.00,23.8,0.60,26.0,29.50,12.00,29.8
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,958.45,07-24-2019,19:00:00,0.0,86,000,14.80,1003.66,24.1,0.00,26.7,29.99,15.00,29.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,967.53,07-24-2019,19:00:00,7.4,96,160,15.60,1005.18,24.3,9.30,25.0,30.32,8.00,28.5
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,959.63,07-24-2019,19:00:00,5.6,90,090,6.30,1004.73,23.0,0.60,24.8,28.13,10.00,29.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,978.92,07-24-2019,19:00:00,13.0,93,130,9.40,1005.70,23.9,4.40,25.1,29.70,8.00,29.2
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,984.51,07-24-2019,19:00:00,3.7,76,210,1.30,1006.16,23.1,0.20,27.6,28.18,12.00,31.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,983.67,07-24-2019,19:00:00,0.0,94,000,12.80,1008.02,22.4,0.40,23.5,27.16,6.00,27.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,971.31,07-24-2019,19:00:00,0.0,93,000,18.10,1005.82,24.4,2.00,25.7,30.54,10.00,27.3
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,978.76,07-24-2019,19:00:00,0.0,88,000,29.20,1006.20,24.8,0.00,27.0,31.38,10.00,30.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,971.79,07-24-2019,19:00:00,0.0,92,000,6.90,1005.30,24.6,1.60,26.0,30.84,10.00,28.6
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,987.14,07-24-2019,19:00:00,3.7,93,250,17.70,1005.62,25.1,1.70,26.4,31.88,15.00,29.5
48331,NAN,น่าน,น่าน,18.77972,100.77778,982.64,07-24-2019,19:00:00,3.7,93,190,23.10,1005.51,24.1,20.40,25.3,30.07,10.00,31.5
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,975.85,07-24-2019,19:00:00,0.0,92,000,7.50,1005.83,23.5,1.80,25.0,29.00,8.00,29.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,970.63,07-24-2019,19:00:00,0.0,86,000,13.20,1005.94,24.9,0.00,27.5,31.52,6.00,28.8
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,974.94,07-24-2019,19:00:00,3.7,78,270,2.20,1004.42,23.7,0.00,27.9,29.28,14.00,30.2
