WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,WindDirection,AirTemperature,StationPressure,Rainfall24Hr,WindSpeed,Rainfall,LandVisibility,DewPoint,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1008.62,07-25-2019,10:00:00,84,000,27.1,977.76,20.40,0.0,0.10,12.00,24.2,30.20
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1005.92,07-25-2019,10:00:00,93,300,19.4,845.12,19.40,37.0,0.00,4.00,18.3,20.97
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1007.35,07-25-2019,10:00:00,81,000,27.2,963.94,20.00,0.0,0.10,12.00,23.7,29.31
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1007.41,07-25-2019,10:00:00,75,240,27.8,962.19,20.50,7.4,0.50,15.00,23.0,28.02
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1009.05,07-25-2019,10:00:00,88,140,25.4,971.31,17.30,9.3,0.00,12.00,23.3,28.67
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1008.18,07-25-2019,10:00:00,79,140,26.9,963.24,0.90,5.6,0.00,10.00,22.9,27.96
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1008.94,07-25-2019,10:00:00,78,180,27.6,982.30,5.60,9.3,0.00,12.00,23.4,28.71
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1008.81,07-25-2019,10:00:00,72,220,28.8,987.19,1.10,5.6,0.00,12.00,23.3,28.54
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1009.42,07-25-2019,10:00:00,84,000,27.5,985.36,8.30,0.0,0.00,8.00,24.6,30.97
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1008.01,07-25-2019,10:00:00,74,000,27.9,973.68,16.70,0.0,0.00,10.00,22.8,27.67
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1008.60,07-25-2019,10:00:00,73,000,28.6,981.24,28.90,0.0,0.00,10.00,23.4,28.70
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1007.79,07-25-2019,10:00:00,72,310,29.0,974.52,6.00,5.6,0.00,10.00,23.3,28.64
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1008.74,07-25-2019,10:00:00,81,270,27.3,990.25,15.50,7.4,0.00,12.00,23.7,29.23
48331,NAN,น่าน,น่าน,18.77972,100.77778,1009.12,07-25-2019,10:00:00,82,000,26.8,986.28,20.40,0.0,0.00,10.00,23.4,28.84
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1009.17,07-25-2019,10:00:00,84,000,26.2,979.21,4.10,0.0,0.00,9.00,23.3,28.54
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1008.41,07-25-2019,10:00:00,77,000,27.5,973.02,13.00,0.0,0.00,8.00,23.1,28.26
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1008.55,07-25-2019,10:00:00,78,160,27.0,978.86,0.20,11.1,0.00,15.00,22.9,27.88
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1008.71,07-25-2019,10:00:00,78,000,28.5,1001.43,4.10,0.0,0.01,10.00,24.2,30.15
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1008.78,07-25-2019,10:00:00,79,220,28.0,988.93,0.00,11.1,0.00,14.00,24.1,30.01
48353,LOEI,เลย,เลย,17.45000,101.73333,1009.09,07-25-2019,10:00:00,80,160,26.0,980.32,0.80,3.7,0.01,12.00,22.3,26.88
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1009.96,07-25-2019,10:00:00,73,220,28.4,989.84,5.50,7.4,3.00,14.00,23.1,28.33
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1009.30,07-25-2019,10:00:00,76,190,27.6,987.58,1.00,7.4,0.00,13.00,23.1,28.18
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1009.27,07-25-2019,10:00:00,76,230,27.3,989.77,0.80,9.3,0.00,15.00,22.7,27.63
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1009.88,07-25-2019,10:00:00,89,000,26.5,993.07,58.90,0.0,0.30,10.00,24.5,30.70
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1009.97,07-25-2019,10:00:00,81,000,27.5,992.55,24.90,0.0,0.30,12.00,24.0,29.88
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1007.94,07-25-2019,10:00:00,70,230,28.0,982.24,1.20,5.6,0.00,14.00,22.1,26.54
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1009.86,07-25-2019,10:00:00,76,000,29.2,1004.10,2.50,0.0,0.00,10.00,24.6,30.96
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1009.03,07-25-2019,10:00:00,72,000,30.5,1002.90,0.00,0.0,0.00,10.00,24.8,31.31
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1010.46,07-25-2019,10:00:00,84,190,27.3,993.98,3.30,3.7,0.40,8.00,24.4,30.59
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1008.40,07-25-2019,10:00:00,86,000,26.2,985.99,10.30,0.0,1.00,8.00,23.7,29.33
48376,TAK,ตาก,ตาก,16.87833,99.14333,1009.77,07-25-2019,10:00:00,72,000,28.8,995.43,0.50,0.0,0.00,8.00,23.3,28.54
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1008.72,07-25-2019,10:00:00,72,120,28.8,992.41,1.00,7.4,0.00,7.00,23.3,28.54
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1009.34,07-25-2019,10:00:00,76,210,28.7,1004.13,0.01,3.7,0.01,10.00,24.1,29.98
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1008.74,07-25-2019,10:00:00,82,000,28.0,995.57,0.90,0.0,0.00,12.00,24.6,30.84
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1009.24,07-25-2019,10:00:00,68,110,30.0,999.98,0.10,5.6,0.00,10.00,23.5,28.91
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1009.84,07-25-2019,10:00:00,81,000,27.5,988.13,2.80,0.0,0.01,10.00,23.9,29.60
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1010.32,07-25-2019,10:00:00,79,220,28.8,992.86,1.30,13.0,0.01,10.00,24.8,31.29
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1009.46,07-25-2019,10:00:00,81,210,27.2,993.60,3.00,3.7,0.00,12.00,23.7,29.31
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1008.71,07-25-2019,10:00:00,84,170,28.0,989.86,5.30,11.1,0.20,8.00,25.0,31.67
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1011.72,07-25-2019,10:00:00,77,000,25.0,960.14,6.00,0.0,0.00,11.00,20.7,24.45
