WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,DewPoint,Rainfall24Hr,RelativeHumidity,MeanSeaLevelPressure,VaporPressure,WindSpeed,LandVisibility,AirTemperature,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,07-25-2019,13:00:00,976.67,23.7,11.50,74,1007.31,29.35,0.0,15.00,28.8,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,07-25-2019,13:00:00,844.67,19.0,7.60,93,1004.97,21.93,18.5,3.00,20.1,300
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,07-25-2019,13:00:00,962.66,23.5,19.90,75,1005.85,28.95,0.0,15.00,28.3,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,07-25-2019,13:00:00,961.46,22.4,19.90,68,1006.47,27.03,11.1,15.00,29.0,220
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,07-25-2019,13:00:00,970.19,23.9,16.30,81,1007.63,29.60,5.6,12.00,27.5,190
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,07-25-2019,13:00:00,961.93,23.5,0.60,72,1006.50,28.91,9.3,12.00,29.0,130
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,07-25-2019,13:00:00,981.46,23.4,5.10,70,1007.91,28.78,5.6,12.00,29.5,190
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.01,07-25-2019,13:00:00,986.51,22.4,1.00,67,1008.09,27.13,7.4,10.00,29.2,200
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,07-25-2019,13:00:00,983.71,25.0,4.60,79,1007.61,31.69,0.0,8.00,29.0,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,07-25-2019,13:00:00,972.63,22.0,15.50,57,1006.53,26.40,0.0,10.00,31.4,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,07-25-2019,13:00:00,979.73,22.4,27.80,58,1006.78,27.05,0.0,10.00,31.6,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,07-25-2019,13:00:00,973.28,22.6,4.10,54,1006.05,27.39,5.6,12.00,33.2,230
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,07-25-2019,13:00:00,988.85,23.8,14.00,67,1007.11,29.53,11.1,15.00,30.6,190
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,07-25-2019,13:00:00,984.65,23.4,20.40,70,1007.24,28.78,0.0,10.00,29.5,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,07-25-2019,13:00:00,978.00,23.5,3.60,76,1007.72,29.03,0.0,10.00,28.2,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,07-25-2019,13:00:00,971.59,24.5,4.00,68,1006.50,30.73,0.0,8.00,31.2,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-25-2019,13:00:00,977.65,22.5,0.20,72,1007.20,27.32,5.6,15.00,28.0,070
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,07-25-2019,13:00:00,1000.18,23.5,2.30,62,1007.38,28.99,0.0,10.00,31.6,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.10,07-25-2019,13:00:00,987.94,25.0,0.10,82,1007.75,31.62,9.3,5.00,28.4,140
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-25-2019,13:00:00,979.48,22.0,0.50,69,1008.01,26.37,7.4,15.00,28.2,150
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,4.70,07-25-2019,13:00:00,988.27,24.3,7.80,90,1008.52,30.30,7.4,5.00,26.0,230
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.60,07-25-2019,13:00:00,986.34,23.6,1.60,84,1008.11,29.08,0.0,15.00,26.5,000
