WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,Rainfall,VaporPressure,WindSpeed,StationPressure,AirTemperature,DewPoint,RelativeHumidity,WindDirection,MeanSeaLevelPressure,MaximumTemperature,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,6.00,07-25-2019,19:00:00,4.50,28.83,0.0,976.21,25.2,23.4,90,000,1007.21,31.0,2.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,3.80,07-25-2019,19:00:00,0.00,19.74,18.5,843.70,19.6,17.3,87,300,1004.11,21.6,4.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.70,07-25-2019,19:00:00,0.00,27.56,0.0,960.90,29.0,22.7,69,000,1003.91,31.0,12.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,9.50,07-25-2019,19:00:00,0.00,30.75,0.0,959.05,28.1,24.5,81,000,1004.07,30.5,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,6.00,07-25-2019,19:00:00,0.00,31.36,0.0,968.29,27.7,24.8,84,000,1005.63,30.0,12.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.01,07-25-2019,19:00:00,0.01,28.36,7.4,960.43,26.1,23.2,84,180,1005.37,31.0,8.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.60,07-25-2019,19:00:00,0.10,32.80,0.0,979.32,28.0,25.6,87,000,1005.85,30.2,10.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.20,07-25-2019,19:00:00,0.20,23.92,9.3,985.10,29.3,20.4,59,250,1006.64,32.4,12.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,6.60,07-25-2019,19:00:00,2.00,29.95,0.0,984.50,24.8,24.1,96,000,1008.76,31.0,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1.20,07-25-2019,19:00:00,1.20,28.29,7.4,971.31,26.5,23.1,82,220,1005.72,34.0,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,8.50,07-25-2019,19:00:00,2.50,29.77,3.7,979.46,27.3,24.0,82,180,1006.89,33.5,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,07-25-2019,19:00:00,0.00,26.63,5.6,972.32,28.2,22.1,70,240,1005.61,34.9,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.30,07-25-2019,19:00:00,0.10,29.63,7.4,988.09,27.8,23.9,79,240,1006.51,33.5,15.00
