WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall,WindSpeed,StationPressure,RelativeHumidity,DewPoint,Rainfall24Hr,VaporPressure,MeanSeaLevelPressure,AirTemperature,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,5.00,07-25-2019,22:00:00,10.10,0.0,977.92,95,23.4,15.60,28.79,1009.07,24.3,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,4.00,07-25-2019,22:00:00,0.00,9.3,844.87,90,17.8,3.80,20.33,1005.61,19.4,300
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,07-25-2019,22:00:00,0.00,7.4,963.05,82,23.2,4.60,28.37,1006.54,26.4,180
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,07-25-2019,22:00:00,0.00,7.4,961.09,82,22.7,4.70,27.58,1006.52,26.1,250
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,6.00,07-25-2019,22:00:00,19.60,0.0,970.97,100,23.5,21.80,28.94,1008.95,23.5,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,7.00,07-25-2019,22:00:00,0.40,9.3,962.77,88,22.9,0.40,27.88,1007.97,25.1,140
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,8.00,07-25-2019,22:00:00,9.30,0.0,981.74,95,24.1,9.70,30.05,1008.60,25.0,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,11.00,07-25-2019,22:00:00,0.00,13.0,987.09,68,20.5,0.20,24.12,1008.84,26.9,200
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,5.00,07-25-2019,22:00:00,0.80,0.0,986.16,96,22.8,7.40,27.66,1010.57,23.5,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,07-25-2019,22:00:00,1.50,0.0,974.22,88,23.3,2.70,28.59,1008.85,25.5,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,07-25-2019,22:00:00,0.40,0.0,981.13,92,24.0,8.90,29.91,1008.77,25.5,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,07-25-2019,22:00:00,0.00,9.3,974.26,67,20.7,0.00,24.47,1007.70,27.4,240
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,12.00,07-25-2019,22:00:00,0.00,3.7,989.79,85,23.6,0.30,29.17,1008.32,26.4,270
48331,NAN,น่าน,น่าน,18.77972,100.77778,7.00,07-25-2019,22:00:00,1.60,0.0,985.53,96,24.5,1.60,30.69,1008.48,25.2,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,8.00,07-25-2019,22:00:00,1.20,0.0,977.84,96,23.8,1.20,29.41,1007.93,24.5,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,7.00,07-25-2019,22:00:00,2.40,0.0,973.29,94,24.2,11.00,30.15,1008.97,25.2,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,12.00,07-25-2019,22:00:00,0.00,5.6,977.93,83,22.0,0.20,26.43,1007.79,25.0,140
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,9.00,07-25-2019,22:00:00,0.01,0.0,1001.57,92,24.6,16.20,30.84,1008.91,26.0,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,12.00,07-25-2019,22:00:00,0.00,5.6,987.74,84,24.5,0.20,30.70,1007.60,27.5,190
48353,LOEI,เลย,เลย,17.45000,101.73333,13.00,07-25-2019,22:00:00,0.00,9.3,978.98,80,21.7,0.40,26.02,1007.75,25.5,150
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,12.00,07-25-2019,22:00:00,0.00,3.7,987.67,76,22.9,8.90,28.00,1007.81,27.5,220
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,12.00,07-25-2019,22:00:00,0.00,0.0,986.46,87,23.2,2.10,28.51,1008.30,25.6,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,12.00,07-25-2019,22:00:00,0.00,0.0,988.53,92,24.0,3.90,29.91,1008.13,25.5,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,7.00,07-25-2019,22:00:00,0.10,0.0,992.14,96,24.3,64.90,30.32,1009.02,25.0,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10.00,07-25-2019,22:00:00,0.00,0.0,991.60,94,24.6,28.20,30.90,1009.11,25.6,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,11.00,07-25-2019,22:00:00,0.00,9.3,981.35,77,22.6,0.50,27.36,1007.11,27.0,290
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,07-25-2019,22:00:00,0.50,5.6,1002.53,84,22.6,5.20,27.47,1008.35,25.6,270
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10.00,07-25-2019,22:00:00,0.30,0.0,1002.83,92,24.0,25.80,29.91,1009.07,25.5,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,6.00,07-25-2019,22:00:00,3.80,0.0,993.36,93,23.9,22.20,29.70,1009.95,25.1,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,8.00,07-25-2019,22:00:00,1.50,0.0,986.65,93,21.8,28.00,26.09,1009.31,23.0,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,8.00,07-25-2019,22:00:00,0.00,18.5,995.39,68,20.2,1.50,23.63,1009.84,26.6,260
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,7.00,07-25-2019,22:00:00,0.00,13.0,992.90,80,22.8,0.50,27.77,1009.35,26.5,230
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,07-25-2019,22:00:00,2.80,0.0,1004.17,93,23.3,3.10,28.63,1009.46,24.5,000
