WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,DewPoint,StationPressure,VaporPressure,LandVisibility,RelativeHumidity,WindSpeed,AirTemperature,Rainfall,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1007.12,07-26-2019,04:00:00,000,23.0,976.00,28.01,6.00,94,0.0,24.0,0.00,15.80
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1005.11,07-26-2019,04:00:00,270,16.9,843.56,19.28,4.00,96,11.1,17.6,0.00,2.50
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1006.17,07-26-2019,04:00:00,000,23.0,962.39,28.10,10.00,93,0.0,24.2,0.50,1.70
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1006.21,07-26-2019,04:00:00,000,23.0,960.43,28.09,1.00,96,0.0,23.6,1.10,2.40
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1007.46,07-26-2019,04:00:00,000,23.5,969.53,28.94,6.00,100,0.0,23.5,0.30,25.80
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1006.69,07-26-2019,04:00:00,090,22.8,961.29,27.83,10.00,97,3.7,23.3,1.00,7.40
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1007.19,07-26-2019,04:00:00,000,23.3,980.32,28.63,8.00,93,0.0,24.5,0.00,14.70
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1007.43,07-26-2019,04:00:00,000,21.2,985.53,25.10,10.00,82,0.0,24.5,0.00,0.20
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1008.57,07-26-2019,04:00:00,000,22.7,984.17,27.57,4.00,98,0.0,23.0,0.30,7.10
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1007.18,07-26-2019,04:00:00,000,22.8,972.54,27.79,10.00,88,0.0,24.9,0.00,2.70
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1007.63,07-26-2019,04:00:00,000,22.8,979.97,27.70,10.00,88,0.0,25.0,0.00,8.90
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1006.79,07-26-2019,04:00:00,000,20.6,973.11,24.20,10.00,76,0.0,25.0,0.00,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1007.07,07-26-2019,04:00:00,270,22.4,988.49,27.03,10.00,84,9.3,25.2,0.00,0.10
48331,NAN,น่าน,น่าน,18.77972,100.77778,1007.05,07-26-2019,04:00:00,000,23.9,984.09,29.59,10.00,96,0.0,24.6,0.00,2.30
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1007.25,07-26-2019,04:00:00,000,23.4,977.11,28.69,7.00,97,0.0,23.8,0.00,2.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1006.99,07-26-2019,04:00:00,000,23.6,971.33,29.16,7.00,93,0.0,24.8,0.00,11.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1006.17,07-26-2019,04:00:00,150,22.2,976.34,26.77,10.00,85,3.7,24.9,0.00,0.20
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1007.51,07-26-2019,04:00:00,000,22.8,1000.15,27.70,8.00,88,0.0,25.0,0.00,16.20
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1006.58,07-26-2019,04:00:00,060,24.0,986.65,29.78,10.00,87,3.7,26.3,0.00,0.20
48353,LOEI,เลย,เลย,17.45000,101.73333,1007.07,07-26-2019,04:00:00,270,21.4,978.26,25.43,12.00,80,5.6,25.0,0.00,0.40
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1007.24,07-26-2019,04:00:00,210,22.2,986.98,26.70,12.00,81,7.4,25.6,0.00,8.90
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1007.52,07-26-2019,04:00:00,000,23.2,985.64,28.47,10.00,92,0.0,24.7,0.00,1.90
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1007.28,07-26-2019,04:00:00,000,23.8,987.67,29.52,9.00,93,0.0,25.0,0.30,3.40
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1007.92,07-26-2019,04:00:00,000,23.8,991.03,29.41,10.00,96,0.0,24.5,0.00,12.40
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1008.09,07-26-2019,04:00:00,000,23.9,990.53,29.59,9.00,96,0.0,24.6,3.40,8.70
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1006.29,07-26-2019,04:00:00,170,23.1,980.35,28.21,9.00,91,3.7,24.7,1.00,1.50
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1007.94,07-26-2019,04:00:00,000,24.0,1002.12,29.91,10.00,92,0.0,25.5,0.00,5.20
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1008.95,07-26-2019,04:00:00,000,22.8,992.29,27.66,6.00,96,0.0,23.5,9.20,36.30
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1007.32,07-26-2019,04:00:00,150,22.2,984.70,26.83,8.00,96,5.6,23.0,1.80,27.40
48376,TAK,ตาก,ตาก,16.87833,99.14333,1008.63,07-26-2019,04:00:00,200,22.3,994.14,26.95,7.00,84,7.4,25.3,0.00,1.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1007.96,07-26-2019,04:00:00,000,23.4,991.49,28.77,7.00,88,0.0,25.6,0.00,0.50
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1007.91,07-26-2019,04:00:00,000,23.5,1002.63,28.88,10.00,96,0.0,24.2,0.00,3.10
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1007.55,07-26-2019,04:00:00,000,23.6,994.23,29.05,6.00,96,0.0,24.3,5.10,33.20
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1007.85,07-26-2019,04:00:00,000,23.4,998.47,28.75,10.00,89,0.0,25.3,0.00,0.80
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1008.22,07-26-2019,04:00:00,000,23.1,986.32,28.28,8.00,93,0.0,24.3,0.00,7.70
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1008.39,07-26-2019,04:00:00,000,23.7,990.73,29.33,10.00,95,0.0,24.6,0.20,2.30
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1007.84,07-26-2019,04:00:00,000,23.8,991.87,29.41,8.00,96,0.0,24.5,4.20,5.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1007.03,07-26-2019,04:00:00,200,24.0,987.99,29.75,8.00,97,1.9,24.4,0.50,8.20
