WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,AirTemperature,Rainfall,WindDirection,MeanSeaLevelPressure,WindSpeed,MinimumTemperature,LandVisibility,VaporPressure,DewPoint,Rainfall24Hr,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,977.08,07-26-2019,07:00:00,23.9,0.00,000,1008.25,0.0,21.4,7.00,27.34,22.6,15.70,92
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,844.09,07-26-2019,07:00:00,17.5,0.00,270,1005.80,7.4,17.3,4.00,19.36,17.0,2.50,97
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,963.52,07-26-2019,07:00:00,23.7,2.60,180,1007.43,7.4,23.5,10.00,27.50,22.7,3.20,94
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,961.98,07-26-2019,07:00:00,23.0,3.80,000,1007.93,0.0,22.7,2.00,27.32,22.5,5.80,97
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,970.79,07-26-2019,07:00:00,23.7,0.20,000,1008.74,0.0,23.0,10.00,29.29,23.7,26.00,100
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,962.82,07-26-2019,07:00:00,23.2,2.00,110,1008.31,5.6,23.0,6.00,27.41,22.6,9.40,96
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,981.76,07-26-2019,07:00:00,24.5,0.00,180,1008.67,5.6,24.3,8.00,28.63,23.3,14.70,93
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,986.81,07-26-2019,07:00:00,24.6,0.00,270,1008.73,1.9,24.3,10.00,26.26,21.9,0.20,85
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,984.80,07-26-2019,07:00:00,23.4,0.00,000,1009.18,0.0,22.2,5.00,27.75,22.8,7.10,96
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,973.19,07-26-2019,07:00:00,24.9,0.01,000,1007.86,0.0,24.6,9.00,27.79,22.8,2.70,88
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,981.29,07-26-2019,07:00:00,25.0,0.00,000,1008.99,0.0,24.2,10.00,26.94,22.3,8.90,85
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,973.96,07-26-2019,07:00:00,25.5,0.00,000,1007.60,0.0,25.5,10.00,27.04,22.4,0.00,83
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,989.64,07-26-2019,07:00:00,25.0,0.00,240,1008.26,7.4,24.9,12.00,26.43,22.0,0.10,83
48331,NAN,น่าน,น่าน,18.77972,100.77778,985.49,07-26-2019,07:00:00,24.3,0.00,000,1008.50,0.0,24.0,10.00,29.05,23.6,2.30,96
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,978.33,07-26-2019,07:00:00,24.0,0.00,000,1008.49,0.0,23.8,6.00,28.27,23.1,2.00,95
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,972.42,07-26-2019,07:00:00,23.5,0.01,000,1008.28,0.0,23.4,6.00,28.17,23.0,11.00,97
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,977.57,07-26-2019,07:00:00,24.0,0.00,130,1007.53,5.6,23.8,12.00,26.75,22.2,0.00,90
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1001.51,07-26-2019,07:00:00,25.0,0.00,000,1008.88,0.0,24.9,8.00,28.48,23.2,16.20,90
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,987.61,07-26-2019,07:00:00,25.9,0.00,210,1007.58,9.3,25.5,11.00,30.11,24.2,0.20,90
48353,LOEI,เลย,เลย,17.45000,101.73333,979.11,07-26-2019,07:00:00,24.5,0.00,130,1007.99,3.7,24.0,12.00,25.60,21.5,0.01,83
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,987.76,07-26-2019,07:00:00,24.7,0.00,220,1008.09,7.4,24.7,12.00,26.68,22.2,8.90,86
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,986.86,07-26-2019,07:00:00,25.0,0.00,000,1008.75,0.0,24.5,10.00,27.45,22.6,1.90,87
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,988.37,07-26-2019,07:00:00,25.0,0.00,260,1007.99,3.7,24.5,15.00,29.00,23.5,3.40,92
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,991.62,07-26-2019,07:00:00,24.7,0.30,000,1008.51,0.0,24.5,7.00,29.25,23.7,9.70,94
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,991.22,07-26-2019,07:00:00,24.8,2.30,000,1008.77,0.0,23.5,12.00,30.22,24.2,10.20,97
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,981.61,07-26-2019,07:00:00,23.9,0.01,120,1007.65,3.7,23.7,10.00,27.34,22.6,1.50,92
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1002.91,07-26-2019,07:00:00,24.9,0.00,160,1008.75,9.3,22.6,10.00,31.20,24.7,5.20,99
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1003.08,07-26-2019,07:00:00,24.4,0.00,000,1009.34,0.0,23.9,12.00,29.49,23.8,25.80,97
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,993.33,07-26-2019,07:00:00,23.6,3.60,000,1010.00,0.0,22.6,5.00,28.34,23.2,38.00,97
