WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,StationPressure,Rainfall,VaporPressure,WindSpeed,Rainfall24Hr,WindDirection,RelativeHumidity,AirTemperature,MeanSeaLevelPressure,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,22.9,07-27-2019,04:00:00,975.90,0.30,27.93,0.0,6.10,000,93,24.1,1007.01,8.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,17.4,07-27-2019,04:00:00,843.79,4.40,19.86,1.9,14.30,270,97,17.9,1005.21,5.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,22.5,07-27-2019,04:00:00,962.83,0.40,27.25,0.0,17.20,000,91,24.0,1006.67,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.3,07-27-2019,04:00:00,961.15,0.60,28.53,0.0,13.00,000,96,24.0,1006.91,1.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.3,07-27-2019,04:00:00,969.50,0.20,28.59,0.0,6.00,000,100,23.3,1007.45,6.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,21.7,07-27-2019,04:00:00,961.53,5.10,26.01,13.0,10.70,160,95,22.5,1007.07,6.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,23.8,07-27-2019,04:00:00,981.38,1.30,29.41,0.0,4.60,000,96,24.5,1008.28,6.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.2,07-27-2019,04:00:00,986.03,1.00,28.36,0.0,1.00,000,94,24.2,1007.96,10.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.3,07-27-2019,04:00:00,984.17,0.00,28.53,0.0,1.80,000,96,24.0,1008.49,5.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,22.9,07-27-2019,04:00:00,972.73,4.60,27.86,0.0,5.70,000,91,24.5,1007.42,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.0,07-27-2019,04:00:00,980.63,1.80,28.01,0.0,4.50,000,94,24.0,1008.40,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.5,07-27-2019,04:00:00,973.91,5.20,28.95,0.0,10.10,000,98,23.8,1007.75,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.3,07-27-2019,04:00:00,989.02,0.50,30.40,0.0,5.10,000,97,24.9,1007.63,6.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.6,07-27-2019,04:00:00,984.87,0.30,29.05,0.0,4.20,000,96,24.3,1007.87,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,22.7,07-27-2019,04:00:00,977.70,1.60,27.50,0.0,5.60,000,94,23.7,1007.87,7.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.3,07-27-2019,04:00:00,972.05,2.40,28.53,0.0,2.80,000,96,24.0,1007.84,6.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.2,07-27-2019,04:00:00,976.57,0.00,28.45,0.0,0.00,000,93,24.4,1006.45,12.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,23.7,07-27-2019,04:00:00,1000.82,0.30,29.21,0.0,0.30,000,89,25.7,1008.16,8.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,24.8,07-27-2019,04:00:00,986.39,0.00,31.24,5.6,0.00,220,90,26.5,1006.29,11.00
48353,LOEI,เลย,เลย,17.45000,101.73333,22.6,07-27-2019,04:00:00,978.07,0.00,27.38,0.0,0.00,000,84,25.4,1006.83,10.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,23.2,07-27-2019,04:00:00,986.26,0.00,28.44,3.7,0.90,200,85,26.0,1006.47,12.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,23.1,07-27-2019,04:00:00,985.57,0.00,28.18,3.7,0.00,230,84,26.0,1007.36,10.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.1,07-27-2019,04:00:00,986.71,0.00,30.03,1.9,0.00,270,89,26.0,1006.23,10.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.0,07-27-2019,04:00:00,990.32,0.00,29.87,0.0,12.50,000,95,24.9,1007.17,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.0,07-27-2019,04:00:00,989.87,1.60,29.85,0.0,17.30,000,97,24.6,1007.42,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.9,07-27-2019,04:00:00,980.90,0.00,29.72,0.0,0.01,000,92,25.4,1006.79,10.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,23.1,07-27-2019,04:00:00,1001.82,0.00,28.21,3.7,0.00,270,81,26.6,1007.62,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,23.1,07-27-2019,04:00:00,1000.06,0.00,28.23,0.0,0.20,000,80,26.9,1006.25,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.5,07-27-2019,04:00:00,991.83,0.00,28.89,0.0,12.10,000,94,24.5,1008.43,8.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,20.5,07-27-2019,04:00:00,985.36,0.00,24.16,9.3,18.00,210,86,23.0,1007.99,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,20.7,07-27-2019,04:00:00,993.88,0.00,24.37,7.4,2.00,280,73,26.0,1008.33,6.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.8,07-27-2019,04:00:00,991.01,0.00,29.50,0.0,0.00,000,88,26.0,1007.45,7.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.8,07-27-2019,04:00:00,1002.80,0.00,31.30,0.0,0.01,000,93,26.1,1008.05,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,23.3,07-27-2019,04:00:00,993.34,0.00,28.62,0.0,28.00,000,95,24.2,1006.65,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,23.5,07-27-2019,04:00:00,998.58,0.70,29.00,3.7,1.60,040,92,25.0,1007.98,8.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.9,07-27-2019,04:00:00,986.05,1.50,29.69,0.0,4.30,000,95,24.8,1007.91,8.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,23.8,07-27-2019,04:00:00,988.16,0.00,29.50,0.0,0.10,000,88,26.0,1005.69,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,23.9,07-27-2019,04:00:00,990.07,0.00,29.70,0.0,27.10,000,93,25.1,1005.99,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.4,07-27-2019,04:00:00,987.72,0.00,30.60,0.0,0.00,000,95,25.3,1006.71,8.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.0,07-27-2019,04:00:00,958.53,0.00,26.41,0.0,6.20,000,96,22.6,1010.44,4.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.2,07-27-2019,04:00:00,1003.65,0.00,32.04,0.0,4.30,000,94,26.2,1007.62,6.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,18.2,07-27-2019,04:00:00,912.90,0.50,20.95,9.3,12.80,220,96,18.9,1008.97,3.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,23.3,07-27-2019,04:00:00,991.11,0.00,28.52,0.0,0.00,000,85,25.9,1007.16,6.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,27.0,07-27-2019,04:00:00,1003.51,0.00,35.56,0.0,0.00,000,99,27.1,1007.55,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,23.8,07-27-2019,04:00:00,998.46,0.00,29.50,0.0,6.40,000,88,26.0,1009.20,7.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,21.8,07-27-2019,04:00:00,1006.84,0.00,26.06,9.3,0.60,210,73,27.0,1008.77,9.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,22.5,07-27-2019,04:00:00,986.86,0.01,27.19,0.0,2.10,000,86,25.0,1007.87,8.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,22.9,07-27-2019,04:00:00,988.88,0.10,27.97,3.7,6.10,260,87,25.3,1006.63,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,23.1,07-27-2019,04:00:00,990.48,0.10,28.26,5.6,5.90,200,85,25.9,1006.69,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,23.4,07-27-2019,04:00:00,993.21,0.01,28.74,0.0,1.50,000,91,25.0,1007.34,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,23.2,07-27-2019,04:00:00,993.20,0.00,28.37,0.0,2.80,000,92,24.5,1008.17,8.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,24.2,07-27-2019,04:00:00,993.22,0.00,30.17,3.7,1.20,240,93,25.5,1007.97,6.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,22.4,07-27-2019,04:00:00,1005.55,0.01,27.04,0.0,0.01,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",73,27.7,1008.56,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,23.3,07-27-2019,04:00:00,999.59,0.00,28.64,0.0,11.90,000,92,24.8,1007.61,7.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,24.0,07-27-2019,04:00:00,1008.82,0.00,29.77,0.0,0.40,000,82,27.3,1009.93,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,23.9,07-27-2019,04:00:00,993.75,0.00,29.58,0.0,0.00,000,82,27.2,1008.44,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,18.2,07-27-2019,04:00:00,873.43,0.80,20.85,11.1,20.60,290,98,18.5,1009.12,3.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,23.4,07-27-2019,04:00:00,1002.47,0.00,28.85,0.0,0.20,000,88,25.5,1008.39,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,23.9,07-27-2019,04:00:00,1007.90,0.00,29.60,3.7,0.00,240,81,27.5,1008.70,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.4,07-27-2019,04:00:00,1007.67,0.00,32.53,9.3,0.40,210,90,27.3,1008.11,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,22.9,07-27-2019,04:00:00,998.84,3.50,27.83,0.0,8.40,000,96,23.6,1010.30,5.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,22.6,07-27-2019,04:00:00,1007.71,0.00,27.36,3.7,0.40,240,77,27.0,1008.72,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,23.2,07-27-2019,04:00:00,1006.58,0.10,28.39,0.0,0.70,000,81,26.7,1008.41,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,22.4,07-27-2019,04:00:00,1008.12,0.00,27.05,7.4,1.60,270,81,25.8,1008.89,7.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,23.3,07-27-2019,04:00:00,1007.50,0.00,28.65,5.6,0.00,310,76,28.0,1008.20,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.4,07-27-2019,04:00:00,1007.42,1.30,32.49,0.0,1.90,000,91,27.0,1008.12,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,24.7,07-27-2019,04:00:00,986.94,0.01,31.19,0.0,0.01,000,88,26.9,1008.12,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.0,07-27-2019,04:00:00,991.05,0.00,29.84,3.7,0.30,210,89,25.9,1007.84,6.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,23.8,07-27-2019,04:00:00,991.63,0.00,29.50,5.6,0.20,270,88,26.0,1008.13,6.00
