WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,VaporPressure,DewPoint,LandVisibility,Rainfall,WindDirection,MeanSeaLevelPressure,WindSpeed,Rainfall24Hr,StationPressure,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,26.2,07-27-2019,10:00:00,29.60,23.9,10.00,0.10,000,1008.87,0.0,7.40,977.92,87
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.0,07-27-2019,10:00:00,20.41,17.8,3.00,6.90,300,1007.21,20.4,25.00,845.52,99
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,25.0,07-27-2019,10:00:00,28.48,23.2,9.00,2.80,230,1007.09,3.7,13.30,963.38,90
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.5,07-27-2019,10:00:00,28.11,23.0,6.00,9.50,230,1008.94,11.1,21.40,963.17,91
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,25.8,07-27-2019,10:00:00,29.66,23.9,8.00,1.00,000,1009.55,0.0,6.40,971.83,89
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,24.3,07-27-2019,10:00:00,28.28,23.1,6.00,2.70,000,1004.96,0.0,13.80,959.78,93
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,27.0,07-27-2019,10:00:00,29.48,23.8,8.00,0.60,160,1009.49,7.4,4.30,982.78,83
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,25.4,07-27-2019,10:00:00,28.67,23.3,12.00,0.00,080,1009.89,7.4,1.70,988.00,88
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,27.0,07-27-2019,10:00:00,24.79,21.0,8.00,0.00,000,1009.97,0.0,1.70,985.86,70
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.8,07-27-2019,10:00:00,26.67,22.1,10.00,2.80,000,1010.29,0.0,12.40,975.41,91
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.6,07-27-2019,10:00:00,28.09,23.0,4.00,4.20,000,1010.48,0.0,12.00,982.61,96
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,24.0,07-27-2019,10:00:00,27.76,22.8,9.00,1.40,000,1009.88,0.0,12.70,975.99,93
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.5,07-27-2019,10:00:00,29.41,23.8,4.00,4.40,000,1010.00,0.0,15.10,991.32,96
48331,NAN,น่าน,น่าน,18.77972,100.77778,27.0,07-27-2019,10:00:00,31.11,24.7,10.00,0.20,000,1009.39,0.0,3.80,986.56,87
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,25.3,07-27-2019,10:00:00,29.28,23.7,8.00,2.20,200,1009.48,3.7,5.20,979.43,91
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.7,07-27-2019,10:00:00,28.01,23.0,4.00,2.00,000,1010.32,0.0,5.60,974.41,96
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,31.6,07-27-2019,10:00:00,26.51,22.0,15.00,0.00,260,1007.65,13.0,0.00,978.42,57
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.5,07-27-2019,10:00:00,28.59,23.3,6.00,1.40,000,1010.94,0.0,1.70,1003.57,88
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,30.6,07-27-2019,10:00:00,29.53,23.8,20.00,0.00,260,1008.06,14.8,0.00,988.39,67
48353,LOEI,เลย,เลย,17.45000,101.73333,30.6,07-27-2019,10:00:00,23.11,19.8,15.00,0.00,300,1008.56,13.0,0.00,980.24,53
