WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall,Rainfall24Hr,DewPoint,MeanSeaLevelPressure,LandVisibility,AirTemperature,VaporPressure,WindDirection,RelativeHumidity,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,976.94,07-27-2019,13:00:00,0.01,7.40,23.7,1007.52,12.00,29.5,29.33,000,71,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,844.46,07-27-2019,13:00:00,8.80,33.80,17.6,1006.06,3.00,17.8,20.15,270,99,11.1
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,963.36,07-27-2019,13:00:00,0.30,10.10,22.9,1006.63,12.00,28.0,27.85,210,74,7.4
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,961.71,07-27-2019,13:00:00,0.00,19.20,22.4,1006.97,6.00,27.4,27.03,270,74,14.8
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,970.67,07-27-2019,13:00:00,0.00,4.20,23.1,1008.13,8.00,27.5,28.26,000,77,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,962.21,07-27-2019,13:00:00,1.90,15.10,23.5,1007.40,7.00,25.0,29.00,140,92,13.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,981.81,07-27-2019,13:00:00,0.20,3.30,23.4,1008.35,10.00,28.5,28.78,200,74,14.8
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,986.94,07-27-2019,13:00:00,0.00,1.70,22.4,1008.71,10.00,26.7,27.08,030,77,3.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,984.77,07-27-2019,13:00:00,0.00,1.30,22.1,1008.77,8.00,28.0,26.54,000,70,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,974.42,07-27-2019,13:00:00,0.80,12.90,23.1,1009.13,8.00,24.9,28.30,140,90,5.6
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,981.76,07-27-2019,13:00:00,3.30,15.30,23.0,1009.52,4.00,24.5,28.11,000,91,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,975.38,07-27-2019,13:00:00,1.20,13.90,23.5,1009.13,9.00,25.0,29.00,000,92,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,990.52,07-27-2019,13:00:00,3.40,18.50,23.2,1009.18,4.00,24.7,28.47,000,92,0.0
