WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,Rainfall24Hr,WindDirection,AirTemperature,WindSpeed,StationPressure,VaporPressure,LandVisibility,MeanSeaLevelPressure,DewPoint,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1.30,07-27-2019,16:00:00,3.40,000,26.1,0.0,976.09,29.41,8.00,1006.99,23.8,87
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,3.80,07-27-2019,16:00:00,30.40,290,18.3,9.3,843.43,20.80,2.00,1004.55,18.1,99
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,07-27-2019,16:00:00,9.50,210,27.9,3.7,961.46,28.47,12.00,1004.65,23.2,76
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,07-27-2019,16:00:00,18.40,250,28.0,18.5,959.88,27.85,12.00,1004.95,22.9,74
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,07-27-2019,16:00:00,3.60,000,27.8,0.0,969.68,29.36,8.00,1007.06,23.7,79
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1.80,07-27-2019,16:00:00,16.70,170,26.5,7.4,961.23,26.47,8.00,1006.14,22.0,77
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,07-27-2019,16:00:00,2.70,180,28.0,5.6,979.92,29.19,12.00,1006.46,23.6,77
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.10,07-27-2019,16:00:00,1.80,130,27.8,3.7,985.33,27.75,10.00,1006.99,22.8,74
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,07-27-2019,16:00:00,0.80,000,27.0,0.0,982.98,28.67,8.00,1007.02,23.3,80
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.30,07-27-2019,16:00:00,13.20,150,25.0,3.7,972.57,29.00,8.00,1007.20,23.5,92
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,4.00,07-27-2019,16:00:00,16.70,000,24.8,0.0,979.90,28.38,8.00,1007.58,23.2,91
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1.10,07-27-2019,16:00:00,10.10,000,25.2,0.0,973.48,28.83,9.00,1007.14,23.4,90
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1.70,07-27-2019,16:00:00,19.80,000,24.9,0.0,988.51,29.34,6.00,1007.12,23.7,93
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,07-27-2019,16:00:00,4.00,220,28.0,5.6,983.67,27.85,10.00,1006.35,22.9,74
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,07-27-2019,16:00:00,5.80,210,27.0,5.6,976.51,28.14,10.00,1006.31,23.0,79
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,3.00,07-27-2019,16:00:00,11.60,000,24.2,0.0,971.67,28.88,4.00,1007.42,23.5,96
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-27-2019,16:00:00,0.00,270,33.0,13.0,974.66,27.28,17.00,1003.64,22.5,54
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.40,07-27-2019,16:00:00,3.50,000,26.0,0.0,1000.52,28.44,6.00,1007.86,23.2,85
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,07-27-2019,16:00:00,0.00,240,34.1,13.0,983.63,31.85,20.00,1002.98,25.1,60
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-27-2019,16:00:00,0.00,280,31.7,11.1,976.80,23.50,15.00,1004.92,20.1,50
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,07-27-2019,16:00:00,0.00,280,33.5,18.5,983.91,26.87,18.00,1003.58,22.3,52
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,07-27-2019,16:00:00,0.00,270,32.8,5.6,982.33,27.44,15.00,1003.56,22.6,55
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,07-27-2019,16:00:00,0.00,320,33.0,11.1,984.07,29.25,15.00,1003.09,23.7,58
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,07-27-2019,16:00:00,11.30,170,31.8,3.7,987.59,30.81,12.00,1004.01,24.5,66
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,07-27-2019,16:00:00,4.40,310,31.5,5.6,986.92,30.49,12.00,1004.01,24.4,66
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,07-27-2019,16:00:00,0.00,290,33.6,18.5,976.82,27.34,15.00,1001.90,22.6,53
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.20,07-27-2019,16:00:00,0.30,030,27.0,3.7,1000.71,31.66,10.00,1006.49,25.0,89
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.20,07-27-2019,16:00:00,0.70,000,27.0,0.0,1000.21,30.83,8.00,1006.40,24.5,87
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,07-27-2019,16:00:00,0.00,000,32.5,0.0,989.48,25.49,10.00,1005.60,21.4,52
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,07-27-2019,16:00:00,1.60,290,28.9,7.4,983.44,27.38,10.00,1005.58,22.6,69
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,07-27-2019,16:00:00,0.00,290,30.3,11.1,992.92,25.17,10.00,1007.15,21.2,58
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,07-27-2019,16:00:00,0.00,000,30.2,0.0,989.97,26.04,10.00,1006.16,21.8,61
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.01,07-27-2019,16:00:00,0.01,200,28.9,3.7,1001.27,30.37,10.00,1006.46,24.3,76
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,07-27-2019,16:00:00,0.30,000,31.8,0.0,991.52,28.82,12.00,1004.48,23.4,61
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.01,07-27-2019,16:00:00,0.90,000,30.0,0.0,997.01,28.37,12.00,1006.24,23.2,67
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,07-27-2019,16:00:00,4.30,280,33.4,5.6,982.90,28.07,10.00,1004.07,23.0,55
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,07-27-2019,16:00:00,0.00,220,33.5,11.1,987.45,28.84,12.00,1004.54,23.4,56
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,07-27-2019,16:00:00,1.20,000,33.0,0.0,987.68,27.84,12.00,1003.14,22.9,55
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,07-27-2019,16:00:00,0.00,020,34.0,1.9,984.93,27.58,10.00,1003.31,22.7,52
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,07-27-2019,16:00:00,3.80,000,27.8,0.0,955.32,25.15,11.00,1006.15,21.2,67
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.01,07-27-2019,16:00:00,5.00,320,29.0,7.4,1002.45,27.56,8.00,1006.38,22.7,69
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1.30,07-27-2019,16:00:00,2.80,280,23.0,5.6,912.62,23.21,6.00,1007.29,19.9,83
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,07-27-2019,16:00:00,0.00,260,34.0,9.3,988.01,27.86,10.00,1003.58,22.9,52
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,07-27-2019,16:00:00,0.00,020,31.5,5.6,1002.38,32.52,10.00,1006.35,25.4,70
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,07-27-2019,16:00:00,0.00,330,34.0,7.4,996.15,24.26,10.00,1006.57,20.6,46
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,07-27-2019,16:00:00,0.00,300,34.6,3.7,1003.99,24.31,13.00,1005.87,20.6,44
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,07-27-2019,16:00:00,0.01,250,33.4,14.8,984.09,19.54,10.00,1004.46,17.1,38
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,07-27-2019,16:00:00,0.10,220,27.9,11.1,986.58,27.93,10.00,1004.14,22.9,74
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,07-27-2019,16:00:00,0.10,230,29.0,9.3,988.18,27.03,10.00,1004.18,22.4,68
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,07-27-2019,16:00:00,0.01,290,32.6,5.6,990.71,29.30,10.00,1004.45,23.7,60
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,07-27-2019,16:00:00,0.00,000,32.5,0.0,990.17,29.66,12.00,1004.70,23.9,61
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,07-27-2019,16:00:00,0.50,310,34.0,11.1,989.59,29.87,10.00,1003.88,24.0,56
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,07-27-2019,16:00:00,0.01,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",35.0,0.0,1002.67,23.71,10.00,1005.61,20.2,42
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,07-27-2019,16:00:00,0.01,260,32.2,5.6,997.92,24.40,10.00,1005.72,20.7,51
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-27-2019,16:00:00,0.00,250,33.9,3.7,1005.64,25.98,8.00,1006.72,21.7,49
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,07-27-2019,16:00:00,0.00,000,33.5,0.0,989.25,30.28,8.00,1003.57,24.2,59
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,07-27-2019,16:00:00,17.60,280,23.1,7.4,871.48,19.71,5.00,1004.66,17.3,70
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-27-2019,16:00:00,0.00,300,33.8,18.5,999.77,22.82,10.00,1005.51,19.6,43
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,07-27-2019,16:00:00,0.00,300,34.5,5.6,1005.00,23.58,8.00,1005.79,20.1,43
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,07-27-2019,16:00:00,0.01,210,31.8,3.7,1005.66,29.39,10.00,1006.10,23.8,63
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,07-27-2019,16:00:00,4.30,000,30.0,0.0,996.41,28.91,10.00,1007.61,23.5,68
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-27-2019,16:00:00,0.00,000,36.0,0.0,1004.35,23.98,12.00,1005.33,20.4,40
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,07-27-2019,16:00:00,0.10,340,34.5,7.4,1003.73,24.39,10.00,1005.50,20.7,45
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,07-27-2019,16:00:00,0.00,230,35.0,7.4,1004.39,23.44,9.00,1005.14,20.0,42
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,07-27-2019,16:00:00,0.01,190,33.1,11.1,1005.15,28.32,9.00,1005.84,23.1,56
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,07-27-2019,16:00:00,1.30,270,33.4,7.4,1005.09,26.12,12.00,1005.78,21.8,51
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,07-27-2019,16:00:00,0.01,310,36.1,11.1,983.95,27.27,12.00,1004.43,22.5,46
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,7.20,07-27-2019,16:00:00,7.20,000,30.7,0.0,987.66,32.59,10.00,1004.13,25.5,74
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,8.90,07-27-2019,16:00:00,8.90,230,31.6,9.3,988.66,30.41,14.00,1004.81,24.3,65
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,07-27-2019,16:00:00,0.00,190,35.3,9.3,983.19,17.99,10.00,1004.41,15.8,31
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-27-2019,16:00:00,0.01,130,30.4,14.8,962.93,20.76,12.00,1005.64,18.1,48
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,07-27-2019,16:00:00,0.00,120,35.0,14.8,983.90,23.44,10.00,1003.87,20.0,42
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,07-27-2019,16:00:00,0.00,310,32.6,9.3,986.36,27.61,10.00,1006.79,22.7,56
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,07-27-2019,16:00:00,0.00,180,30.6,14.8,1005.67,30.66,10.00,1006.10,24.5,70
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,07-27-2019,16:00:00,14.80,240,33.0,5.6,1004.28,28.68,11.00,1005.67,23.3,57
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,07-27-2019,16:00:00,3.50,330,31.6,5.6,1001.07,25.43,10.00,1005.92,21.4,55
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,07-27-2019,16:00:00,0.20,320,34.5,14.8,1002.23,23.58,12.00,1005.44,20.1,43
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,07-27-2019,16:00:00,0.00,250,34.9,3.7,1005.37,24.61,10.00,1006.45,20.8,44
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,07-27-2019,16:00:00,0.01,220,33.1,9.3,1005.80,29.17,10.00,1006.10,23.6,58
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,07-27-2019,16:00:00,0.00,240,31.5,7.4,1005.61,27.13,10.00,1006.29,22.4,59
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,07-27-2019,16:00:00,0.00,270,33.5,3.7,1005.84,22.81,10.00,1006.32,19.6,44
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,07-27-2019,16:00:00,0.00,260,33.0,18.5,1004.53,23.22,10.00,1005.91,19.9,46
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,07-27-2019,16:00:00,0.00,180,30.2,9.3,1004.77,30.14,10.00,1006.43,24.2,70
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,07-27-2019,16:00:00,0.20,270,31.9,7.4,999.75,25.72,10.00,1007.63,21.6,54
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,07-27-2019,16:00:00,0.20,280,32.8,5.6,1005.97,29.42,12.00,1006.25,23.8,59
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-27-2019,16:00:00,0.00,000,31.0,0.0,1003.27,29.48,12.00,1006.36,23.8,66
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,07-27-2019,16:00:00,1.20,020,32.7,7.4,999.83,29.50,12.00,1006.64,23.8,60
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,07-27-2019,16:00:00,0.01,260,33.6,22.2,1000.44,24.05,7.00,1005.92,20.5,46
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,07-27-2019,16:00:00,0.00,000,34.0,0.0,998.11,30.46,12.00,1007.22,24.3,57
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,07-27-2019,16:00:00,0.01,240,33.2,3.7,1006.04,28.24,14.00,1007.27,23.1,56
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,07-27-2019,16:00:00,0.00,130,31.3,9.3,1005.75,30.65,11.00,1006.18,24.5,67
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,07-27-2019,16:00:00,0.00,300,32.3,7.4,994.50,22.23,10.00,1006.54,19.2,46
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,07-27-2019,16:00:00,0.00,090,31.1,7.4,1005.86,33.43,10.00,1006.56,25.9,74
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,07-27-2019,16:00:00,1.40,210,34.4,14.8,1005.24,29.54,10.00,1007.62,23.8,54
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,07-27-2019,16:00:00,0.00,260,31.0,5.6,1006.24,30.90,12.00,1006.75,24.6,69
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,07-27-2019,16:00:00,0.20,350,34.2,3.7,1001.20,26.85,15.00,1006.23,22.3,50
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,07-27-2019,16:00:00,13.90,000,31.1,0.0,1006.23,31.97,8.00,1006.64,25.2,71
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,07-27-2019,16:00:00,10.40,200,30.8,11.1,1004.00,33.98,8.00,1006.74,26.2,77
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,07-27-2019,16:00:00,0.00,250,35.5,11.1,1005.69,23.30,12.00,1006.45,20.0,40
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,07-27-2019,16:00:00,10.30,280,30.8,13.0,1006.40,32.51,10.00,1006.86,25.4,73
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,07-27-2019,16:00:00,0.00,280,31.5,7.4,1006.51,28.23,10.00,1007.19,23.1,61
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,07-27-2019,16:00:00,0.00,270,32.4,7.4,1005.65,29.46,10.00,1007.15,23.8,61
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,07-27-2019,16:00:00,10.30,230,32.1,9.3,1007.08,30.57,10.00,1007.98,24.4,64
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,07-27-2019,16:00:00,26.80,250,33.0,7.4,1006.39,33.66,10.00,1007.07,26.0,67
