WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,WindSpeed,Rainfall24Hr,AirTemperature,WindDirection,StationPressure,MeanSeaLevelPressure,LandVisibility,Rainfall,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,28.89,07-28-2019,01:00:00,23.5,0.0,4.70,24.5,000,976.96,1008.06,8.00,0.00,94
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.19,07-28-2019,01:00:00,16.9,18.5,29.70,17.2,270,843.86,1005.71,8.00,0.00,98
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,26.00,07-28-2019,01:00:00,21.7,0.0,6.60,23.4,000,963.50,1007.45,12.00,0.00,90
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,26.09,07-28-2019,01:00:00,21.8,0.0,15.20,23.0,000,961.85,1007.80,10.00,0.00,93
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,28.53,07-28-2019,01:00:00,23.3,0.0,3.60,24.0,000,970.18,1008.06,5.00,0.00,96
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.62,07-28-2019,01:00:00,20.2,0.0,14.90,22.5,000,961.93,1007.49,7.00,0.00,87
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,26.74,07-28-2019,01:00:00,22.2,0.0,2.50,22.8,000,981.68,1008.74,7.00,0.00,96
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,28.03,07-28-2019,01:00:00,23.0,0.0,1.80,24.6,000,986.18,1008.08,10.00,0.00,91
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,29.52,07-28-2019,01:00:00,23.8,0.0,0.60,25.0,000,984.05,1008.29,6.00,0.00,93
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,27.67,07-28-2019,01:00:00,22.8,0.0,16.40,23.8,000,973.30,1008.10,10.00,0.20,94
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,28.17,07-28-2019,01:00:00,23.0,0.0,17.40,23.5,000,981.46,1009.30,10.00,0.00,97
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,28.09,07-28-2019,01:00:00,23.0,0.0,11.20,23.6,000,974.27,1008.15,10.00,0.00,96
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,26.91,07-28-2019,01:00:00,22.3,0.0,15.70,22.9,000,989.11,1007.85,12.00,0.00,96
48331,NAN,น่าน,น่าน,18.77972,100.77778,26.74,07-28-2019,01:00:00,22.2,0.0,3.50,23.1,000,985.14,1008.24,10.00,0.00,95
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.44,07-28-2019,01:00:00,20.7,0.0,4.90,21.5,000,977.97,1008.37,8.00,0.00,95
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,28.69,07-28-2019,01:00:00,23.4,0.0,12.40,23.8,000,972.50,1008.33,4.00,0.00,97
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.39,07-28-2019,01:00:00,20.7,0.0,0.00,23.0,000,976.70,1006.73,10.00,0.00,87
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,27.76,07-28-2019,01:00:00,22.8,0.0,3.50,24.0,000,1000.85,1008.24,8.00,0.00,93
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,27.60,07-28-2019,01:00:00,22.7,5.6,0.00,26.7,270,986.32,1006.21,11.00,0.00,79
48353,LOEI,เลย,เลย,17.45000,101.73333,23.41,07-28-2019,01:00:00,20.0,0.0,0.00,24.5,000,978.31,1007.16,12.00,0.00,76
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,25.52,07-28-2019,01:00:00,21.4,0.0,0.00,25.5,000,986.13,1006.37,12.00,0.00,78
