WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,LandVisibility,WindDirection,StationPressure,Rainfall24Hr,Rainfall,RelativeHumidity,AirTemperature,VaporPressure,MinimumTemperature,DewPoint,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,07-28-2019,07:00:00,7.00,000,977.12,3.20,0.00,93,24.5,28.63,21.9,23.3,1008.22
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,11.1,07-28-2019,07:00:00,8.00,270,844.53,19.80,0.00,99,17.0,19.15,16.5,16.8,1006.62
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,3.7,07-28-2019,07:00:00,12.00,270,963.85,3.10,0.00,93,22.8,25.76,22.4,21.6,1007.91
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,07-28-2019,07:00:00,15.00,000,962.20,9.50,0.00,93,22.5,25.28,21.0,21.3,1008.24
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,07-28-2019,07:00:00,7.00,000,970.38,1.00,0.00,99,22.0,26.18,21.5,21.8,1008.53
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,07-28-2019,07:00:00,7.00,000,963.12,6.40,0.00,90,23.5,25.92,22.0,21.7,1008.58
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,07-28-2019,07:00:00,5.00,000,981.99,0.80,0.00,95,22.2,25.29,21.6,21.3,1009.12
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,5.6,07-28-2019,07:00:00,11.00,090,986.41,0.10,0.00,94,24.3,28.54,23.7,23.3,1008.34
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,07-28-2019,07:00:00,5.00,000,983.97,0.30,0.00,91,24.5,28.11,22.7,23.0,1008.24
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,07-28-2019,07:00:00,10.00,000,973.56,7.20,0.00,96,23.2,27.16,23.0,22.4,1008.44
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,07-28-2019,07:00:00,7.00,000,980.91,12.30,0.00,98,23.2,27.91,22.7,22.9,1008.76
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,07-28-2019,07:00:00,10.00,000,974.25,4.80,0.00,98,23.5,28.42,23.3,23.2,1008.14
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1.9,07-28-2019,07:00:00,10.00,090,989.62,9.60,0.00,96,23.5,27.66,22.6,22.8,1008.33
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,07-28-2019,07:00:00,10.00,000,985.60,0.40,0.00,94,23.0,26.33,22.1,21.9,1008.72
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,07-28-2019,07:00:00,6.00,000,978.53,3.30,0.00,95,21.5,24.44,20.9,20.7,1008.95
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,07-28-2019,07:00:00,4.00,000,972.46,9.20,0.00,98,23.2,27.91,23.2,22.9,1008.35
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,07-28-2019,07:00:00,12.00,000,977.68,0.00,0.00,95,22.0,25.21,21.5,21.2,1007.85
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,07-28-2019,07:00:00,8.00,000,1000.97,3.20,0.00,94,23.2,26.66,23.0,22.1,1008.38
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.0,07-28-2019,07:00:00,12.00,000,986.62,0.00,0.00,77,26.5,26.73,25.2,22.2,1006.52
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,07-28-2019,07:00:00,13.00,000,979.14,0.00,0.00,88,22.3,23.78,21.8,20.3,1008.24
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,5.6,07-28-2019,07:00:00,15.00,250,986.85,0.00,0.00,83,24.6,25.51,23.8,21.4,1007.16
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,3.7,07-28-2019,07:00:00,15.00,250,985.77,0.00,0.00,80,26.0,26.88,25.5,22.3,1007.56
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,3.7,07-28-2019,07:00:00,15.00,300,987.24,0.00,0.00,77,26.6,26.65,25.6,22.1,1006.73
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,07-28-2019,07:00:00,10.00,000,991.01,0.10,0.00,91,26.5,31.52,25.4,24.9,1007.79
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,07-28-2019,07:00:00,10.00,000,990.10,0.00,0.00,94,26.2,32.04,24.7,25.2,1007.55
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,07-28-2019,07:00:00,10.00,000,980.78,0.00,0.00,92,23.2,26.17,22.7,21.8,1006.86
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.0,07-28-2019,07:00:00,10.00,000,1002.85,0.30,0.00,98,24.0,29.30,21.6,23.7,1008.70
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,07-28-2019,07:00:00,8.00,000,1002.18,0.50,0.00,98,24.0,29.30,23.6,23.7,1008.44
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,07-28-2019,07:00:00,10.00,000,992.43,0.00,0.00,91,24.0,27.25,22.5,22.5,1009.06
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,07-28-2019,07:00:00,10.00,000,984.40,1.60,0.00,92,25.0,29.00,24.0,23.5,1006.86
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.0,07-28-2019,07:00:00,8.00,000,994.45,0.00,0.00,85,25.7,28.16,25.4,23.0,1008.93
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,07-28-2019,07:00:00,8.00,000,991.76,0.00,0.00,85,26.0,28.70,25.5,23.4,1008.22
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.0,07-28-2019,07:00:00,10.00,000,1003.11,0.01,0.00,97,25.0,30.85,24.3,24.6,1008.38
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,07-28-2019,07:00:00,10.00,000,994.21,0.30,0.00,94,24.3,28.54,23.7,23.3,1007.53
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.0,07-28-2019,07:00:00,11.00,000,998.90,0.01,0.00,94,25.0,29.79,24.6,24.0,1008.30
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,3.7,07-28-2019,07:00:00,9.00,210,985.71,0.00,0.00,81,25.9,26.97,24.1,22.3,1007.48
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,07-28-2019,07:00:00,12.00,000,989.92,0.00,0.00,84,26.5,29.08,25.5,23.6,1007.45
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,7.4,07-28-2019,07:00:00,10.00,210,991.13,0.00,0.00,92,26.5,31.79,26.4,25.1,1006.99
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1.9,07-28-2019,07:00:00,10.00,180,987.62,0.00,0.00,88,25.5,28.85,24.0,23.4,1006.59
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,07-28-2019,07:00:00,7.00,000,958.50,3.80,0.00,94,22.2,25.05,21.5,21.1,1010.48
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,3.7,07-28-2019,07:00:00,4.00,320,1004.16,2.20,0.00,96,25.7,31.63,25.1,25.0,1008.14
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.0,07-28-2019,07:00:00,8.00,000,913.30,1.70,0.00,95,20.5,22.95,19.9,19.7,1008.88
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,07-28-2019,07:00:00,8.00,000,991.11,3.80,0.00,93,26.0,31.11,25.5,24.7,1007.15
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,07-28-2019,07:00:00,9.00,000,1004.38,0.00,0.00,97,25.5,31.79,25.0,25.1,1008.44
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,07-28-2019,07:00:00,9.00,000,998.83,0.00,0.00,85,25.7,27.90,24.3,22.9,1009.58
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.0,07-28-2019,07:00:00,8.00,000,1006.71,0.00,0.00,86,26.5,29.62,26.1,23.9,1008.64
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.0,07-28-2019,07:00:00,10.00,000,987.19,0.00,0.00,81,25.3,26.19,25.0,21.9,1008.19
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.0,07-28-2019,07:00:00,10.00,000,989.38,0.00,0.00,77,26.5,26.47,25.3,22.0,1007.07
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.0,07-28-2019,07:00:00,10.00,000,990.96,0.00,0.00,77,26.8,27.00,26.4,22.4,1007.13
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.0,07-28-2019,07:00:00,10.00,000,993.95,2.30,0.00,89,25.7,29.21,25.0,23.7,1008.06
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,07-28-2019,07:00:00,8.00,000,993.61,0.80,0.40,92,25.0,29.26,24.2,23.7,1008.56
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.0,07-28-2019,07:00:00,7.00,000,994.17,0.50,0.00,82,26.0,27.40,24.5,22.6,1008.92
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,07-28-2019,07:00:00,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1004.75,0.00,0.00,86,26.8,30.45,25.7,24.3,1007.77
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,07-28-2019,07:00:00,10.00,000,1000.42,0.00,0.00,91,25.6,29.82,24.7,24.0,1008.42
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,3.7,07-28-2019,07:00:00,8.00,220,1006.63,0.00,0.00,84,27.1,29.93,26.0,24.1,1007.74
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,07-28-2019,07:00:00,8.00,000,993.86,0.00,0.00,88,26.0,29.50,25.2,23.8,1008.62
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,7.4,07-28-2019,07:00:00,4.00,290,873.94,0.00,0.00,97,19.1,21.43,18.8,18.6,1009.42
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,07-28-2019,07:00:00,8.00,000,1002.79,0.00,0.00,91,25.8,30.19,24.5,24.2,1008.70
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,5.6,07-28-2019,07:00:00,9.00,280,1007.72,0.00,0.00,80,28.4,31.06,28.0,24.7,1008.52
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,9.3,07-28-2019,07:00:00,10.00,210,1008.15,0.00,0.00,81,28.0,30.56,28.0,24.4,1008.59
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,07-28-2019,07:00:00,5.00,000,997.52,0.00,0.00,96,24.5,29.41,23.8,23.8,1008.93
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,3.7,07-28-2019,07:00:00,7.00,140,1006.66,0.00,0.00,78,27.5,28.53,27.2,23.3,1008.48
