WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,RelativeHumidity,AirTemperature,DewPoint,WindDirection,Rainfall,LandVisibility,WindSpeed,MeanSeaLevelPressure,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,978.14,07-28-2019,10:00:00,3.10,79,27.8,23.9,000,0.00,10.00,0.0,1008.94,29.63
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,845.66,07-28-2019,10:00:00,12.90,83,20.3,17.4,290,0.00,8.00,13.0,1006.03,19.81
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,964.73,07-28-2019,10:00:00,0.30,71,28.0,22.2,150,0.00,15.00,11.1,1008.05,26.80
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,962.87,07-28-2019,10:00:00,0.00,77,27.5,23.1,000,0.00,15.00,0.0,1008.16,28.26
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,971.67,07-28-2019,10:00:00,0.00,82,26.2,23.0,000,0.00,8.00,0.0,1009.33,28.01
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,963.85,07-28-2019,10:00:00,3.70,74,28.0,22.9,200,0.00,10.00,7.4,1008.65,27.85
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,983.08,07-28-2019,10:00:00,0.20,78,26.4,22.2,000,0.00,10.00,0.0,1009.85,26.81
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,987.06,07-28-2019,10:00:00,0.10,59,30.5,21.6,240,0.00,13.00,16.7,1008.55,25.80
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,985.46,07-28-2019,10:00:00,0.30,71,28.5,22.6,000,0.00,8.00,0.0,1009.44,27.44
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,974.56,07-28-2019,10:00:00,4.40,76,27.5,22.9,000,0.00,10.00,0.0,1008.97,28.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,981.98,07-28-2019,10:00:00,8.10,75,28.5,23.7,000,0.00,10.00,0.0,1009.38,29.33
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,975.23,07-28-2019,10:00:00,3.40,77,28.2,23.7,000,0.00,12.00,0.0,1008.62,29.30
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,990.61,07-28-2019,10:00:00,5.20,81,28.5,24.9,240,0.00,10.00,1.9,1009.02,31.54
48331,NAN,น่าน,น่าน,18.77972,100.77778,986.51,07-28-2019,10:00:00,0.20,75,27.5,22.6,000,0.00,10.00,0.0,1009.30,27.47
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,979.46,07-28-2019,10:00:00,1.10,85,25.6,22.9,150,0.00,10.00,7.4,1009.49,27.99
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,973.55,07-28-2019,10:00:00,7.20,77,28.0,23.6,000,0.00,7.00,0.0,1008.90,29.19
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,978.19,07-28-2019,10:00:00,0.00,63,30.2,22.4,120,0.00,14.00,9.3,1007.55,27.12
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1001.50,07-28-2019,10:00:00,1.80,70,29.0,23.0,000,0.00,10.00,0.0,1008.77,28.10
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,987.74,07-28-2019,10:00:00,0.00,66,31.0,23.8,200,0.00,15.00,5.6,1007.37,29.48
48353,LOEI,เลย,เลย,17.45000,101.73333,979.42,07-28-2019,10:00:00,0.00,55,30.5,20.4,160,0.00,15.00,5.6,1007.73,23.96
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,987.91,07-28-2019,10:00:00,0.00,58,30.9,21.7,240,0.00,15.00,11.1,1007.82,26.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,986.79,07-28-2019,10:00:00,0.00,59,32.0,23.0,240,0.00,15.00,7.4,1008.17,28.10
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,987.88,07-28-2019,10:00:00,0.00,56,31.5,21.6,320,0.00,18.00,7.4,1007.07,25.78
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,991.49,07-28-2019,10:00:00,0.01,65,30.5,23.1,000,0.00,12.00,0.0,1008.05,28.23
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,990.95,07-28-2019,10:00:00,0.00,68,30.5,24.0,310,0.00,12.00,5.6,1008.17,29.89
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,981.60,07-28-2019,10:00:00,0.00,60,30.0,21.4,260,0.00,13.00,7.4,1007.11,25.42
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1003.51,07-28-2019,10:00:00,0.30,80,28.2,24.3,000,0.00,10.00,0.0,1009.28,30.40
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1002.86,07-28-2019,10:00:00,0.50,67,30.7,23.9,000,0.00,12.00,0.0,1008.99,29.73
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,993.82,07-28-2019,10:00:00,0.00,68,29.0,22.4,000,0.00,10.00,0.0,1010.19,27.03
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,985.86,07-28-2019,10:00:00,0.00,74,28.0,22.9,000,0.00,10.00,0.0,1008.12,27.85
48376,TAK,ตาก,ตาก,16.87833,99.14333,994.80,07-28-2019,10:00:00,0.00,63,30.7,22.8,240,0.00,9.00,3.7,1009.04,27.79
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,992.48,07-28-2019,10:00:00,0.00,63,31.5,23.6,000,0.00,12.00,0.0,1008.65,29.07
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1003.99,07-28-2019,10:00:00,0.01,67,30.6,23.8,080,0.00,10.00,7.4,1009.16,29.53
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,994.60,07-28-2019,10:00:00,0.00,65,30.4,23.0,000,0.00,12.00,0.0,1007.65,28.04
