WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,VaporPressure,Rainfall24Hr,WindSpeed,StationPressure,MeanSeaLevelPressure,WindDirection,DewPoint,LandVisibility,AirTemperature,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,07-28-2019,16:00:00,30.57,1.80,0.0,973.92,1004.08,000,24.4,15.00,32.8,61
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,07-28-2019,16:00:00,24.53,0.30,3.7,843.31,1000.94,100,20.8,8.00,24.3,81
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,07-28-2019,16:00:00,26.42,0.00,3.7,960.44,1002.90,150,22.0,15.00,32.7,53
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,07-28-2019,16:00:00,28.25,0.00,0.0,958.79,1003.15,000,23.1,15.00,32.5,58
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,07-28-2019,16:00:00,27.27,0.00,0.0,967.53,1004.30,000,22.5,10.00,32.0,57
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,07-28-2019,16:00:00,28.36,0.00,3.7,959.43,1003.33,240,23.2,12.00,32.7,57
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,07-28-2019,16:00:00,29.41,0.00,5.6,978.31,1004.33,180,23.8,12.00,33.5,57
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,07-28-2019,16:00:00,28.44,0.00,11.1,982.45,1003.65,120,23.2,16.00,33.3,56
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.20,07-28-2019,16:00:00,28.91,0.50,0.0,981.98,1005.76,000,23.5,10.00,30.0,68
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,07-28-2019,16:00:00,27.74,3.30,0.0,969.85,1003.38,000,22.8,10.00,33.8,53
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,07-28-2019,16:00:00,29.71,0.80,0.0,977.05,1003.80,000,23.9,10.00,34.2,55
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,07-28-2019,16:00:00,25.87,1.10,0.0,970.70,1003.33,000,21.7,12.00,33.7,49
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,07-28-2019,16:00:00,27.82,0.10,1.9,985.60,1003.62,060,22.8,12.00,33.7,53
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,07-28-2019,16:00:00,28.64,0.00,1.9,981.56,1003.80,120,23.3,10.00,33.4,56
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,07-28-2019,16:00:00,29.18,0.00,0.0,974.86,1004.07,000,23.6,12.00,32.4,60
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,07-28-2019,16:00:00,30.03,0.80,9.3,969.11,1003.79,070,24.1,7.00,32.4,62
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-28-2019,16:00:00,30.54,0.00,0.0,973.09,1001.94,000,24.4,16.00,33.9,58
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,07-28-2019,16:00:00,28.18,0.00,0.0,996.62,1003.71,000,23.1,10.00,35.0,50
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,07-28-2019,16:00:00,31.19,0.00,5.6,983.20,1002.42,210,24.7,18.00,36.0,52
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-28-2019,16:00:00,24.80,0.00,5.6,974.47,1002.22,360,21.0,17.00,35.0,44
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,07-28-2019,16:00:00,25.62,0.00,7.4,983.38,1002.90,240,21.5,15.00,35.7,44
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,07-28-2019,16:00:00,29.92,0.00,3.7,982.26,1003.33,300,24.1,15.00,35.0,53
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,07-28-2019,16:00:00,29.66,0.00,3.7,983.52,1002.48,140,23.9,15.00,33.9,56
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,07-28-2019,16:00:00,28.68,0.01,1.9,986.77,1003.08,270,23.3,12.00,33.7,55
