WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindDirection,Rainfall24Hr,RelativeHumidity,WindSpeed,AirTemperature,MeanSeaLevelPressure,VaporPressure,Rainfall,StationPressure,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,22.8,07-28-2019,22:00:00,000,0.00,80,0.0,26.5,1008.45,27.77,0.00,977.54,12.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.8,07-28-2019,22:00:00,270,0.20,89,13.0,20.7,1005.23,21.67,0.20,845.18,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.2,07-28-2019,22:00:00,240,0.00,78,3.7,28.5,1006.20,30.15,0.00,963.02,15.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.9,07-28-2019,22:00:00,000,0.00,86,0.0,27.5,1006.63,31.52,0.00,961.41,12.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.1,07-28-2019,22:00:00,000,0.00,84,0.0,26.0,1007.29,28.18,0.00,969.68,7.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,24.4,07-28-2019,22:00:00,190,0.00,80,7.4,28.1,1007.08,30.48,0.00,962.36,9.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.5,07-28-2019,22:00:00,000,0.00,88,0.0,27.6,1007.02,32.56,0.00,980.43,8.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.8,07-28-2019,22:00:00,120,6.80,97,3.7,25.4,1008.23,31.33,0.00,986.38,15.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.3,07-28-2019,22:00:00,000,3.80,96,0.0,25.0,1009.83,30.32,0.00,985.56,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.3,07-28-2019,22:00:00,210,0.20,76,3.7,27.8,1007.42,28.55,0.00,973.10,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.4,07-28-2019,22:00:00,000,0.00,85,0.0,27.1,1008.28,30.48,0.00,980.79,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,23.9,07-28-2019,22:00:00,000,0.00,81,0.0,27.5,1007.41,29.60,0.00,973.99,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.3,07-28-2019,22:00:00,240,0.00,79,7.4,28.3,1007.08,30.31,0.00,988.68,10.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.5,07-28-2019,22:00:00,000,0.00,75,0.0,28.3,1006.72,28.95,0.00,984.05,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.0,07-28-2019,22:00:00,000,0.00,92,0.0,25.5,1007.21,29.91,0.00,977.24,10.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.7,07-28-2019,22:00:00,000,1.20,95,0.0,25.6,1008.06,31.17,1.20,972.46,5.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,23.2,07-28-2019,22:00:00,140,0.00,71,7.4,29.0,1006.26,28.37,0.00,976.83,12.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.2,07-28-2019,22:00:00,000,0.01,78,0.0,29.5,1006.99,32.13,0.01,999.74,9.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.1,07-28-2019,22:00:00,000,0.00,73,0.0,30.5,1005.78,31.88,0.00,986.15,12.00
48353,LOEI,เลย,เลย,17.45000,101.73333,23.3,07-28-2019,22:00:00,090,1.70,76,7.4,28.0,1006.89,28.65,1.70,978.37,12.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.2,07-28-2019,22:00:00,020,0.00,73,1.9,29.5,1006.48,30.16,0.00,986.50,15.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,25.1,07-28-2019,22:00:00,000,0.00,85,0.0,28.0,1007.22,31.95,0.00,985.57,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,25.4,07-28-2019,22:00:00,000,0.00,79,0.0,29.5,1006.18,32.42,0.00,986.88,12.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.2,07-28-2019,22:00:00,000,0.01,77,0.0,29.6,1006.82,32.05,0.00,990.23,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,26.3,07-28-2019,22:00:00,000,0.00,91,0.0,28.0,1007.10,34.23,0.00,989.76,12.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,22.9,07-28-2019,22:00:00,000,0.00,68,0.0,29.5,1005.66,27.96,0.00,980.14,10.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,23.3,07-28-2019,22:00:00,000,0.00,76,0.0,28.0,1006.84,28.65,0.00,1001.07,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,24.7,07-28-2019,22:00:00,000,0.00,78,0.0,29.0,1006.59,31.13,0.00,1000.44,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,25.1,07-28-2019,22:00:00,000,0.00,85,0.0,28.0,1007.96,31.95,0.00,991.57,8.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.1,07-28-2019,22:00:00,000,0.00,84,0.0,26.0,1008.44,28.18,0.00,986.02,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,21.7,07-28-2019,22:00:00,260,1.00,69,16.7,28.0,1008.98,26.02,0.00,994.61,8.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,22.5,07-28-2019,22:00:00,000,0.00,65,0.0,29.8,1007.95,27.17,0.00,991.70,10.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,23.9,07-28-2019,22:00:00,000,0.00,73,0.0,29.2,1007.74,29.57,0.00,1002.55,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,25.7,07-28-2019,22:00:00,000,0.00,85,0.0,28.4,1005.89,33.04,0.00,992.77,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,22.8,07-28-2019,22:00:00,000,0.00,71,0.0,28.7,1007.60,27.81,0.00,998.33,11.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.3,07-28-2019,22:00:00,170,0.00,64,5.6,31.0,1006.63,28.65,0.00,985.24,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.7,07-28-2019,22:00:00,000,1.30,78,0.0,29.0,1007.19,31.13,1.30,989.80,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.7,07-28-2019,22:00:00,000,0.40,77,0.0,29.1,1006.44,31.05,0.00,990.72,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.5,07-28-2019,22:00:00,170,0.00,70,5.6,30.5,1005.42,30.74,0.00,986.79,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.4,07-28-2019,22:00:00,000,0.00,91,0.0,24.0,1011.07,27.00,0.00,959.36,7.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.0,07-28-2019,22:00:00,180,0.00,84,3.7,29.0,1007.20,33.70,0.00,1003.27,8.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.0,07-28-2019,22:00:00,210,0.00,93,5.6,21.1,1010.26,23.37,0.00,914.74,6.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.1,07-28-2019,22:00:00,000,0.00,78,0.0,29.4,1006.80,31.93,0.00,990.94,6.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,27.2,07-28-2019,22:00:00,000,1.70,95,0.0,28.0,1008.02,35.99,1.70,1004.00,8.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,23.1,07-28-2019,22:00:00,280,0.00,73,11.1,28.5,1009.08,28.24,0.00,998.43,8.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,23.1,07-28-2019,22:00:00,000,0.00,77,0.0,27.5,1008.59,28.26,0.00,1006.67,9.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,22.1,07-28-2019,22:00:00,220,0.00,59,3.7,31.1,1007.33,26.65,0.00,986.75,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,25.0,07-28-2019,22:00:00,160,0.00,75,11.1,30.0,1006.70,31.72,0.00,989.22,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.0,07-28-2019,22:00:00,160,0.00,68,7.4,30.5,1006.48,29.89,0.00,990.52,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,22.7,07-28-2019,22:00:00,180,0.00,79,9.3,26.5,1008.23,27.51,0.00,994.15,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,22.6,07-28-2019,22:00:00,170,2.00,82,9.3,26.0,1009.06,27.40,0.00,994.15,8.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,23.7,07-28-2019,22:00:00,170,0.00,85,5.6,26.5,1009.28,29.35,0.00,994.55,7.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,25.5,07-28-2019,22:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",8.90,93,0.0,26.8,1007.81,32.66,0.50,1004.78,8.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.9,07-28-2019,22:00:00,000,0.00,75,0.0,29.7,1007.21,31.40,0.00,999.33,8.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,24.0,07-28-2019,22:00:00,200,0.00,68,9.3,30.5,1008.23,29.89,0.00,1007.13,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,22.6,07-28-2019,22:00:00,000,0.00,71,0.0,28.5,1007.92,27.44,0.00,993.29,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,20.1,07-28-2019,22:00:00,190,0.00,97,7.4,20.6,1009.02,23.55,0.00,874.22,4.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.1,07-28-2019,22:00:00,000,0.00,75,0.0,29.0,1008.01,30.01,0.00,1002.16,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,24.4,07-28-2019,22:00:00,230,0.00,68,7.4,31.0,1008.36,30.61,0.00,1007.57,9.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.8,07-28-2019,22:00:00,210,0.00,78,22.2,30.0,1008.79,33.17,0.00,1008.34,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.6,07-28-2019,22:00:00,000,0.00,82,0.0,27.0,1010.13,29.21,0.00,998.79,5.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,23.2,07-28-2019,22:00:00,260,0.00,65,3.7,30.5,1008.57,28.50,0.00,1007.57,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,23.9,07-28-2019,22:00:00,210,0.00,66,3.7,30.9,1008.06,29.56,0.00,1006.26,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,21.8,07-28-2019,22:00:00,000,0.00,63,0.0,29.5,1008.64,26.09,0.00,1007.88,7.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.6,07-28-2019,22:00:00,210,7.20,79,13.0,28.6,1008.88,30.90,0.00,1008.18,10.00
