WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,WindSpeed,VaporPressure,RelativeHumidity,MeanSeaLevelPressure,WindDirection,LandVisibility,Rainfall,MaximumTemperature,DewPoint,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,974.53,07-29-2019,19:00:00,0.00,5.6,28.09,66,1004.99,190,12.00,0.00,33.9,23.0,30.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,843.05,07-29-2019,19:00:00,0.20,14.8,20.49,79,1002.18,290,10.00,0.00,25.5,17.9,21.6
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,959.69,07-29-2019,19:00:00,0.00,1.9,28.54,61,1002.25,360,12.00,0.00,35.0,23.3,31.8
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,957.73,07-29-2019,19:00:00,0.01,0.0,30.67,73,1002.42,000,15.00,0.00,34.1,24.5,29.9
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,966.70,07-29-2019,19:00:00,0.00,0.0,32.83,79,1003.73,000,12.00,0.00,33.0,25.6,29.7
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,958.93,07-29-2019,19:00:00,0.00,9.3,29.07,63,1002.98,160,10.00,0.00,34.0,23.6,31.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,976.77,07-29-2019,19:00:00,0.00,0.0,33.06,73,1002.95,000,12.00,0.00,33.4,25.7,31.2
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,983.52,07-29-2019,19:00:00,0.00,1.9,27.44,65,1004.98,250,13.00,0.00,36.2,22.6,29.8
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,983.77,07-29-2019,19:00:00,5.60,0.0,31.00,93,1007.93,000,6.00,0.00,31.0,24.6,25.8
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,969.32,07-29-2019,19:00:00,0.01,3.7,27.41,56,1002.98,230,10.00,0.01,34.4,22.6,32.5
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,976.67,07-29-2019,19:00:00,0.00,0.0,30.77,67,1003.64,000,10.00,0.00,35.8,24.5,31.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,970.49,07-29-2019,19:00:00,0.00,11.1,25.49,52,1003.24,250,10.00,0.00,35.5,21.4,32.5
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,985.18,07-29-2019,19:00:00,0.00,7.4,27.66,58,1003.27,270,12.00,0.00,35.8,22.7,32.2
48331,NAN,น่าน,น่าน,18.77972,100.77778,980.95,07-29-2019,19:00:00,0.00,0.0,33.02,71,1003.30,000,10.00,0.00,36.0,25.7,31.6
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,973.45,07-29-2019,19:00:00,0.00,0.0,28.91,68,1002.85,000,10.00,0.00,34.0,23.5,30.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,968.48,07-29-2019,19:00:00,1.20,0.0,29.81,68,1003.35,000,8.00,0.00,35.0,24.0,30.6
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,973.69,07-29-2019,19:00:00,0.00,0.0,29.48,66,1002.83,000,15.00,0.00,37.0,23.8,31.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,996.81,07-29-2019,19:00:00,0.01,18.5,27.52,59,1003.98,240,11.00,0.00,36.8,22.7,31.7
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,984.63,07-29-2019,19:00:00,0.00,11.1,31.85,77,1004.30,050,14.00,0.00,36.2,25.1,29.5
48353,LOEI,เลย,เลย,17.45000,101.73333,974.74,07-29-2019,19:00:00,1.70,3.7,23.97,49,1002.73,280,15.00,0.00,36.0,20.4,32.4
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,983.73,07-29-2019,19:00:00,4.00,0.0,30.57,91,1003.89,000,12.00,4.00,36.0,24.4,26.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,982.27,07-29-2019,19:00:00,1.50,0.0,30.39,84,1003.90,000,12.00,0.00,33.2,24.3,27.2
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,984.35,07-29-2019,19:00:00,0.90,7.4,30.02,84,1003.76,160,13.00,0.00,33.5,24.1,27.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,988.25,07-29-2019,19:00:00,0.00,0.0,29.52,80,1004.92,000,12.00,0.00,32.9,23.8,27.6
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,987.29,07-29-2019,19:00:00,1.50,0.0,30.84,92,1004.70,000,10.00,1.50,33.0,24.6,26.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,977.57,07-29-2019,19:00:00,27.40,0.0,31.79,92,1003.28,000,12.00,12.60,36.0,25.1,26.5
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,998.80,07-29-2019,19:00:00,0.70,5.6,32.61,90,1004.57,190,10.00,0.70,36.2,25.5,27.2
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,998.89,07-29-2019,19:00:00,1.50,5.6,31.71,91,1005.07,270,7.00,1.50,35.9,25.0,26.6
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,988.21,07-29-2019,19:00:00,0.00,0.0,28.92,64,1004.39,000,10.00,0.00,36.0,23.5,31.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,984.73,07-29-2019,19:00:00,0.30,3.7,27.70,88,1007.19,210,10.00,0.00,30.8,22.8,25.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,992.34,07-29-2019,19:00:00,0.00,18.5,27.11,68,1006.63,260,10.00,0.00,34.5,22.4,28.9
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,989.33,07-29-2019,19:00:00,0.00,13.0,27.96,68,1005.55,120,7.00,0.00,33.8,22.9,29.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1000.77,07-29-2019,19:00:00,0.40,13.0,32.42,82,1005.96,240,6.00,0.40,35.4,25.4,28.8
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,989.99,07-29-2019,19:00:00,0.00,0.0,29.15,63,1002.95,000,12.00,0.00,36.5,23.6,31.4
