WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,AirTemperature,RelativeHumidity,DewPoint,Rainfall,WindDirection,LandVisibility,Rainfall24Hr,MeanSeaLevelPressure,VaporPressure,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,976.35,07-30-2019,04:00:00,25.8,84,22.8,0.00,000,8.00,0.30,1007.30,27.82,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,843.50,07-30-2019,04:00:00,18.5,98,18.2,3.00,290,7.00,9.50,1004.52,20.85,25.9
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,960.90,07-30-2019,04:00:00,27.0,77,22.6,0.00,000,12.00,0.00,1004.20,27.36,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,959.01,07-30-2019,04:00:00,25.2,90,23.4,0.00,000,12.00,0.01,1004.48,28.83,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,967.74,07-30-2019,04:00:00,24.3,99,24.1,1.20,000,6.00,6.80,1005.49,30.10,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,959.92,07-30-2019,04:00:00,26.7,79,22.7,0.00,160,7.00,0.00,1004.74,27.60,5.6
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,979.22,07-30-2019,04:00:00,24.5,96,23.8,2.00,000,6.00,35.90,1006.06,29.41,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,984.41,07-30-2019,04:00:00,26.4,74,21.3,0.00,190,12.00,0.00,1006.14,25.29,3.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,984.37,07-30-2019,04:00:00,24.1,95,23.2,0.00,000,6.00,13.60,1008.68,28.44,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,972.47,07-30-2019,04:00:00,27.0,77,22.6,0.00,000,10.00,0.01,1006.86,27.36,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,980.14,07-30-2019,04:00:00,26.7,79,22.7,0.00,000,10.00,0.00,1007.64,27.60,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,972.65,07-30-2019,04:00:00,27.4,81,23.9,0.00,000,10.00,0.00,1006.04,29.69,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,986.78,07-30-2019,04:00:00,26.5,85,23.7,0.00,000,10.00,0.00,1005.25,29.35,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,982.37,07-30-2019,04:00:00,26.0,93,24.7,2.60,000,6.00,2.60,1005.18,31.11,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,975.35,07-30-2019,04:00:00,26.0,92,24.6,0.00,000,6.00,0.00,1005.21,30.84,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,969.84,07-30-2019,04:00:00,28.0,77,23.6,0.00,000,7.00,0.00,1005.06,29.19,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,974.83,07-30-2019,04:00:00,26.4,89,24.4,0.00,000,10.00,0.00,1004.46,30.51,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,998.59,07-30-2019,04:00:00,27.0,80,23.3,0.00,000,8.00,0.01,1005.89,28.67,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,985.99,07-30-2019,04:00:00,25.8,93,24.6,4.30,070,5.00,6.00,1005.93,31.00,3.7
48353,LOEI,เลย,เลย,17.45000,101.73333,976.55,07-30-2019,04:00:00,27.4,78,23.2,0.00,000,13.00,0.00,1005.07,28.35,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,985.37,07-30-2019,04:00:00,25.2,95,24.3,1.00,000,10.00,9.30,1005.62,30.42,0.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,983.83,07-30-2019,04:00:00,24.0,91,22.5,22.20,000,5.00,23.30,1005.73,27.25,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,985.83,07-30-2019,04:00:00,23.8,97,23.4,9.20,180,7.00,10.20,1005.48,28.69,5.6
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,989.33,07-30-2019,04:00:00,23.6,95,22.7,0.40,000,10.00,7.40,1006.24,27.58,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,988.94,07-30-2019,04:00:00,23.0,96,22.2,0.20,000,10.00,12.10,1006.57,26.83,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,978.32,07-30-2019,04:00:00,25.0,96,24.3,0.00,000,10.00,26.80,1004.17,30.32,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,999.96,07-30-2019,04:00:00,26.9,77,22.6,0.00,260,10.00,0.80,1005.74,27.44,5.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,999.54,07-30-2019,04:00:00,26.2,82,23.0,0.00,000,10.00,1.60,1005.74,28.01,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,989.75,07-30-2019,04:00:00,26.5,83,23.3,0.00,000,8.00,0.00,1006.20,28.55,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,984.90,07-30-2019,04:00:00,23.5,90,21.8,0.20,210,10.00,2.00,1007.48,26.17,3.7
48376,TAK,ตาก,ตาก,16.87833,99.14333,992.07,07-30-2019,04:00:00,27.6,67,21.0,0.00,280,8.00,0.00,1006.42,24.81,11.1
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,989.06,07-30-2019,04:00:00,28.5,71,22.6,0.00,000,7.00,0.00,1005.33,27.44,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1000.60,07-30-2019,04:00:00,25.6,91,24.0,0.00,000,10.00,11.60,1005.84,29.82,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,991.42,07-30-2019,04:00:00,26.4,86,23.9,0.00,000,10.00,0.00,1004.61,29.70,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,996.04,07-30-2019,04:00:00,27.2,72,21.7,0.00,270,10.00,0.00,1005.34,25.90,3.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,984.03,07-30-2019,04:00:00,25.5,98,25.2,0.00,090,8.00,0.40,1005.79,32.07,3.7
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,987.72,07-30-2019,04:00:00,26.8,78,22.7,1.80,000,10.00,6.80,1005.20,27.52,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,989.34,07-30-2019,04:00:00,24.5,97,23.9,3.00,250,9.00,8.60,1005.28,29.67,3.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,985.67,07-30-2019,04:00:00,25.8,99,25.6,0.00,000,8.00,13.60,1004.58,32.92,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,957.10,07-30-2019,04:00:00,23.0,91,21.5,1.50,000,5.00,15.10,1008.87,25.60,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1001.87,07-30-2019,04:00:00,26.8,82,23.4,0.00,000,7.00,0.00,1005.82,28.84,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,912.84,07-30-2019,04:00:00,20.2,99,20.0,0.30,230,1.40,2.50,1008.46,23.42,11.1
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,989.97,07-30-2019,04:00:00,24.9,98,24.6,0.00,000,6.00,59.20,1006.05,30.93,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1002.42,07-30-2019,04:00:00,26.4,95,25.5,0.00,000,10.00,0.00,1006.46,32.71,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,996.39,07-30-2019,04:00:00,25.5,88,23.3,0.00,000,6.00,0.00,1007.12,28.59,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1004.98,07-30-2019,04:00:00,25.8,88,23.6,0.00,150,7.00,0.00,1006.92,29.13,3.7
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,984.64,07-30-2019,04:00:00,27.1,74,22.0,0.00,000,10.00,0.00,1005.45,26.50,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,988.19,07-30-2019,04:00:00,25.0,97,24.6,0.50,000,10.00,11.00,1005.95,30.85,0.0
