WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,RelativeHumidity,DewPoint,LandVisibility,WindSpeed,VaporPressure,Rainfall,StationPressure,MeanSeaLevelPressure,AirTemperature,MaximumTemperature,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1.10,07-30-2019,19:00:00,90,24.9,12.00,1.9,31.55,0.50,973.01,1003.75,26.8,33.7,350
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,11.00,07-30-2019,19:00:00,99,18.3,6.00,7.4,21.06,1.50,842.52,1003.35,18.5,22.4,270
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1.90,07-30-2019,19:00:00,88,23.1,9.00,7.4,28.31,0.20,959.65,1003.16,25.2,32.5,150
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,4.20,07-30-2019,19:00:00,88,24.0,7.00,0.0,29.86,0.60,957.70,1002.95,26.2,33.4,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,21.80,07-30-2019,19:00:00,95,24.4,10.00,0.0,30.60,0.01,966.40,1003.97,25.3,26.5,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,2.40,07-30-2019,19:00:00,90,23.4,15.00,7.4,28.83,0.60,958.50,1003.49,25.2,33.0,030
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,53.30,07-30-2019,19:00:00,92,25.1,10.00,0.0,31.79,0.40,977.15,1003.75,26.5,28.0,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,07-30-2019,19:00:00,56,21.9,15.00,0.0,26.26,0.00,981.38,1002.66,31.9,35.9,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,8.30,07-30-2019,19:00:00,84,23.1,8.00,0.0,28.18,0.00,981.71,1005.81,26.0,32.5,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.01,07-30-2019,19:00:00,70,24.2,10.00,0.0,30.14,0.01,968.93,1002.83,30.2,33.5,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.10,07-30-2019,19:00:00,68,23.5,10.00,0.0,28.91,0.10,975.77,1002.85,30.0,34.6,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.20,07-30-2019,19:00:00,62,21.1,12.00,11.1,24.94,0.20,969.89,1003.00,29.0,34.4,240
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,07-30-2019,19:00:00,67,23.7,10.00,1.9,29.33,0.00,983.98,1002.15,30.5,33.8,180
48331,NAN,น่าน,น่าน,18.77972,100.77778,8.30,07-30-2019,19:00:00,85,24.3,10.00,0.0,30.29,0.00,980.57,1003.26,27.0,28.5,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,12.70,07-30-2019,19:00:00,88,24.3,12.00,0.0,30.43,0.00,973.70,1003.46,26.5,28.2,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,07-30-2019,19:00:00,68,23.0,8.00,0.0,28.04,0.00,967.66,1002.64,29.4,33.5,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.80,07-30-2019,19:00:00,81,24.4,13.00,0.0,30.56,0.00,973.01,1002.43,28.0,30.5,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1.90,07-30-2019,19:00:00,76,25.9,8.00,0.0,33.34,1.90,996.44,1003.63,30.5,35.1,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,26.10,07-30-2019,19:00:00,88,25.7,15.00,3.7,33.08,0.00,982.91,1002.64,28.0,29.0,270
48353,LOEI,เลย,เลย,17.45000,101.73333,1.00,07-30-2019,19:00:00,78,24.7,12.00,0.0,31.13,0.00,974.27,1002.58,29.0,30.3,000
